model,model_id,rotation,quantizer,fold_dtype,seed,reference_ppl,rotation_only_ppl,ppl_abs_difference,required_ppl_abs_difference,max_abs_logit_difference,relative_l2_logit_difference,max_round_trip_relative_error,round_trip_tolerance,chunks,chunks_below_reference,mean_nll_delta,max_abs_nll_delta,r1_rank,r1_slots,r4_rank,r4_slots,r2_rank,below_reference_share,required_max_abs_nll_delta,sign_test_applicable,sign_balanced,passed
qwen3_1.7b_base,Qwen/Qwen3-1.7B-Base,hadamard,identity,float32,0,9.083948686742907,9.083948145297388,5.414455195307255e-07,0.01,0.00018095970153808594,1.455721303500468e-06,1.6873106289949646e-07,1e-06,64,33,-5.960464477539063e-08,1.430511474609375e-06,,16,,48,,0.515625,0.001,False,True,True
qwen3_1.7b_base,Qwen/Qwen3-1.7B-Base,nar_k8,identity,float32,0,9.083948686742907,9.083947147007299,1.5397356083468594e-06,0.01,0.00044155120849609375,4.6493873924191575e-06,3.5429494005256856e-07,1e-06,64,37,-1.695007085800171e-07,1.430511474609375e-06,8,16,8,48,1,0.578125,0.001,False,True,True
qwen3_1.7b_base,Qwen/Qwen3-1.7B-Base,nar_kmax,identity,float32,0,9.083948686742907,9.083946859364412,1.8273784956335248e-06,0.01,0.0005869865417480469,5.0392090997775085e-06,3.9173727373054135e-07,1e-06,64,37,-2.0116567611694336e-07,1.430511474609375e-06,16,16,48,48,1,0.578125,0.001,False,True,True
