rotation,site,layer,n,round_trip_relative_error,tolerance
nar_k8,r2,20,128,1.1997369142591197e-07,1e-06
nar_k8,r4,20,6144,1.8425643588670937e-07,1e-06
nar_k8,r2,21,128,1.185904068279342e-07,1e-06
nar_k8,r4,21,6144,1.415171482221922e-07,1e-06
nar_k8,r2,22,128,1.1508767272516707e-07,1e-06
nar_k8,r4,22,6144,1.7088532899833808e-07,1e-06
nar_k8,r2,23,128,1.1588868176204414e-07,1e-06
nar_k8,r4,23,6144,1.6331901520061365e-07,1e-06
nar_k8,r2,24,128,1.2018612949304952e-07,1e-06
nar_k8,r4,24,6144,1.8214414865269646e-07,1e-06
nar_k8,r2,25,128,1.1864705840025636e-07,1e-06
nar_k8,r4,25,6144,1.535221514359364e-07,1e-06
nar_k8,r2,26,128,1.1546259059969088e-07,1e-06
nar_k8,r4,26,6144,1.7420391884570563e-07,1e-06
nar_k8,r2,27,128,1.1493638396586903e-07,1e-06
nar_k8,r4,27,6144,3.5429494005256856e-07,1e-06
nar_kmax,r1,0,2048,1.731403784788199e-07,1e-06
nar_kmax,r2,0,128,1.178889306174824e-07,1e-06
nar_kmax,r4,0,6144,1.8155550662868336e-07,1e-06
nar_kmax,r2,1,128,1.1400743460399099e-07,1e-06
nar_kmax,r4,1,6144,2.1011639717016806e-07,1e-06
nar_kmax,r2,2,128,1.2030794493966823e-07,1e-06
nar_kmax,r4,2,6144,1.688032540414497e-07,1e-06
nar_kmax,r2,3,128,1.1815875211595994e-07,1e-06
nar_kmax,r4,3,6144,1.8066208440359333e-07,1e-06
nar_kmax,r2,4,128,1.2693230644345022e-07,1e-06
nar_kmax,r4,4,6144,1.6201859409648023e-07,1e-06
nar_kmax,r2,5,128,1.2512032299127895e-07,1e-06
nar_kmax,r4,5,6144,1.6240353772900562e-07,1e-06
nar_kmax,r2,6,128,1.1601876082067974e-07,1e-06
nar_kmax,r4,6,6144,1.8412845292914426e-07,1e-06
nar_kmax,r2,7,128,1.1992617032774433e-07,1e-06
nar_kmax,r4,7,6144,1.8778221999582456e-07,1e-06
nar_kmax,r2,8,128,1.1485689555001954e-07,1e-06
nar_kmax,r4,8,6144,2.0648887755214673e-07,1e-06
nar_kmax,r2,9,128,1.2304063545798272e-07,1e-06
nar_kmax,r4,9,6144,1.7859096601569036e-07,1e-06
nar_kmax,r2,10,128,1.1451056280975536e-07,1e-06
nar_kmax,r4,10,6144,1.827376934215863e-07,1e-06
nar_kmax,r2,11,128,1.1961159884776862e-07,1e-06
nar_kmax,r4,11,6144,1.9561147723834438e-07,1e-06
nar_kmax,r2,12,128,1.1590332604782816e-07,1e-06
nar_kmax,r4,12,6144,1.8258762679579377e-07,1e-06
nar_kmax,r2,13,128,1.1708070957183736e-07,1e-06
nar_kmax,r4,13,6144,1.7538283714202407e-07,1e-06
nar_kmax,r2,14,128,1.1202075711480575e-07,1e-06
nar_kmax,r4,14,6144,1.7727202816786303e-07,1e-06
nar_kmax,r2,15,128,1.1395900401112158e-07,1e-06
nar_kmax,r4,15,6144,1.9962082831170846e-07,1e-06
nar_kmax,r2,16,128,1.1276107869662155e-07,1e-06
nar_kmax,r4,16,6144,1.634347057688501e-07,1e-06
nar_kmax,r2,17,128,1.0945055350930488e-07,1e-06
nar_kmax,r4,17,6144,1.9375690385459166e-07,1e-06
nar_kmax,r2,18,128,1.211710127790866e-07,1e-06
nar_kmax,r4,18,6144,1.6910301781081216e-07,1e-06
nar_kmax,r2,19,128,1.206394841801739e-07,1e-06
nar_kmax,r4,19,6144,1.7663360551978258e-07,1e-06
nar_kmax,r2,20,128,1.272682510489176e-07,1e-06
nar_kmax,r4,20,6144,2.0676792189533444e-07,1e-06
nar_kmax,r2,21,128,1.268560083644843e-07,1e-06
nar_kmax,r4,21,6144,2.2058411275338585e-07,1e-06
nar_kmax,r2,22,128,1.2541281080302724e-07,1e-06
nar_kmax,r4,22,6144,2.3650862601698464e-07,1e-06
nar_kmax,r2,23,128,1.223678367523462e-07,1e-06
nar_kmax,r4,23,6144,2.233233971082882e-07,1e-06
nar_kmax,r2,24,128,1.189645573163034e-07,1e-06
nar_kmax,r4,24,6144,2.253199653523552e-07,1e-06
nar_kmax,r2,25,128,1.165725365126491e-07,1e-06
nar_kmax,r4,25,6144,2.1052903775853338e-07,1e-06
nar_kmax,r2,26,128,1.1789413889573552e-07,1e-06
nar_kmax,r4,26,6144,2.0756145602263132e-07,1e-06
nar_kmax,r2,27,128,1.1130295263228618e-07,1e-06
nar_kmax,r4,27,6144,3.9173727373054135e-07,1e-06
