model,model_id,b,seed,method,sequence,nll,tokens_scored,reused_deterministic_run
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,0,1.9781131744384766,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,1,2.592287302017212,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,2,2.73136043548584,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,3,2.2507548332214355,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,4,2.1507749557495117,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,5,1.8327398300170898,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,6,1.9060652256011963,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,7,2.1780622005462646,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,8,2.4934370517730713,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,9,2.1742539405822754,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,10,2.12738299369812,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,11,2.4715871810913086,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,12,2.3475775718688965,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,13,2.4569497108459473,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,14,2.4287075996398926,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,15,2.60744571685791,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,16,2.33980131149292,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,17,2.3734405040740967,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,18,2.1183085441589355,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,19,2.3532488346099854,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,20,2.4696502685546875,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,21,2.3804843425750732,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,22,2.438143730163574,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,23,2.502683401107788,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,24,2.5103704929351807,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,25,2.5432376861572266,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,26,2.6247785091400146,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,27,2.400883913040161,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,28,2.1988980770111084,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,29,2.05600905418396,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,30,1.9598253965377808,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,31,1.9750365018844604,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,32,2.2220656871795654,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,33,2.1708450317382812,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,34,2.389155864715576,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,35,1.6457833051681519,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,36,1.656045913696289,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,37,1.6511930227279663,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,38,1.6546272039413452,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,39,1.8786245584487915,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,40,2.4921376705169678,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,41,2.929567337036133,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,42,2.9020955562591553,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,43,2.582456350326538,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,44,2.5646135807037354,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,45,2.497339963912964,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,46,2.5638887882232666,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,47,2.360602617263794,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,48,2.2489237785339355,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,49,2.1788134574890137,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,50,2.0405194759368896,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,51,2.0159518718719482,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,52,1.8887553215026855,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,53,2.027440309524536,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,54,1.8072794675827026,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,55,1.7959120273590088,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,56,2.1719484329223633,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,57,1.999874472618103,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,58,2.3743059635162354,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,59,2.542909860610962,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,60,2.5306050777435303,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,61,2.6537914276123047,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,62,1.7578774690628052,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,bf16,63,2.098371982574463,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,0,2.0254151821136475,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,1,2.6361653804779053,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,2,2.768937110900879,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,3,2.2963287830352783,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,4,2.204510450363159,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,5,1.9087697267532349,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,6,1.971914529800415,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,7,2.234501361846924,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,8,2.5663046836853027,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,9,2.2185726165771484,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,10,2.171043872833252,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,11,2.5261547565460205,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,12,2.400223731994629,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,13,2.519639492034912,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,14,2.4820144176483154,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,15,2.6463160514831543,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,16,2.4057118892669678,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,17,2.4171042442321777,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,18,2.167656183242798,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,19,2.405148506164551,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,20,2.523019552230835,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,21,2.429262399673462,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,22,2.4933276176452637,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,23,2.5434367656707764,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,24,2.5532500743865967,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,25,2.5998761653900146,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,26,2.6872284412384033,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,27,2.4422049522399902,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,28,2.245241165161133,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,29,2.1116232872009277,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,30,2.020477294921875,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,31,2.0202560424804688,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,32,2.281294822692871,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,33,2.202718496322632,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,34,2.4368298053741455,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,35,1.6925290822982788,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,36,1.7108596563339233,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,37,1.6972708702087402,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,38,1.708642601966858,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,39,1.9226425886154175,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,40,2.534536600112915,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,41,2.969245195388794,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,42,2.9551374912261963,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,43,2.6538398265838623,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,44,2.6033363342285156,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,45,2.5429739952087402,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,46,2.6236650943756104,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,47,2.4077389240264893,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,48,2.3083534240722656,2047,False
llama32_1b,unsloth/Llama-3.2-1B,32,20260902,identity,49,2.219578742980957,2047,False
