model,site,method,seed,ppl,ppl_delta_vs_bf16,ppl_delta_vs_hadamard,effective_bits_per_value
e18_smoke,both,bf16,20260902,12.374340325455691,0.0,nan,16.0
e18_smoke,both,hadamard,20260902,12.968197316969134,0.5938569915134426,0.0,4.25
e18_smoke,both,nar_k8,20260902,12.471393479493909,0.09705315403821757,-0.49680383747522505,4.25
e18_smoke,both,nar_kmax,20260902,12.471393479493909,0.09705315403821757,-0.49680383747522505,4.25
