model,rotation,layer,group,module,columns,rows,hessian_sequences,dead_columns,damp,groupsize,blocksize,act_order,hessian_diag_max_over_median,hessian_diag_mean_over_median,damp_over_median_diag,null_slot_diag_share,null_slot_baseline,null_space_dc_share,hessian_participation_ratio,rows_clipped,mean_shrink,clipped_row_null_slot_mass_share,unclipped_row_null_slot_mass_share
qwen3_8b_base,hadamard,0,0,self_attn.k_proj,4096,1024,128,0,40.89910125732422,128,128,False,2.2256928392590734,1.0323199893516,0.010323199893515999,0.008126692456999266,0.0078125,0.01224271157816683,58.954871179825126,1024,0.6671191453933716,0.007742500398308039,nan
qwen3_8b_base,hadamard,0,0,self_attn.v_proj,4096,1024,128,0,40.89910125732422,128,128,False,2.2256928392590734,1.0323199893516,0.010323199893515999,0.008126692456999266,0.0078125,0.01224271157816683,58.954871179825126,1024,0.6661719083786011,0.007779669016599655,nan
qwen3_8b_base,hadamard,0,0,self_attn.q_proj,4096,4096,128,0,40.89910125732422,128,128,False,2.2256928392590734,1.0323199893516,0.010323199893515999,0.008126692456999266,0.0078125,0.01224271157816683,58.954871179825126,4096,0.66650390625,0.007839035242795944,nan
qwen3_8b_base,hadamard,0,1,self_attn.o_proj,4096,4096,128,0,0.013278388418257236,128,128,False,13.019304643753344,1.5006090357148945,0.015006090357148944,0.006240753678384949,0.0078125,0.00406023600837888,10.671097812890505,4096,0.660229504108429,0.007690653204917908,nan
qwen3_8b_base,hadamard,0,2,mlp.up_proj,4096,12288,128,0,40.95281982421875,128,128,False,10.472794021048944,1.5303432495949318,0.01530343249594932,0.007713489579222376,0.0078125,0.002173500802284999,2.0512944832401936,12288,0.666915774345398,0.007796889171004295,nan
qwen3_8b_base,hadamard,0,2,mlp.gate_proj,4096,12288,128,0,40.95281982421875,128,128,False,10.472794021048944,1.5303432495949318,0.01530343249594932,0.007713489579222376,0.0078125,0.002173500802284999,2.0512944832401936,12288,0.6660596132278442,0.00780211528763175,nan
qwen3_8b_base,hadamard,0,3,mlp.down_proj,12288,4096,128,0,0.0376533605158329,128,128,False,1.2786193147192402,1.0063204690370167,0.010063204690370168,0.00784366696460525,0.0078125,0.007668350232842085,656.7469281220422,4096,0.6237255930900574,0.007827861234545708,nan
qwen3_8b_base,hadamard,1,0,self_attn.k_proj,4096,1024,128,0,40.95854568481445,128,128,False,6.345814966708773,1.2999889501923334,0.012999889501923333,0.007636708481803844,0.0078125,0.0033275714860174456,3.7950581114438218,1024,0.6654003858566284,0.007823709398508072,nan
qwen3_8b_base,hadamard,1,0,self_attn.v_proj,4096,1024,128,0,40.95854568481445,128,128,False,6.345814966708773,1.2999889501923334,0.012999889501923333,0.007636708481803844,0.0078125,0.0033275714860174456,3.7950581114438218,1024,0.6674706935882568,0.007835691794753075,nan
qwen3_8b_base,hadamard,1,0,self_attn.q_proj,4096,4096,128,0,40.95854568481445,128,128,False,6.345814966708773,1.2999889501923334,0.012999889501923333,0.007636708481803844,0.0078125,0.0033275714860174456,3.7950581114438218,4096,0.6673120260238647,0.007988372817635536,nan
qwen3_8b_base,hadamard,1,1,self_attn.o_proj,4096,4096,128,0,0.02294652722775936,128,128,False,11.59901438516042,1.6333243983456782,0.016333243983456782,0.007398157422106628,0.0078125,0.005121515655899425,32.491742879188735,4096,0.6649389266967773,0.007860885933041573,nan
qwen3_8b_base,hadamard,1,2,mlp.up_proj,4096,12288,128,0,40.95884323120117,128,128,False,7.332902204359424,1.333015032067303,0.013330150320673032,0.007437779691521751,0.0078125,0.0032861490627918103,3.677937444359201,12288,0.6746330261230469,0.007956909947097301,nan
qwen3_8b_base,hadamard,1,2,mlp.gate_proj,4096,12288,128,0,40.95884323120117,128,128,False,7.332902204359424,1.333015032067303,0.013330150320673032,0.007437779691521751,0.0078125,0.0032861490627918103,3.677937444359201,12288,0.6990486979484558,0.008638588711619377,nan
qwen3_8b_base,hadamard,1,3,mlp.down_proj,12288,4096,128,0,0.03191255405545235,128,128,False,1.7824660853913668,1.0236324720045984,0.010236324720045983,0.007854888564116388,0.0078125,0.009542196690259077,59.961643160509226,4096,0.6229809522628784,0.007889190688729286,nan
qwen3_8b_base,hadamard,2,0,self_attn.k_proj,4096,1024,128,0,40.95918273925781,128,128,False,7.046836910489479,1.3300428079076305,0.013300428079076308,0.00757881021559906,0.0078125,0.0031409993693255994,3.3207903180527247,1024,0.6694824695587158,0.007982851006090641,nan
qwen3_8b_base,hadamard,2,0,self_attn.v_proj,4096,1024,128,0,40.95918273925781,128,128,False,7.046836910489479,1.3300428079076305,0.013300428079076308,0.00757881021559906,0.0078125,0.0031409993693255994,3.3207903180527247,1024,0.6669238209724426,0.007875025272369385,nan
qwen3_8b_base,hadamard,2,0,self_attn.q_proj,4096,4096,128,0,40.95918273925781,128,128,False,7.046836910489479,1.3300428079076305,0.013300428079076308,0.00757881021559906,0.0078125,0.0031409993693255994,3.3207903180527247,4096,0.6658667325973511,0.008024204522371292,nan
qwen3_8b_base,hadamard,2,1,self_attn.o_proj,4096,4096,128,0,0.024630121886730194,128,128,False,10.875558868373854,1.4764225020967725,0.014764225020967725,0.007366615364495962,0.0078125,0.006891166772194356,47.49914931687022,4096,0.6624902486801147,0.007814477197825909,nan
qwen3_8b_base,hadamard,2,2,mlp.up_proj,4096,12288,128,0,40.95927047729492,128,128,False,8.101394558580687,1.3344965525799175,0.013344965525799175,0.007754156257523358,0.0078125,0.0031632543839848525,3.4034777053803165,12288,0.6833910942077637,0.007710402365773916,nan
