model,model_id,method,quantizer,seed,bf16_ppl,rotation_only_ppl,weight_fold_max_relative_error,required_ppl_abs_difference,required_max_abs_nll_delta,check_rows,layer0_max_abs_difference,layer0_relative_l2,logits_max_abs_difference,logits_relative_l2,required_relative_l2,chunks,chunks_below_bf16,mean_nll_delta,std_nll_delta,max_abs_nll_delta,ppl_abs_difference,passed,fold
qwen3_8b,Qwen/Qwen3-8B,hadamard,identity,20260902,12.917326438368958,12.80808076695756,0.003980131819844246,0.01,0.001,64,0.0625,0.0042764488607645035,0.8125,0.018532821908593178,0.001,64,61,-0.008493263274431229,0.006348442908897682,0.03325033187866211,0.10924567141139896,False,weight_fold
qwen3_8b,Qwen/Qwen3-8B,nar_k8,identity,20260902,12.917326438368958,13.079179864022853,0.003830237314105034,0.01,0.001,64,0.0625,0.004464339930564165,1.20703125,0.024174092337489128,0.001,64,0,0.012452097609639168,0.006546018042457839,0.030075788497924805,0.16185342565389504,False,weight_fold
qwen3_8b,Qwen/Qwen3-8B,nar_kmax,identity,20260902,12.917326438368958,12.817806243534468,0.003942133393138647,0.01,0.001,64,0.0625,0.004578946623951197,1.25,0.03363104909658432,0.001,64,61,-0.007734227925539017,0.006271378508408949,0.031328678131103516,0.09952019483448993,False,weight_fold
