model,model_id,site,method,seed,sequence,nll,tokens_scored,weight_fold_max_relative_error
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,60,2.625,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,61,2.84375,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,62,2.875,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,bf16,20260902,63,3.140625,2047,0.0
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,0,2.40625,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,1,2.8125,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,2,3.078125,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,3,2.84375,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,4,2.546875,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,5,2.125,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,6,1.828125,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,7,2.5625,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,8,2.71875,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,9,2.78125,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,10,2.640625,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,11,2.6875,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,12,2.546875,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,13,2.8125,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,14,2.765625,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,15,2.671875,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,16,2.984375,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,17,2.796875,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,18,2.515625,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,19,2.328125,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,20,2.5,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,21,2.921875,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,22,2.609375,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,23,2.765625,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,24,2.71875,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,25,2.8125,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,26,2.96875,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,27,3.078125,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,28,2.765625,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,29,2.578125,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,30,2.4375,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,31,2.4375,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,32,2.109375,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,33,2.65625,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,34,2.40625,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,35,2.5625,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,36,2.140625,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,37,2.015625,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,38,2.234375,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,39,1.8828125,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,40,2.171875,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,41,2.328125,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,42,3.078125,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,43,3.1875,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,44,3.109375,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,45,3.015625,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,46,2.84375,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,47,2.953125,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,48,2.984375,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,49,2.515625,2047,0.003980131819844246
