model,model_id,rotation,quantizer,fold_dtype,seed,reference_ppl,rotation_only_ppl,ppl_abs_difference,required_ppl_abs_difference,max_abs_logit_difference,relative_l2_logit_difference,max_round_trip_relative_error,round_trip_tolerance,chunks,chunks_below_reference,mean_nll_delta,max_abs_nll_delta,r1_rank,r1_slots,r4_rank,r4_slots,r2_rank,below_reference_share,required_max_abs_nll_delta,sign_test_applicable,sign_balanced,passed
qwen3_0.6b_base,Qwen/Qwen3-0.6B-Base,hadamard,identity,float32,0,12.147713543482533,12.147713633990053,9.05075197010774e-08,0.01,0.00017547607421875,2.0031632175232517e-06,1.4819804050603125e-07,1e-06,64,19,7.450580596923828e-09,9.5367431640625e-07,,8,,24,,0.296875,0.001,False,True,True
qwen3_0.6b_base,Qwen/Qwen3-0.6B-Base,nar_k8,identity,float32,0,12.147713543482533,12.147712932556797,6.109257366659904e-07,0.01,0.0005435943603515625,5.925066034251358e-06,1.8359767750553146e-07,1e-06,64,25,-5.029141902923584e-08,9.5367431640625e-07,8,8,8,24,1,0.390625,0.001,False,True,True
qwen3_0.6b_base,Qwen/Qwen3-0.6B-Base,nar_kmax,identity,float32,0,12.147713543482533,12.147712819422404,7.240601291869098e-07,0.01,0.0004439353942871094,6.376796591212042e-06,2.805971917041461e-07,1e-06,64,28,-5.960464477539063e-08,7.152557373046875e-07,8,8,24,24,1,0.4375,0.001,False,True,True
