model,layer,top_eigenvalue,trace,rows,anchor_error
qwen3_0.6b_base,0,0.10676330812959585,2.971217857229931,2097152,1.1920928955078125e-07
qwen3_0.6b_base,1,0.043416470657566875,1.414862155645096,2097152,1.1920928955078125e-07
qwen3_0.6b_base,2,0.10619716380811253,2.418965904675133,2097152,2.384185791015625e-07
qwen3_0.6b_base,3,0.6907730618452969,17.14494377101073,2097152,5.960464477539063e-08
qwen3_0.6b_base,4,0.5936582715336439,17.334964456269518,2097152,7.450580596923828e-09
qwen3_0.6b_base,5,0.9473887302054111,26.34951349080074,2097152,1.1920928955078125e-07
qwen3_0.6b_base,6,0.5128644228104617,15.434874172031414,2097152,5.960464477539063e-08
qwen3_0.6b_base,7,0.9007829196541165,31.249672816600654,2097152,5.960464477539063e-08
qwen3_0.6b_base,8,2.6375414626845384,44.053470960003324,2097152,2.9802322387695312e-08
qwen3_0.6b_base,9,1.487209241081737,57.481591562042,2097152,5.960464477539063e-08
qwen3_0.6b_base,10,1.7858199166300737,55.71162247203756,2097152,1.4901161193847656e-08
qwen3_0.6b_base,11,3.0430489458571586,86.62151688919403,2097152,2.9802322387695312e-08
qwen3_0.6b_base,12,9.013329960095845,121.06722399196585,2097152,1.4901161193847656e-08
qwen3_0.6b_base,13,12.03133502065476,128.24465675256215,2097152,1.1920928955078125e-07
qwen3_0.6b_base,14,11.29948856333628,139.2545269592665,2097152,5.960464477539063e-08
qwen3_0.6b_base,15,5.430387512282481,179.69401793042204,2097152,2.384185791015625e-07
qwen3_0.6b_base,16,7.15187683976678,230.0952493310906,2097152,5.960464477539063e-08
qwen3_0.6b_base,17,21.943703786450556,530.3445083070546,2097152,5.960464477539063e-08
qwen3_0.6b_base,18,16.687649895830884,576.728918885812,2097152,5.960464477539063e-08
qwen3_0.6b_base,19,26.521925399651497,970.7193583250045,2097152,1.1920928955078125e-07
qwen3_0.6b_base,20,41.31417334386952,1279.5539682060478,2097152,1.1920928955078125e-07
qwen3_0.6b_base,21,48.83684942203034,2394.0289990603924,2097152,1.862645149230957e-09
qwen3_0.6b_base,22,85.4700583924048,3043.3243054449563,2097152,1.4901161193847656e-08
qwen3_0.6b_base,23,104.62344258653964,3462.6949827820063,2097152,5.960464477539063e-08
qwen3_0.6b_base,24,161.45611499292065,5488.522957429291,2097152,1.1920928955078125e-07
qwen3_0.6b_base,25,222.22851248519746,8867.128611952065,2097152,5.960464477539063e-08
qwen3_0.6b_base,26,425.31185274230137,9973.900444895029,2097152,1.1920928955078125e-07
qwen3_0.6b_base,27,402.12218629928253,8111.880675047637,2097152,1.7881393432617188e-07
