rotation,site,layer,n,round_trip_relative_error,tolerance
nar_k8,r4,17,3072,1.270874747660855e-07,1e-06
nar_k8,r2,18,128,1.2215384970204468e-07,1e-06
nar_k8,r4,18,3072,1.4975739759393036e-07,1e-06
nar_k8,r2,19,128,1.210983811006372e-07,1e-06
nar_k8,r4,19,3072,1.2875588595306908e-07,1e-06
nar_k8,r2,20,128,1.1985683556758886e-07,1e-06
nar_k8,r4,20,3072,1.4111199675426178e-07,1e-06
nar_k8,r2,21,128,1.1972714730745793e-07,1e-06
nar_k8,r4,21,3072,1.612836371123194e-07,1e-06
nar_k8,r2,22,128,1.1886056228149755e-07,1e-06
nar_k8,r4,22,3072,1.438788501673116e-07,1e-06
nar_k8,r2,23,128,1.20669767511572e-07,1e-06
nar_k8,r4,23,3072,1.363346058269599e-07,1e-06
nar_k8,r2,24,128,1.3111453256442474e-07,1e-06
nar_k8,r4,24,3072,1.3292412859300384e-07,1e-06
nar_k8,r2,25,128,1.2671537774622266e-07,1e-06
nar_k8,r4,25,3072,1.3985925306769786e-07,1e-06
nar_k8,r2,26,128,1.1349762019108312e-07,1e-06
nar_k8,r4,26,3072,1.558189666184262e-07,1e-06
nar_k8,r2,27,128,1.3913151519773237e-07,1e-06
nar_k8,r4,27,3072,1.8359767750553146e-07,1e-06
nar_kmax,r1,0,1024,1.5701643008014798e-07,1e-06
nar_kmax,r2,0,128,1.1238199704166618e-07,1e-06
nar_kmax,r4,0,3072,1.6279129511076462e-07,1e-06
nar_kmax,r2,1,128,1.1830209700747218e-07,1e-06
nar_kmax,r4,1,3072,1.76077321611956e-07,1e-06
nar_kmax,r2,2,128,1.3653306041305768e-07,1e-06
nar_kmax,r4,2,3072,1.5663341912386386e-07,1e-06
nar_kmax,r2,3,128,1.1584407388909312e-07,1e-06
nar_kmax,r4,3,3072,1.646973402102958e-07,1e-06
nar_kmax,r2,4,128,1.2904271784464072e-07,1e-06
nar_kmax,r4,4,3072,1.6035860994634277e-07,1e-06
nar_kmax,r2,5,128,1.1376018704822854e-07,1e-06
nar_kmax,r4,5,3072,1.5781162687744654e-07,1e-06
nar_kmax,r2,6,128,1.2120396775117115e-07,1e-06
nar_kmax,r4,6,3072,1.5650442719561397e-07,1e-06
nar_kmax,r2,7,128,1.2002982430203701e-07,1e-06
nar_kmax,r4,7,3072,1.6584233719640906e-07,1e-06
nar_kmax,r2,8,128,1.1670919519701783e-07,1e-06
nar_kmax,r4,8,3072,1.6672741764978127e-07,1e-06
nar_kmax,r2,9,128,1.1249316855810321e-07,1e-06
nar_kmax,r4,9,3072,1.5731929181583837e-07,1e-06
nar_kmax,r2,10,128,1.1644146269418343e-07,1e-06
nar_kmax,r4,10,3072,1.6622463760995743e-07,1e-06
nar_kmax,r2,11,128,1.1583488657151975e-07,1e-06
nar_kmax,r4,11,3072,1.693298372629215e-07,1e-06
nar_kmax,r2,12,128,1.225152601591617e-07,1e-06
nar_kmax,r4,12,3072,1.6342630715371342e-07,1e-06
nar_kmax,r2,13,128,1.1766316276862199e-07,1e-06
nar_kmax,r4,13,3072,1.6238990951933374e-07,1e-06
nar_kmax,r2,14,128,1.3129186982041574e-07,1e-06
nar_kmax,r4,14,3072,1.605498027856811e-07,1e-06
nar_kmax,r2,15,128,1.2599321053130552e-07,1e-06
nar_kmax,r4,15,3072,1.5467070113572845e-07,1e-06
nar_kmax,r2,16,128,1.3048124003489647e-07,1e-06
nar_kmax,r4,16,3072,1.7112621719661547e-07,1e-06
nar_kmax,r2,17,128,1.2430635365490161e-07,1e-06
nar_kmax,r4,17,3072,1.491657855012818e-07,1e-06
nar_kmax,r2,18,128,1.178630881781828e-07,1e-06
nar_kmax,r4,18,3072,2.007157036132412e-07,1e-06
nar_kmax,r2,19,128,1.2475453559090965e-07,1e-06
nar_kmax,r4,19,3072,1.5572341283132118e-07,1e-06
nar_kmax,r2,20,128,1.1599227178749061e-07,1e-06
nar_kmax,r4,20,3072,1.6173670758234948e-07,1e-06
nar_kmax,r2,21,128,1.1637050789659042e-07,1e-06
nar_kmax,r4,21,3072,1.7562193477260735e-07,1e-06
nar_kmax,r2,22,128,1.2046228903273004e-07,1e-06
nar_kmax,r4,22,3072,1.790432690995658e-07,1e-06
