layer,expert,module,routed_tokens,pooled_hessian,relative_weight_error,hessian_diag_max_over_median
38,0,gate_up,975,False,0.1432010978460312,13.047416374588229
38,1,gate_up,8987,False,0.11969613283872604,15.597542497606133
38,2,gate_up,396,True,0.11340569704771042,12.816645517473644
38,3,gate_up,143961,False,0.11412858963012695,13.805504515499146
38,4,gate_up,12729,False,0.11819563806056976,11.502628276897875
38,5,gate_up,5,True,0.11333964020013809,12.816645517473644
38,6,gate_up,1428,False,0.14330117404460907,11.770102471230283
38,7,gate_up,15017,False,0.11800730228424072,16.41028375823888
38,8,gate_up,16799,False,0.11794453859329224,14.030739884432675
38,9,gate_up,21,True,0.11342968791723251,12.816645517473644
38,10,gate_up,27508,False,0.11451965570449829,16.927202970897948
38,11,gate_up,6998,False,0.1221732422709465,16.339906696507995
38,12,gate_up,4927,False,0.12472488731145859,13.841308033607705
38,13,gate_up,3,True,0.11352130025625229,12.816645517473644
38,14,gate_up,12725,False,0.11934318393468857,13.030369557962818
38,15,gate_up,46007,False,0.11579938977956772,15.360008919427079
38,16,gate_up,33463,False,0.11550398916006088,13.248244957392124
38,17,gate_up,19271,False,0.11557973921298981,13.322182421595853
38,18,gate_up,35585,False,0.11588854342699051,14.700163790722664
38,19,gate_up,524,False,0.12606702744960785,10.712293275207195
38,20,gate_up,20225,False,0.11508390307426453,16.892225968520837
38,21,gate_up,6688,False,0.12292109429836273,13.625245948534605
38,22,gate_up,46674,False,0.11558087915182114,12.512145849437267
38,23,gate_up,84875,False,0.11478375643491745,14.565178816462291
38,24,gate_up,5760,False,0.12492601573467255,10.83324888998972
38,25,gate_up,95,True,0.11346200853586197,12.816645517473644
38,26,gate_up,16512,False,0.11863301694393158,11.854365212551583
38,27,gate_up,876,False,0.14322705566883087,9.97183345021509
38,28,gate_up,34527,False,0.11550942808389664,15.191157479668444
38,29,gate_up,553,False,0.1342218667268753,8.198027322269496
38,30,gate_up,12359,False,0.11891341954469681,15.220679548360593
