model,rotation,layer,group,module,columns,rows,hessian_sequences,dead_columns,damp,groupsize,blocksize
qwen3_8b_base,nar_k8,8,1,self_attn.o_proj,4096,4096,128,0,0.3281901478767395,-1,128
qwen3_8b_base,nar_k8,8,2,mlp.up_proj,4096,12288,128,0,40.95993423461914,-1,128
qwen3_8b_base,nar_k8,8,2,mlp.gate_proj,4096,12288,128,0,40.95993423461914,-1,128
qwen3_8b_base,nar_k8,8,3,mlp.down_proj,12288,4096,128,0,0.44879987835884094,-1,128
qwen3_8b_base,nar_k8,9,0,self_attn.k_proj,4096,1024,128,0,40.95994186401367,-1,128
qwen3_8b_base,nar_k8,9,0,self_attn.v_proj,4096,1024,128,0,40.95994186401367,-1,128
qwen3_8b_base,nar_k8,9,0,self_attn.q_proj,4096,4096,128,0,40.95994186401367,-1,128
qwen3_8b_base,nar_k8,9,1,self_attn.o_proj,4096,4096,128,0,0.43288755416870117,-1,128
qwen3_8b_base,nar_k8,9,2,mlp.up_proj,4096,12288,128,0,40.95994567871094,-1,128
qwen3_8b_base,nar_k8,9,2,mlp.gate_proj,4096,12288,128,0,40.95994567871094,-1,128
qwen3_8b_base,nar_k8,9,3,mlp.down_proj,12288,4096,128,0,0.5935387015342712,-1,128
qwen3_8b_base,nar_k8,10,0,self_attn.k_proj,4096,1024,128,0,40.95994567871094,-1,128
qwen3_8b_base,nar_k8,10,0,self_attn.v_proj,4096,1024,128,0,40.95994567871094,-1,128
qwen3_8b_base,nar_k8,10,0,self_attn.q_proj,4096,4096,128,0,40.95994567871094,-1,128
qwen3_8b_base,nar_k8,10,1,self_attn.o_proj,4096,4096,128,0,0.6533685922622681,-1,128
qwen3_8b_base,nar_k8,10,2,mlp.up_proj,4096,12288,128,0,40.95994567871094,-1,128
qwen3_8b_base,nar_k8,10,2,mlp.gate_proj,4096,12288,128,0,40.95994567871094,-1,128
qwen3_8b_base,nar_k8,10,3,mlp.down_proj,12288,4096,128,0,0.6086202263832092,-1,128
qwen3_8b_base,nar_k8,11,0,self_attn.k_proj,4096,1024,128,0,40.9599494934082,-1,128
qwen3_8b_base,nar_k8,11,0,self_attn.v_proj,4096,1024,128,0,40.9599494934082,-1,128
qwen3_8b_base,nar_k8,11,0,self_attn.q_proj,4096,4096,128,0,40.9599494934082,-1,128
qwen3_8b_base,nar_k8,11,1,self_attn.o_proj,4096,4096,128,0,0.6316735148429871,-1,128
qwen3_8b_base,nar_k8,11,2,mlp.up_proj,4096,12288,128,0,40.95995330810547,-1,128
qwen3_8b_base,nar_k8,11,2,mlp.gate_proj,4096,12288,128,0,40.95995330810547,-1,128
qwen3_8b_base,nar_k8,11,3,mlp.down_proj,12288,4096,128,0,0.5765039920806885,-1,128
qwen3_8b_base,nar_k8,12,0,self_attn.k_proj,4096,1024,128,0,40.95995330810547,-1,128
qwen3_8b_base,nar_k8,12,0,self_attn.v_proj,4096,1024,128,0,40.95995330810547,-1,128
qwen3_8b_base,nar_k8,12,0,self_attn.q_proj,4096,4096,128,0,40.95995330810547,-1,128
qwen3_8b_base,nar_k8,12,1,self_attn.o_proj,4096,4096,128,0,0.8679753541946411,-1,128
qwen3_8b_base,nar_k8,12,2,mlp.up_proj,4096,12288,128,0,40.959957122802734,-1,128
qwen3_8b_base,nar_k8,12,2,mlp.gate_proj,4096,12288,128,0,40.959957122802734,-1,128
qwen3_8b_base,nar_k8,12,3,mlp.down_proj,12288,4096,128,0,0.5751200318336487,-1,128
qwen3_8b_base,nar_k8,13,0,self_attn.k_proj,4096,1024,128,0,40.9599609375,-1,128
qwen3_8b_base,nar_k8,13,0,self_attn.v_proj,4096,1024,128,0,40.9599609375,-1,128
qwen3_8b_base,nar_k8,13,0,self_attn.q_proj,4096,4096,128,0,40.9599609375,-1,128
qwen3_8b_base,nar_k8,13,1,self_attn.o_proj,4096,4096,128,0,0.6893899440765381,-1,128
qwen3_8b_base,nar_k8,13,2,mlp.up_proj,4096,12288,128,0,40.959964752197266,-1,128
qwen3_8b_base,nar_k8,13,2,mlp.gate_proj,4096,12288,128,0,40.959964752197266,-1,128
qwen3_8b_base,nar_k8,13,3,mlp.down_proj,12288,4096,128,0,0.595086932182312,-1,128
qwen3_8b_base,nar_k8,14,0,self_attn.k_proj,4096,1024,128,0,40.9599609375,-1,128
qwen3_8b_base,nar_k8,14,0,self_attn.v_proj,4096,1024,128,0,40.9599609375,-1,128
qwen3_8b_base,nar_k8,14,0,self_attn.q_proj,4096,4096,128,0,40.9599609375,-1,128
qwen3_8b_base,nar_k8,14,1,self_attn.o_proj,4096,4096,128,0,1.2830463647842407,-1,128
qwen3_8b_base,nar_k8,14,2,mlp.up_proj,4096,12288,128,0,40.959964752197266,-1,128
qwen3_8b_base,nar_k8,14,2,mlp.gate_proj,4096,12288,128,0,40.959964752197266,-1,128
qwen3_8b_base,nar_k8,14,3,mlp.down_proj,12288,4096,128,0,0.5708255767822266,-1,128
qwen3_8b_base,nar_k8,15,0,self_attn.k_proj,4096,1024,128,0,40.959964752197266,-1,128
qwen3_8b_base,nar_k8,15,0,self_attn.v_proj,4096,1024,128,0,40.959964752197266,-1,128
qwen3_8b_base,nar_k8,15,0,self_attn.q_proj,4096,4096,128,0,40.959964752197266,-1,128
qwen3_8b_base,nar_k8,15,1,self_attn.o_proj,4096,4096,128,0,1.304449439048767,-1,128
qwen3_8b_base,nar_k8,15,2,mlp.up_proj,4096,12288,128,0,40.95996856689453,-1,128
qwen3_8b_base,nar_k8,15,2,mlp.gate_proj,4096,12288,128,0,40.95996856689453,-1,128
qwen3_8b_base,nar_k8,15,3,mlp.down_proj,12288,4096,128,0,0.5618077516555786,-1,128
qwen3_8b_base,nar_k8,16,0,self_attn.k_proj,4096,1024,128,0,40.959964752197266,-1,128
qwen3_8b_base,nar_k8,16,0,self_attn.v_proj,4096,1024,128,0,40.959964752197266,-1,128
qwen3_8b_base,nar_k8,16,0,self_attn.q_proj,4096,4096,128,0,40.959964752197266,-1,128
qwen3_8b_base,nar_k8,16,1,self_attn.o_proj,4096,4096,128,0,1.2578538656234741,-1,128
qwen3_8b_base,nar_k8,16,2,mlp.up_proj,4096,12288,128,0,40.95996856689453,-1,128
qwen3_8b_base,nar_k8,16,2,mlp.gate_proj,4096,12288,128,0,40.95996856689453,-1,128
qwen3_8b_base,nar_k8,16,3,mlp.down_proj,12288,4096,128,0,31.710201263427734,-1,128
qwen3_8b_base,nar_k8,17,0,self_attn.k_proj,4096,1024,128,0,40.95996856689453,-1,128
qwen3_8b_base,nar_k8,17,0,self_attn.v_proj,4096,1024,128,0,40.95996856689453,-1,128
qwen3_8b_base,nar_k8,17,0,self_attn.q_proj,4096,4096,128,0,40.95996856689453,-1,128
qwen3_8b_base,nar_k8,17,1,self_attn.o_proj,4096,4096,128,0,1.9502612352371216,-1,128
qwen3_8b_base,nar_k8,17,2,mlp.up_proj,4096,12288,128,0,40.95996856689453,-1,128
qwen3_8b_base,nar_k8,17,2,mlp.gate_proj,4096,12288,128,0,40.95996856689453,-1,128
qwen3_8b_base,nar_k8,17,3,mlp.down_proj,12288,4096,128,0,0.6406847238540649,-1,128
qwen3_8b_base,nar_k8,18,0,self_attn.k_proj,4096,1024,128,0,40.95997619628906,-1,128
qwen3_8b_base,nar_k8,18,0,self_attn.v_proj,4096,1024,128,0,40.95997619628906,-1,128
qwen3_8b_base,nar_k8,18,0,self_attn.q_proj,4096,4096,128,0,40.95997619628906,-1,128
qwen3_8b_base,nar_k8,18,1,self_attn.o_proj,4096,4096,128,0,2.0712242126464844,-1,128
qwen3_8b_base,nar_k8,18,2,mlp.up_proj,4096,12288,128,0,40.9599723815918,-1,128
qwen3_8b_base,nar_k8,18,2,mlp.gate_proj,4096,12288,128,0,40.9599723815918,-1,128
qwen3_8b_base,nar_k8,18,3,mlp.down_proj,12288,4096,128,0,0.7589517831802368,-1,128
qwen3_8b_base,nar_k8,19,0,self_attn.k_proj,4096,1024,128,0,40.95997619628906,-1,128
qwen3_8b_base,nar_k8,19,0,self_attn.v_proj,4096,1024,128,0,40.95997619628906,-1,128
qwen3_8b_base,nar_k8,19,0,self_attn.q_proj,4096,4096,128,0,40.95997619628906,-1,128
qwen3_8b_base,nar_k8,19,1,self_attn.o_proj,4096,4096,128,0,2.4415414333343506,-1,128
