model,site,k,layers,mean_cumulative_captured_fraction,min_cumulative_captured_fraction,max_cumulative_captured_fraction,predicted_range_reduction
qwen3_8b_base,down,8,36,0.19410864134977918,0.066325631607367,0.9888416853048445,0.10228548042809249
qwen3_8b_base,down,16,36,0.22237657355161178,0.08704186886844505,0.9913545628080337,0.11817040963211711
qwen3_8b_base,down,32,36,0.258302796372312,0.11337764683159995,0.992991811075293,0.13878155870436215
qwen3_8b_base,down,64,36,0.30168675239166143,0.1460739041829971,0.994303131897496,0.16434860880368385
qwen3_8b_base,down,96,36,0.32839489915201386,0.16775176837567649,0.9948909299518149,0.18048483793892733
qwen3_8b_base,qkv,8,36,0.5102223192250541,0.30154727622125044,0.6690923120454458,0.3001588174628862
qwen3_8b_base,qkv,16,36,0.5654494996653443,0.35377740554953124,0.7130421185370471,0.34079555497959835
qwen3_8b_base,qkv,32,36,0.6202360258885529,0.4124694914275676,0.7584327201313127,0.3837500717148544
