model,model_id,rotation,quantizer,fold_dtype,seed,reference_ppl,rotation_only_ppl,ppl_abs_difference,required_ppl_abs_difference,max_abs_logit_difference,relative_l2_logit_difference,max_round_trip_relative_error,round_trip_tolerance,chunks,chunks_below_reference,mean_nll_delta,max_abs_nll_delta,r1_rank,r1_slots,r4_rank,r4_slots,r2_rank,below_reference_share,required_max_abs_nll_delta,sign_test_applicable,sign_balanced,passed
qwen3_8b_base,Qwen/Qwen3-8B-Base,hadamard,identity,float32,0,8.477103005517801,8.477109810939329,6.805421527644739e-06,0.01,0.0001277923583984375,1.2071707260474795e-06,1.574283174932134e-07,1e-06,64,13,8.028000593185425e-07,3.5762786865234375e-06,,32,,96,,0.203125,0.001,False,False,True
qwen3_8b_base,Qwen/Qwen3-8B-Base,nar_k8,identity,float32,0,8.477103005517801,8.47707965238431,2.3353133490999767e-05,0.01,0.004116058349609375,1.7195325199281797e-05,4.0655285715729406e-07,1e-06,64,57,-2.7548521757125854e-06,1.0371208190917969e-05,8,32,8,96,1,0.890625,0.001,False,False,True
qwen3_8b_base,Qwen/Qwen3-8B-Base,nar_kmax,identity,float32,0,8.477103005517801,8.477104758189643,1.752671842325526e-06,0.01,0.004390716552734375,1.8404170987196267e-05,7.617460369147011e-07,1e-06,64,30,2.0675361156463623e-07,5.7220458984375e-06,32,32,96,96,1,0.46875,0.001,False,True,True
