model,model_id,site,method,seed,sequence,nll,tokens_scored,rotation_only_nll,weight_fold_max_relative_error
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,43,2.8348042964935303,2047,2.8348042964935303,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,44,2.620812177658081,2047,2.620812177658081,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,45,2.348925828933716,2047,2.348925828933716,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,46,2.3406405448913574,2047,2.3406405448913574,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,47,2.4220383167266846,2047,2.4220383167266846,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,48,2.482250690460205,2047,2.482250690460205,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,49,1.8767138719558716,2047,1.8767138719558716,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,50,2.3466925621032715,2047,2.3466925621032715,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,51,2.0805270671844482,2047,2.0805270671844482,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,52,1.9718682765960693,2047,1.9718682765960693,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,53,1.922855257987976,2047,1.922855257987976,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,54,1.8162376880645752,2047,1.8162376880645752,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,55,1.977375864982605,2047,1.977375864982605,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,56,1.8221948146820068,2047,1.8221948146820068,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,57,1.632308006286621,2047,1.632308006286621,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,58,2.0062572956085205,2047,2.0062572956085205,0.0
