model,site,method,seed,ppl,rotation_only_ppl,ppl_delta_vs_bf16,rotation_only_delta_vs_bf16,quantization_cost,ppl_delta_vs_hadamard,recovered_fraction_of_hadamard_gap,effective_bits_per_value,chunks,chunks_below_bf16,mean_nll_delta,std_nll_delta,max_abs_nll_delta,vs_control_chunks,vs_control_chunks_below_bf16,vs_control_mean_nll_delta,vs_control_std_nll_delta,vs_control_max_abs_nll_delta
qwen3_8b_base,both,bf16,20260902,8.823410419427475,8.823410419427475,0.0,0.0,0.0,nan,nan,16.0,146,0,0.0,0.0,0.0,146,0,0.0,0.0,0.0
qwen3_8b_base,both,hadamard,20260902,9.265074843137613,8.82704805279578,0.44166442371013837,0.0036376333683048045,0.43802679034183356,0.0,nan,4.25,146,5,0.04884347360428065,0.03041900566359597,0.22227001190185547,146,4,0.04843128788961123,0.030679331544585832,0.21898102760314941
qwen3_8b_base,both,nar_k8,20260902,9.003966380770239,8.845829889540292,0.18055596134276364,0.022419470112817308,0.15813649122994633,-0.2611084623673747,0.6389798644358315,4.25,146,13,0.020256725076126726,0.02765368289998157,0.1582326889038086,146,13,0.017719040178272822,0.023593823171988222,0.15944671630859375
qwen3_8b_base,both,nar_k16,20260902,9.03552183067091,8.850148968644799,0.2121114112434359,0.026738549217323992,0.18537286202611192,-0.22955301246670246,0.5768001726984598,4.25,146,5,0.023755214802206378,0.022582140650461564,0.11251521110534668,146,4,0.020729387459689625,0.019896429901819286,0.10828924179077148
qwen3_8b_base,both,nar_k32,20260902,8.887142701138629,8.844679773714391,0.06373228171115386,0.021269354286916453,0.04246292742423741,-0.3779321419989845,0.9030586065498424,4.25,146,47,0.007197127766805153,0.03282952619696181,0.239821195602417,146,63,0.004789469176775789,0.031236193614697837,0.2425365447998047
qwen3_8b_base,both,nar_k64,20260902,8.824086780843308,8.848570004759182,0.0006763614158327158,0.025159585331707035,-0.02448322391587432,-0.44098806229430565,1.0558943527101796,4.25,146,69,7.665238968313557e-05,0.022298997406735622,0.11025619506835938,146,84,-0.0027707480404474964,0.020872787938170427,0.09090662002563477
qwen3_8b_base,both,nar_kmax,20260902,8.823651357195645,8.845917984490349,0.0002409377681704683,0.02250756506287388,-0.02226662729470341,-0.4414234859419679,1.050833939351807,4.25,146,70,2.730627582497793e-05,0.022633481618886987,0.11318349838256836,146,84,-0.002520337496718315,0.02094634951984253,0.10977864265441895
