model,rotation,bf16_reference,windows,seed,kv_only_ppl,kv_only_delta_vs_bf16,w_only_ppl,w_only_delta_vs_bf16,a_only_delta_vs_bf16,a_only_source,all_three_delta_vs_bf16,sum_of_components
qwen3_8b_base,hadamard,8.796061445534564,146,0,8.831203809858357,0.03514236432379292,9.888668803947862,1.0926073584132983,0.44166442371013837,"e18v2_summary.csv (bf16 compute, fp32 NLL)",3.2053165390406733,1.5694141464472295
qwen3_8b_base,nar_k8,8.796061445534564,146,0,8.793392652400565,-0.0026687931339992588,9.453272733258677,0.6572112877241132,0.18055596134276364,"e18v2_summary.csv (bf16 compute, fp32 NLL)",0.9402201735369022,0.8350984559328776
qwen3_8b_base,nar_kmax,8.796061445534564,146,0,8.79422077622533,-0.0018406693092334336,9.98620366241901,1.1901422168844462,0.0002409377681704683,"e18v2_summary.csv (bf16 compute, fp32 NLL)",2.0004605412377945,1.1885424853433832
