model,rotation,layer,group,module,columns,rows,hessian_sequences,dead_columns,damp,groupsize,blocksize
qwen3_8b_base,nar_kmax,8,0,self_attn.q_proj,4096,4096,128,0,40.95993423461914,-1,128
qwen3_8b_base,nar_kmax,8,1,self_attn.o_proj,4096,4096,128,0,0.3319983184337616,-1,128
qwen3_8b_base,nar_kmax,8,2,mlp.up_proj,4096,12288,128,0,40.95993423461914,-1,128
qwen3_8b_base,nar_kmax,8,2,mlp.gate_proj,4096,12288,128,0,40.95993423461914,-1,128
qwen3_8b_base,nar_kmax,8,3,mlp.down_proj,12288,4096,128,0,0.4512872099876404,-1,128
qwen3_8b_base,nar_kmax,9,0,self_attn.k_proj,4096,1024,128,0,40.95994186401367,-1,128
qwen3_8b_base,nar_kmax,9,0,self_attn.v_proj,4096,1024,128,0,40.95994186401367,-1,128
qwen3_8b_base,nar_kmax,9,0,self_attn.q_proj,4096,4096,128,0,40.95994186401367,-1,128
qwen3_8b_base,nar_kmax,9,1,self_attn.o_proj,4096,4096,128,0,0.427114337682724,-1,128
qwen3_8b_base,nar_kmax,9,2,mlp.up_proj,4096,12288,128,0,40.95994567871094,-1,128
qwen3_8b_base,nar_kmax,9,2,mlp.gate_proj,4096,12288,128,0,40.95994567871094,-1,128
qwen3_8b_base,nar_kmax,9,3,mlp.down_proj,12288,4096,128,0,0.5907769799232483,-1,128
qwen3_8b_base,nar_kmax,10,0,self_attn.k_proj,4096,1024,128,0,40.95994567871094,-1,128
qwen3_8b_base,nar_kmax,10,0,self_attn.v_proj,4096,1024,128,0,40.95994567871094,-1,128
qwen3_8b_base,nar_kmax,10,0,self_attn.q_proj,4096,4096,128,0,40.95994567871094,-1,128
qwen3_8b_base,nar_kmax,10,1,self_attn.o_proj,4096,4096,128,0,0.6994070410728455,-1,128
qwen3_8b_base,nar_kmax,10,2,mlp.up_proj,4096,12288,128,0,40.95995330810547,-1,128
qwen3_8b_base,nar_kmax,10,2,mlp.gate_proj,4096,12288,128,0,40.95995330810547,-1,128
qwen3_8b_base,nar_kmax,10,3,mlp.down_proj,12288,4096,128,0,0.5999221801757812,-1,128
qwen3_8b_base,nar_kmax,11,0,self_attn.k_proj,4096,1024,128,0,40.9599494934082,-1,128
qwen3_8b_base,nar_kmax,11,0,self_attn.v_proj,4096,1024,128,0,40.9599494934082,-1,128
qwen3_8b_base,nar_kmax,11,0,self_attn.q_proj,4096,4096,128,0,40.9599494934082,-1,128
qwen3_8b_base,nar_kmax,11,1,self_attn.o_proj,4096,4096,128,0,0.6095704436302185,-1,128
qwen3_8b_base,nar_kmax,11,2,mlp.up_proj,4096,12288,128,0,40.95995330810547,-1,128
qwen3_8b_base,nar_kmax,11,2,mlp.gate_proj,4096,12288,128,0,40.95995330810547,-1,128
qwen3_8b_base,nar_kmax,11,3,mlp.down_proj,12288,4096,128,0,0.5699914693832397,-1,128
qwen3_8b_base,nar_kmax,12,0,self_attn.k_proj,4096,1024,128,0,40.95995330810547,-1,128
qwen3_8b_base,nar_kmax,12,0,self_attn.v_proj,4096,1024,128,0,40.95995330810547,-1,128
qwen3_8b_base,nar_kmax,12,0,self_attn.q_proj,4096,4096,128,0,40.95995330810547,-1,128
qwen3_8b_base,nar_kmax,12,1,self_attn.o_proj,4096,4096,128,0,0.8503203988075256,-1,128
qwen3_8b_base,nar_kmax,12,2,mlp.up_proj,4096,12288,128,0,40.959957122802734,-1,128
qwen3_8b_base,nar_kmax,12,2,mlp.gate_proj,4096,12288,128,0,40.959957122802734,-1,128
qwen3_8b_base,nar_kmax,12,3,mlp.down_proj,12288,4096,128,0,0.5729931592941284,-1,128
qwen3_8b_base,nar_kmax,13,0,self_attn.k_proj,4096,1024,128,0,40.9599609375,-1,128
qwen3_8b_base,nar_kmax,13,0,self_attn.v_proj,4096,1024,128,0,40.9599609375,-1,128
qwen3_8b_base,nar_kmax,13,0,self_attn.q_proj,4096,4096,128,0,40.9599609375,-1,128
qwen3_8b_base,nar_kmax,13,1,self_attn.o_proj,4096,4096,128,0,0.6742342710494995,-1,128
qwen3_8b_base,nar_kmax,13,2,mlp.up_proj,4096,12288,128,0,40.9599609375,-1,128
qwen3_8b_base,nar_kmax,13,2,mlp.gate_proj,4096,12288,128,0,40.9599609375,-1,128
