experiment,model,row,seed,eval_set,chunk,nll,tokens,token_sha256
32,qwen3_4b_base,hadamard,0,wt2,33,2.0494558811187744,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,34,1.9280930757522583,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,35,2.0479555130004883,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,36,1.6672266721725464,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,37,1.496338129043579,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,38,1.6209689378738403,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,39,1.4220045804977417,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,40,1.6439213752746582,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,41,2.011658191680908,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,42,2.4566762447357178,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,43,2.6863558292388916,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,44,2.5798888206481934,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,45,2.359757661819458,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,46,2.3026013374328613,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,47,2.4179601669311523,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,48,2.411714792251587,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,49,1.982957363128662,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,50,2.2791357040405273,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,51,1.9409154653549194,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,52,1.8880432844161987,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,53,1.8043464422225952,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,54,1.6851277351379395,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
