model,row,seed,site,layer,group,group_class,observations,mean_range,scope
qwen3_4b_base,Q1_asym,0,down,0,54,anchor,131072,0.1049581946801581,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,55,anchor,131072,0.10655130561322324,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,56,anchor,131072,0.10162203041345919,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,57,anchor,131072,0.10500703768054365,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,58,anchor,131072,0.10546014412744853,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,59,anchor,131072,0.10006687761354982,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,60,anchor,131072,0.10476467080980001,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,61,anchor,131072,0.10368059294645349,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,62,anchor,131072,0.10939391628075157,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,63,anchor,131072,0.1052386370513716,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,64,anchor,131072,0.10430702580796947,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,65,anchor,131072,0.10218491449135314,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,66,anchor,131072,0.10954694916182461,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,67,anchor,131072,0.112834971869475,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,68,anchor,131072,0.10183040075634153,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,69,anchor,131072,0.10728767079299217,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,70,anchor,131072,0.10777424672960478,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,71,anchor,131072,0.10532231723964003,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,72,anchor,131072,0.10647611210126229,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,73,anchor,131072,0.10148066304279268,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,74,anchor,131072,0.10463560990233134,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,0,75,anchor,131072,0.10750868641405731,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,0,anchor,131072,0.05537110475635032,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,1,anchor,131072,0.06744967963725657,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,2,anchor,131072,0.05927220781532938,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,3,anchor,131072,0.06422934458824514,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,4,anchor,131072,0.05029554843807382,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,5,anchor,131072,0.059121747626047494,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,6,anchor,131072,0.06120095416295257,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,7,anchor,131072,0.06224207766132395,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,8,anchor,131072,0.0766175604868451,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,9,anchor,131072,0.05992596934079586,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,10,anchor,131072,0.05725869233978642,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,11,anchor,131072,0.05724682433357131,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,12,anchor,131072,0.05141737834065907,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,13,anchor,131072,0.05822851021171971,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,14,anchor,131072,0.05580604704885772,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,15,anchor,131072,0.05583839959837533,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,16,anchor,131072,0.055790232328977396,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,17,anchor,131072,0.058369881523990585,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,18,anchor,131072,0.0636825615907135,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,19,anchor,131072,0.053916569457626906,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,20,anchor,131072,0.054869366705609934,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,21,anchor,131072,0.06132670009279906,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,22,anchor,131072,0.06310576033417803,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,23,anchor,131072,0.05327061144484091,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,24,anchor,131072,0.06169406379894404,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,25,anchor,131072,0.060634690483350795,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,26,anchor,131072,0.06491841271969712,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,27,anchor,131072,0.06787459084335268,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,28,anchor,131072,0.06338892937482399,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,29,anchor,131072,0.06180606082303086,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,30,anchor,131072,0.05726810395421822,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,31,anchor,131072,0.06927896750521789,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,32,anchor,131072,0.06643547068070177,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,33,anchor,131072,0.062263661708605866,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,34,anchor,131072,0.05982592459811009,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,35,anchor,131072,0.05162307117448428,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,36,anchor,131072,0.05704051190042847,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,37,anchor,131072,0.06111287102879892,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,38,anchor,131072,0.06119825636538678,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,39,anchor,131072,0.060744998109900195,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,40,anchor,131072,0.06881713218720975,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,41,anchor,131072,0.07396380656926027,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,42,anchor,131072,0.05759024062436424,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,43,anchor,131072,0.06593084317293219,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,44,anchor,131072,0.06078769515234228,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,45,anchor,131072,0.06103156075612226,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,46,anchor,131072,0.060694849212138635,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,47,anchor,131072,0.06224166744723014,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,48,anchor,131072,0.06025940330211199,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,49,anchor,131072,0.06588351584860419,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,50,anchor,131072,0.06587032653188452,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,51,anchor,131072,0.06030256610578988,actual_quantized_forward
