model,solver,ritz_residual_median_over_sites,ritz_residual_max,principal_angle_max_deg,f_down_mean,f_qkv_mean
qwen3_4b_base,S1,2.8395850823827757,10.747662430490015,89.99854273213428,0.008518041386381018,0.011922532822447422
qwen3_4b_base,S2,0.42558069952577926,0.7186374085974311,89.99062836802261,0.2903591500909233,0.5370454308961857
qwen3_4b_base,S3,0.11642422616427275,0.33799174102013774,89.97139106503059,0.3246269063823571,0.5549195538710842
qwen3_4b_base,S4,4.872866930648346e-15,3.025940233101729e-11,1.024528375501914e-05,0.33392546316897,0.5570727392620517
