model,index_basis,token_class,token_count,fraction_of_scored_positions,ci_unit,BOS_note,gain_sum,gain_mean,gain_ci90_low,gain_ci90_high,gain_share,gain_share_ci90_low,gain_share_ci90_high,offset_spec_sum,offset_spec_mean,offset_spec_ci90_low,offset_spec_ci90_high,offset_spec_share,offset_spec_share_ci90_low,offset_spec_share_ci90_high
qwen3_4b_base,predictor,BOS,64,0.0004885197850512946,64 chunks; paired seeds averaged; ratio delta method; t63,BOS-associated first-text-token prediction,-15.45907513300578,-0.2415480489532153,-0.3172849952710398,-0.16581110263539078,-0.005119454380442294,-0.00679462013228349,-0.0034442886286010976,39.73349205652873,0.6208358133832614,0.47707322663876056,0.7645984001277624,-0.17912328507427214,-0.35259335417865545,-0.005653215969888825
qwen3_4b_base,predictor,massive,132,0.001007572056668295,64 chunks; paired seeds averaged; ratio delta method; t63,BOS-associated first-text-token prediction,142.25884053522654,1.0777184889032314,0.7234520509820626,1.4319849268244003,0.047110686639964795,0.03302244139351303,0.06119893188641656,-14.081193960890761,-0.10667571182493,-0.42764436573390757,0.21429294208404753,0.06347968903549502,-0.14277573219586825,0.2697351102668583
qwen3_4b_base,predictor,other,130812,0.9985039081582804,64 chunks; paired seeds averaged; ratio delta method; t63,BOS-associated first-text-token prediction,2892.8726418886117,0.02211473444247173,0.021006890849241826,0.023222578035701633,0.9580087677404776,0.9434237294722481,0.9725938060087072,-247.47433558257632,-0.0018918320611455853,-0.003459836557373471,-0.00032382756491769926,1.1156435960387772,0.8997742658374723,1.331512926240082
qwen3_4b_base,predictor,BOS+massive,196,0.0014960918417195896,64 chunks; paired seeds averaged; ratio delta method; t63,BOS-associated first-text-token prediction,126.79976540222076,0.6469375785827589,0.40744104638225387,0.886434110783264,0.0419912322595225,0.027406193991292925,0.05657627052775207,25.652298095637967,0.13087907191652023,-0.09330514478299012,0.3550632886160306,-0.11564359603877711,-0.3315129262400819,0.1002257341625277
