model,seed,site,layer,k,f_wt2,f_c4,f_delta,all_jaccard,all_changed_fraction,all_slots,anchor_jaccard,anchor_changed_fraction,anchor_slots,filler_jaccard,filler_changed_fraction,filler_slots,residual_jaccard,residual_changed_fraction,residual_slots
qwen3_4b_base,0,qkv,11,20,0.5141592640089483,0.5008270357596547,-0.013332228249293587,0.009065825778478517,0.98203125,2560,1.0,0.0,20,,,0,0.0051444400474871385,0.989763779527559,2540
qwen3_4b_base,0,qkv,12,20,0.5565853567069696,0.5489111194098839,-0.0076742372970857176,0.010459838168541543,0.979296875,2560,1.0,0.0,20,,,0,0.006538537745195166,0.9870078740157481,2540
qwen3_4b_base,0,qkv,13,20,0.5156005781987266,0.5157994612452546,0.0001988830465279312,0.008668242710795903,0.9828125,2560,1.0,0.0,20,,,0,0.004746835443037975,0.9905511811023622,2540
qwen3_4b_base,0,qkv,14,20,0.5933838951203507,0.6059175308313258,0.0125336357109751,0.00688298918387414,0.986328125,2560,1.0,0.0,20,,,0,0.0029615004935834156,0.9940944881889764,2540
qwen3_4b_base,0,qkv,15,20,0.6036660126467733,0.618784811432203,0.015118798785429655,0.008668242710795903,0.9828125,2560,1.0,0.0,20,,,0,0.004746835443037975,0.9905511811023622,2540
qwen3_4b_base,0,qkv,16,20,0.5410624655087481,0.56246383866667,0.0214013731579219,0.009662788404653915,0.980859375,2560,1.0,0.0,20,,,0,0.005741437339140764,0.9885826771653543,2540
qwen3_4b_base,0,qkv,17,20,0.5533818873514637,0.5789073733813818,0.02552548602991811,0.00747737111373475,0.98515625,2560,1.0,0.0,20,,,0,0.0035559067562228367,0.9929133858267717,2540
qwen3_4b_base,0,qkv,18,20,0.603358569921399,0.63407716590323,0.03071859598183102,0.007279165846940783,0.985546875,2560,1.0,0.0,20,,,0,0.003357693067351373,0.9933070866141732,2540
qwen3_4b_base,0,qkv,19,20,0.6128908260201934,0.6391253456354848,0.02623451961529144,0.00747737111373475,0.98515625,2560,1.0,0.0,20,,,0,0.0035559067562228367,0.9929133858267717,2540
qwen3_4b_base,0,qkv,20,20,0.6213876907126022,0.6475879724873551,0.026200281774752865,0.007081038552321007,0.9859375,2560,1.0,0.0,20,,,0,0.00315955766192733,0.9937007874015749,2540
qwen3_4b_base,0,qkv,21,20,0.6659949031972916,0.6892450743022366,0.023250171104944983,0.0064871240416748575,0.987109375,2560,1.0,0.0,20,,,0,0.0025656206828498125,0.9948818897637796,2540
qwen3_4b_base,0,qkv,22,20,0.6427319088833272,0.6635354422488928,0.02080353336556562,0.007279165846940783,0.985546875,2560,1.0,0.0,20,,,0,0.003357693067351373,0.9933070866141732,2540
qwen3_4b_base,0,qkv,23,20,0.6184228281566378,0.6290317199573519,0.010608891800714004,0.009065825778478517,0.98203125,2560,1.0,0.0,20,,,0,0.0051444400474871385,0.989763779527559,2540
qwen3_4b_base,0,qkv,24,20,0.6083230150068535,0.6131084527562269,0.004785437749373456,0.00747737111373475,0.98515625,2560,1.0,0.0,20,,,0,0.0035559067562228367,0.9929133858267717,2540
qwen3_4b_base,0,qkv,25,20,0.6513891544278959,0.6574569350493228,0.006067780621426877,0.007279165846940783,0.985546875,2560,1.0,0.0,20,,,0,0.003357693067351373,0.9933070866141732,2540
qwen3_4b_base,0,qkv,26,20,0.5969810999853689,0.6054343783028879,0.008453278317519075,0.00846956864289935,0.983203125,2560,1.0,0.0,20,,,0,0.004548151077714059,0.9909448818897638,2540
