model,source_row,seed,chunk,fp64_mean_of_token_losses,frozen_fp32_chunk_nll,difference,interpretation
qwen3_4b_base,Q1_pq,0,35,2.0240119508781165,2.0240118503570557,1.0052106080848944e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,36,1.64743532563254,1.6474354267120361,-1.0107949610649314e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,37,1.4581487480645037,1.4581488370895386,-8.902503489949254e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,38,1.5928473797320584,1.5928473472595215,3.2472536881655856e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,39,1.3941409276997427,1.3941409587860107,-3.10862680041879e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,40,1.6146062052544832,1.6146061420440674,6.321041579049336e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,41,1.9981513346425797,1.9981513023376465,3.2304933172966344e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,42,2.440805150967343,2.440805196762085,-4.579474177646148e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,43,2.6583078908625453,2.6583077907562256,1.0010631967816153e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,44,2.5524201335844583,2.552419900894165,2.326902932558994e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,45,2.3237906049613026,2.3237905502319336,5.472936903672121e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,46,2.2792693198501928,2.279269218444824,1.0140536854663651e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,47,2.37941175009862,2.3794116973876953,5.2710924514087765e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,48,2.3978699455674026,2.397869825363159,1.202042434478301e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,49,1.9783528219237427,1.9783527851104736,3.68132690997669e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,50,2.266854524603449,2.2668545246124268,-8.977707466328866e-12,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,51,1.9375527375270005,1.9375526905059814,4.702101907838596e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,52,1.8647169793260077,1.8647170066833496,-2.7357341947364944e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,53,1.7919435828940626,1.7919435501098633,3.2784199355262444e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,54,1.6640441069530598,1.6640441417694092,-3.481634935909028e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,55,1.8332043938722553,1.8332045078277588,-1.1395550347792494e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,56,1.614044290998858,1.6140443086624146,-1.7663556617364407e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,57,1.5487226031766177,1.5487226247787476,-2.1602129862685615e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,58,1.8887127083609898,1.8887126445770264,6.378396344430826e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,59,1.8439586027414174,1.8439586162567139,-1.3515296437560664e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,60,2.108795179125902,2.108795404434204,-2.2530830223743692e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,61,2.285625737470049,2.285625696182251,4.12877980693338e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,62,2.358180958242301,2.3581809997558594,-4.151355836867765e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_pq,0,63,2.6180917673160535,2.6180918216705322,-5.43544786957284e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,0,1.831339758848578,1.831339716911316,4.1937262107438755e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,1,2.2845341166028366,2.284534215927124,-9.932428746139976e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,2,2.474240156560785,2.4742400646209717,9.1939813540165e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,3,2.2225631551964784,2.2225632667541504,-1.1155767198900435e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,4,1.9729999298311605,1.972999930381775,-5.506144429290316e-10,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,5,1.5533962138151,1.553396224975586,-1.1160485868799697e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,6,1.3104242995749522,1.3104242086410522,9.093389996550627e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,7,1.9017430519694738,1.9017430543899536,-2.420479816578336e-09,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,8,2.1277083640061276,2.1277084350585938,-7.105246613292593e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,9,2.2252499518779505,2.225250005722046,-5.3844095404542713e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,10,2.0896274587836454,2.089627504348755,-4.556510946329695e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,11,2.1374393392176048,2.137439250946045,8.827155983937018e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,12,2.124936721166911,2.124936580657959,1.4050895202899483e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,13,2.2753024192667204,2.2753024101257324,9.140987966560488e-09,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,14,2.1969708584933585,2.1969707012176514,1.5727570712442684e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,15,2.310627571001774,2.3106276988983154,-1.278965413575861e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,16,2.4289627401089966,2.4289629459381104,-2.0582911375299773e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,17,2.266648046846256,2.266648054122925,-7.276668601008396e-09,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,18,2.044875509821252,2.0448756217956543,-1.1197440219490318e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,19,1.8815151926585432,1.8815151453018188,4.735672431976923e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,20,2.0622824830445254,2.0622825622558594,-7.921133393651303e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,21,2.3081366270118195,2.3081367015838623,-7.457204276306584e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,22,2.0570321523899517,2.057032346725464,-1.943355121269974e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,23,2.2123779739929748,2.2123777866363525,1.8735662221658345e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,24,2.1817890960371082,2.181788921356201,1.746809070723998e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,25,2.275291293328959,2.2752914428710938,-1.4954213467532895e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,26,2.3537098646927888,2.3537096977233887,1.6696940008387173e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,27,2.5492459484780534,2.549245834350586,1.1412746747652136e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,28,2.3207465518079298,2.320746421813965,1.2999396492574533e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,29,1.920711154690213,1.9207111597061157,-5.015902804217376e-09,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,30,1.8565207340211038,1.856520652770996,8.125010775295038e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,31,1.767647240450531,1.7676472663879395,-2.5937408443255094e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,32,1.574059518536275,1.5740594863891602,3.214711474797127e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,33,2.0494558184753706,2.0494558811187744,-6.264340379757982e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,34,1.92809316691191,1.9280930757522583,9.115965160511053e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,35,2.0479554275428615,2.0479555130004883,-8.545762675282731e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,36,1.6672266894871,1.6672266721725464,1.731455356868139e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,37,1.496338163656809,1.496338129043579,3.4613229837887616e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,38,1.6209689146005666,1.6209689378738403,-2.3273273752622003e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,39,1.4220044786695576,1.4220045804977417,-1.0182818410697791e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,40,1.6439213561177086,1.6439213752746582,-1.9156949582210814e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,41,2.011657972973261,2.011658191680908,-2.1870764710385515e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,42,2.45667621463813,2.4566762447357178,-3.009758797745121e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,43,2.6863556427777056,2.6863558292388916,-1.8646118604692674e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,44,2.579888582386328,2.5798888206481934,-2.3826186534847693e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,45,2.359757667576808,2.359757661819458,5.757350152180152e-09,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,46,2.3026013205182236,2.3026013374328613,-1.6914637690490508e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,47,2.4179601819840344,2.4179601669311523,1.505288205194688e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,48,2.4117148315502104,2.411714792251587,3.9298623466521576e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,49,1.9829573611500424,1.982957363128662,-1.9786197125171157e-09,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,50,2.2791357682875386,2.2791357040405273,6.424701126661603e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,51,1.940915478977538,1.9409154653549194,1.362261858872671e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,52,1.8880432011624433,1.8880432844161987,-8.325375544515623e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,53,1.8043463475712425,1.8043464422225952,-9.465135275554815e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,54,1.6851277489560283,1.6851277351379395,1.3818088895334313e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,55,1.8627164207768971,1.8627164363861084,-1.5609211256872868e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,56,1.6374893342045698,1.6374893188476562,1.535691351861601e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,57,1.5695228752119874,1.569522738456726,1.3675526133738458e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,58,1.900023734806426,1.9000236988067627,3.599966325040782e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,59,1.8675699671815618,1.8675700426101685,-7.542860669396134e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,60,2.1337427353743785,2.1337428092956543,-7.392127576721919e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,61,2.2976049394587807,2.29760479927063,1.4018815086558334e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,62,2.388612272320191,2.3886122703552246,1.9649664118048804e-09,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q1_hadamard,0,63,2.648219623060697,2.6482198238372803,-2.0077658335893034e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,0,1.8141200931775188,1.8141200542449951,3.893252364939315e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,1,2.271617141692886,2.2716169357299805,2.0596290539742768e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,2,2.45464071043743,2.4546406269073486,8.353008151829044e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,3,2.2146498906455507,2.2146499156951904,-2.5049639695851056e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,4,1.9549137206252982,1.9549137353897095,-1.4764411249146292e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,5,1.5287600842381524,1.5287601947784424,-1.1054029003254584e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,6,1.3121043979244815,1.312104344367981,5.3556500567708554e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,7,1.891792739894369,1.8917927742004395,-3.4306070428868907e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,8,2.114227473661292,2.114227533340454,-5.967916205662505e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,9,2.2078996743939006,2.207899808883667,-1.3448976643459787e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,10,2.081282965492328,2.0812828540802,1.1141212796772493e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,11,2.1276361168091666,2.1276357173919678,3.994171988708217e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,12,2.1072178626784863,2.107218027114868,-1.6443638184426845e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,13,2.270216179528027,2.270216226577759,-4.704973166624882e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
