model,solver,site,layer,k,captured_fraction,ritz_residual_median,ritz_residual_max,principal_angle_max_deg
qwen3_4b_base,S1,qkv,0,20,0.010992756974386928,4.05505960620284,8.563587171479844,89.39947294979301
qwen3_4b_base,S2,qkv,0,20,0.5478365196449175,0.26964070606967666,0.5378867538390883,43.056807438911406
qwen3_4b_base,S3,qkv,0,20,0.5648338338514519,0.046173747952746494,0.12422993140257871,14.303442642708665
qwen3_4b_base,S4,qkv,0,20,0.5656640872422127,3.8414115769621116e-15,6.019453318466803e-15,3.818191820832846e-06
qwen3_4b_base,S1,qkv,1,20,0.012317159714349475,3.2068753168855646,7.178306119834194,89.48276446783935
qwen3_4b_base,S2,qkv,1,20,0.47063985290264815,0.35073016937630386,0.513023012432803,71.51250750196519
qwen3_4b_base,S3,qkv,1,20,0.49278369594135246,0.10568176502134422,0.1981759301835702,42.41598464712951
qwen3_4b_base,S4,qkv,1,20,0.4961778573115227,5.095140206930923e-15,7.46198481509264e-14,6.273929367455621e-06
qwen3_4b_base,S1,qkv,2,20,0.011148189976394506,2.838298739658886,6.682515309751495,89.46203030118765
qwen3_4b_base,S2,qkv,2,20,0.33010244592087806,0.3835826430769874,0.5632421147174372,88.0235343747216
qwen3_4b_base,S3,qkv,2,20,0.3552152987897244,0.10902845826015341,0.17747406605648663,65.98992556552066
qwen3_4b_base,S4,qkv,2,20,0.3589154132959702,2.886609946797914e-15,4.427570085202994e-15,4.00455336570039e-06
qwen3_4b_base,S1,qkv,3,20,0.012053191264789632,3.0132906483784114,7.060812470352519,89.64924373475715
qwen3_4b_base,S2,qkv,3,20,0.4093356524867441,0.3660882578203046,0.5099756945929107,77.02520414433195
qwen3_4b_base,S3,qkv,3,20,0.43113490352415174,0.116222330432044,0.2409017174992701,52.169405127003344
qwen3_4b_base,S4,qkv,3,20,0.43591920763471026,4.008198800523082e-15,8.149900500447189e-15,4.353408482428141e-06
qwen3_4b_base,S1,qkv,4,20,0.009081915596236657,2.5196483741033266,9.17258312410233,89.96421257307121
qwen3_4b_base,S2,qkv,4,20,0.3234846032954313,0.42273488360298767,0.5594945867208172,84.7662045229744
qwen3_4b_base,S3,qkv,4,20,0.3487069842250176,0.10858480197694803,0.2194878705483488,71.92340378396827
qwen3_4b_base,S4,qkv,4,20,0.35299285068221414,3.523830797101794e-15,1.7432043940176455e-14,5.331814711926508e-06
qwen3_4b_base,S1,qkv,5,20,0.011432553182467206,2.8408714251066653,7.3220337521505146,89.25090880063834
qwen3_4b_base,S2,qkv,5,20,0.4307521568256686,0.37812706256809125,0.5107566883542749,83.31208449118162
qwen3_4b_base,S3,qkv,5,20,0.45153278284147996,0.10522746420251589,0.19924260975995692,64.38415392926984
qwen3_4b_base,S4,qkv,5,20,0.454477029070088,4.266701561369579e-15,7.43332507159526e-15,7.143182815269534e-06
qwen3_4b_base,S1,qkv,6,20,0.011308727295430617,2.84383951029326,7.176697062009137,89.58681877403292
qwen3_4b_base,S2,qkv,6,20,0.41177075620540887,0.3997337506061024,0.5296019110607975,69.19187531212063
qwen3_4b_base,S3,qkv,6,20,0.4365987620571026,0.09499571589320935,0.19458874874994278,45.960890431198976
qwen3_4b_base,S4,qkv,6,20,0.43976434884493837,4.1793406410188924e-15,7.937671932748707e-15,5.331814711926508e-06
qwen3_4b_base,S1,qkv,7,20,0.011774524373718601,3.0668023964756976,7.8424432138187905,89.49902836675325
qwen3_4b_base,S2,qkv,7,20,0.5460312655702957,0.37040488940084715,0.5175403711355442,70.55714811187862
qwen3_4b_base,S3,qkv,7,20,0.5624232919252431,0.09836604073239114,0.17949893051898289,36.02312272219145
qwen3_4b_base,S4,qkv,7,20,0.5644343194678253,8.48446835123387e-15,1.4113140190857202e-14,5.193302344775283e-06
qwen3_4b_base,S1,qkv,8,20,0.013007887376978304,2.692502001080361,6.676048361658726,89.98024351395303
qwen3_4b_base,S2,qkv,8,20,0.46011015448132725,0.3835684884592233,0.616801386100969,71.74250105104602
qwen3_4b_base,S3,qkv,8,20,0.47812488284533305,0.09979959038144642,0.2175835510447225,59.31892744946546
qwen3_4b_base,S4,qkv,8,20,0.48051892641369864,1.0406315896383622e-14,7.191864461216065e-14,5.533085616490783e-06
qwen3_4b_base,S1,qkv,9,20,0.011540009251706456,2.61012475081507,7.682852734110308,89.71198434250002
qwen3_4b_base,S2,qkv,9,20,0.46002030226592616,0.4284265154485708,0.559510103402857,73.6030838041212
qwen3_4b_base,S3,qkv,9,20,0.479386578862254,0.11662612189650153,0.20966128977162102,42.3914560551278
qwen3_4b_base,S4,qkv,9,20,0.4822806188847719,1.161882182101484e-14,1.2959485912193207e-13,5.0509930079323e-06
qwen3_4b_base,S1,qkv,10,20,0.011081959683340714,2.5463098461117113,8.203173094102118,89.77578415570537
qwen3_4b_base,S2,qkv,10,20,0.5034730011626092,0.40946141603286645,0.5688959106564169,69.34149902229518
qwen3_4b_base,S3,qkv,10,20,0.5208401372406911,0.09037661819368006,0.2183953415471316,54.64186007758532
qwen3_4b_base,S4,qkv,10,20,0.5231222291052852,7.506965518170882e-15,7.226439886554199e-14,3.818191820832846e-06
qwen3_4b_base,S1,qkv,11,20,0.011445946244348994,2.662686953310108,8.025863340585797,89.85611984120693
qwen3_4b_base,S2,qkv,11,20,0.49577167496926505,0.41829406773850597,0.5948173519883186,87.84322509383877
qwen3_4b_base,S3,qkv,11,20,0.5141592640089483,0.11447697268329407,0.24000777795661823,71.21283573968441
qwen3_4b_base,S4,qkv,11,20,0.5176964412773157,7.662332159661729e-15,1.930666590283866e-14,5.598568198963992e-06
qwen3_4b_base,S1,qkv,12,20,0.011202887379512822,3.0475199091804934,8.167588373680923,89.81984450100431
qwen3_4b_base,S2,qkv,12,20,0.5376043588859167,0.37855064260050697,0.5086755696728038,84.23678881720852
qwen3_4b_base,S3,qkv,12,20,0.5565853567069696,0.09651024099889884,0.21136600606668077,63.14914183959465
qwen3_4b_base,S4,qkv,12,20,0.5589481715400348,1.060022620010526e-14,2.4425514375339703e-14,4.597711793052988e-06
qwen3_4b_base,S1,qkv,13,20,0.010791514143088843,3.096723956699925,7.9826374695351525,89.22780621804364
qwen3_4b_base,S2,qkv,13,20,0.4953818018381527,0.3869141981164005,0.5572305936350246,63.25035993651835
qwen3_4b_base,S3,qkv,13,20,0.5156005781987266,0.08878541154007084,0.20022692968731856,31.066265480006994
qwen3_4b_base,S4,qkv,13,20,0.5180313288599249,4.682430376470254e-15,2.625198530771347e-14,5.0509930079323e-06
qwen3_4b_base,S1,qkv,14,20,0.011812162897505262,3.1820263114038827,7.993681680097651,89.6019563555094
qwen3_4b_base,S2,qkv,14,20,0.5774977172968045,0.35411968701982227,0.5431780398826209,81.83238253836521
qwen3_4b_base,S3,qkv,14,20,0.5933838951203507,0.09844215713167592,0.16853666385406307,40.36708092163691
qwen3_4b_base,S4,qkv,14,20,0.5950406740545371,8.495755094477094e-15,3.623449334635089e-14,5.533085616490783e-06
qwen3_4b_base,S1,qkv,15,20,0.010999514423205303,3.574421738950862,8.290182432631648,89.05110141227883
qwen3_4b_base,S2,qkv,15,20,0.5875242824684977,0.3365067295910117,0.5411659598991945,68.26346087158089
qwen3_4b_base,S3,qkv,15,20,0.6036660126467733,0.07313132496367822,0.19047843642113654,30.964635823408074
qwen3_4b_base,S4,qkv,15,20,0.6052762384021043,7.850043362727402e-15,7.531226397259189e-14,4.7536104815230715e-06
qwen3_4b_base,S1,qkv,16,20,0.01070071324635804,2.8591341816784253,8.141323108120973,89.87412220208873
qwen3_4b_base,S2,qkv,16,20,0.5224629482526345,0.3857621796735801,0.6321702052786501,62.153920069603544
qwen3_4b_base,S3,qkv,16,20,0.5410624655087481,0.08333753495685618,0.16772028145426982,41.36843991703541
qwen3_4b_base,S4,qkv,16,20,0.5425679789369107,9.049007251336892e-15,5.4191592900231945e-14,4.90455619685548e-06
qwen3_4b_base,S1,qkv,17,20,0.011249666104631649,3.562309388678318,7.767910746360171,89.86347794282013
qwen3_4b_base,S2,qkv,17,20,0.5365944454690131,0.30463497063164524,0.5682687697066364,77.57487000698195
qwen3_4b_base,S3,qkv,17,20,0.5533818873514637,0.06063101611463813,0.17939365716714983,23.99796998612188
qwen3_4b_base,S4,qkv,17,20,0.554651674260014,6.928710728388881e-15,1.885296665159142e-14,5.399738656763835e-06
qwen3_4b_base,S1,qkv,18,20,0.013760876265474965,3.435056652813616,6.708068090136316,89.40269485910287
qwen3_4b_base,S2,qkv,18,20,0.5879028947703993,0.3153382697149312,0.4864983792805423,62.69031742390003
qwen3_4b_base,S3,qkv,18,20,0.603358569921399,0.05182177359920133,0.16829905237271933,18.879019736539373
qwen3_4b_base,S4,qkv,18,20,0.6043826315549411,6.71375617083323e-15,1.3329002233983694e-14,4.90455619685548e-06
qwen3_4b_base,S1,qkv,19,20,0.014235974061343486,3.43629576642858,6.846486646303782,89.71628391442337
qwen3_4b_base,S2,qkv,19,20,0.598435509004344,0.321315880960547,0.46941314837195686,58.37587060377717
qwen3_4b_base,S3,qkv,19,20,0.6128908260201934,0.06630075282553168,0.14988196410183113,30.721088857151788
qwen3_4b_base,S4,qkv,19,20,0.614273044820348,7.989311354630208e-15,8.763651573136767e-14,4.7536104815230715e-06
