rotation,site,layer,n,round_trip_relative_error,tolerance
nar_k8,r2,10,128,1.6070117681010743e-07,1e-06
nar_k8,r4,10,9728,1.3325123404683836e-07,1e-06
nar_k8,r2,11,128,1.3267434439967474e-07,1e-06
nar_k8,r4,11,9728,1.4305965123639908e-07,1e-06
nar_k8,r2,12,128,1.2258166748324584e-07,1e-06
nar_k8,r4,12,9728,1.3635482787321962e-07,1e-06
nar_k8,r2,13,128,1.1096817331690545e-07,1e-06
nar_k8,r4,13,9728,1.2908853364024253e-07,1e-06
nar_k8,r2,14,128,1.227774788503666e-07,1e-06
nar_k8,r4,14,9728,1.378815284169832e-07,1e-06
nar_k8,r2,15,128,1.2460115783596848e-07,1e-06
nar_k8,r4,15,9728,1.236969353612949e-07,1e-06
nar_k8,r2,16,128,1.219841152533263e-07,1e-06
nar_k8,r4,16,9728,1.5016591703442828e-07,1e-06
nar_k8,r2,17,128,1.2085199330158503e-07,1e-06
nar_k8,r4,17,9728,1.6150771386946872e-07,1e-06
nar_k8,r2,18,128,1.468874017973576e-07,1e-06
nar_k8,r4,18,9728,1.6820879977785808e-07,1e-06
nar_k8,r2,19,128,1.163179916829904e-07,1e-06
nar_k8,r4,19,9728,1.3238907570212177e-07,1e-06
nar_k8,r2,20,128,1.1218583750860489e-07,1e-06
nar_k8,r4,20,9728,1.2539993576865527e-07,1e-06
nar_k8,r2,21,128,1.145817947190153e-07,1e-06
nar_k8,r4,21,9728,1.3238921781066892e-07,1e-06
nar_k8,r2,22,128,1.1628474538838418e-07,1e-06
nar_k8,r4,22,9728,1.3277421828661318e-07,1e-06
nar_k8,r2,23,128,1.1857583359642376e-07,1e-06
nar_k8,r4,23,9728,1.3010802035751112e-07,1e-06
nar_k8,r2,24,128,1.238923204027742e-07,1e-06
nar_k8,r4,24,9728,1.5066468961322244e-07,1e-06
nar_k8,r2,25,128,1.1888512574387278e-07,1e-06
nar_k8,r4,25,9728,1.403455769377615e-07,1e-06
nar_k8,r2,26,128,1.2589131870299752e-07,1e-06
nar_k8,r4,26,9728,1.4741364395831624e-07,1e-06
nar_k8,r2,27,128,1.1697706980839939e-07,1e-06
nar_k8,r4,27,9728,1.2065717669429432e-07,1e-06
nar_k8,r2,28,128,1.2663937809520576e-07,1e-06
nar_k8,r4,28,9728,1.540137617439541e-07,1e-06
nar_k8,r2,29,128,1.161581479891538e-07,1e-06
nar_k8,r4,29,9728,1.395342508203612e-07,1e-06
nar_k8,r2,30,128,1.2382075453842845e-07,1e-06
nar_k8,r4,30,9728,1.4082635857448622e-07,1e-06
nar_k8,r2,31,128,1.2650362180011143e-07,1e-06
nar_k8,r4,31,9728,1.59823642320589e-07,1e-06
nar_k8,r2,32,128,1.1444434022678251e-07,1e-06
nar_k8,r4,32,9728,1.4544960436069232e-07,1e-06
nar_k8,r2,33,128,1.2134776739003428e-07,1e-06
nar_k8,r4,33,9728,1.5219119120502e-07,1e-06
nar_k8,r2,34,128,1.241252789441205e-07,1e-06
nar_k8,r4,34,9728,2.7109234679301153e-07,1e-06
nar_k8,r2,35,128,1.1891528117757844e-07,1e-06
nar_k8,r4,35,9728,4.3713066588679794e-07,1e-06
nar_kmax,r1,0,2560,1.6817384107525868e-07,1e-06
nar_kmax,r2,0,128,1.3871304815893382e-07,1e-06
nar_kmax,r4,0,9728,2.1465893951244652e-07,1e-06
nar_kmax,r2,1,128,1.1393141363669201e-07,1e-06
nar_kmax,r4,1,9728,8.705144409759669e-07,1e-06
nar_kmax,r2,2,128,1.2528178672255308e-07,1e-06
nar_kmax,r4,2,9728,5.662941475748084e-07,1e-06
nar_kmax,r2,3,128,1.2430125195805886e-07,1e-06
nar_kmax,r4,3,9728,5.001860472475528e-07,1e-06
nar_kmax,r2,4,128,1.1793411403004939e-07,1e-06
nar_kmax,r4,4,9728,2.3598845189098938e-07,1e-06
nar_kmax,r2,5,128,1.2129034132613015e-07,1e-06
nar_kmax,r4,5,9728,2.1158002994070557e-07,1e-06
nar_kmax,r2,6,128,1.4051893515443226e-07,1e-06
nar_kmax,r4,6,9728,2.597733725906437e-07,1e-06
nar_kmax,r2,7,128,1.227386832169941e-07,1e-06
nar_kmax,r4,7,9728,1.9340532730893756e-07,1e-06
nar_kmax,r2,8,128,1.2706945540230663e-07,1e-06
nar_kmax,r4,8,9728,1.9293175057555345e-07,1e-06
nar_kmax,r2,9,128,1.1905697050451636e-07,1e-06
nar_kmax,r4,9,9728,2.162898624646914e-07,1e-06
nar_kmax,r2,10,128,1.2670862759023294e-07,1e-06
nar_kmax,r4,10,9728,2.1557778495662205e-07,1e-06
nar_kmax,r2,11,128,1.2083931721917907e-07,1e-06
nar_kmax,r4,11,9728,2.1097127955727046e-07,1e-06
nar_kmax,r2,12,128,1.1146157419261726e-07,1e-06
nar_kmax,r4,12,9728,2.2527541432282305e-07,1e-06
nar_kmax,r2,13,128,1.259546706933179e-07,1e-06
nar_kmax,r4,13,9728,2.0367390618503123e-07,1e-06
nar_kmax,r2,14,128,1.1844861091958592e-07,1e-06
nar_kmax,r4,14,9728,2.038026138961868e-07,1e-06
nar_kmax,r2,15,128,1.2445434549590573e-07,1e-06
