experiment,model,row,eval_set,reference,mean_ppl,seed_std,seed_ppls,delta,ci90_low,ci90_high,seed_ci90_low,seed_ci90_high,nll_delta,nll_ci90_low,nll_ci90_high,ci_method,seeds,chunks_per_seed
30,qwen3_4b_base,hadamard,wt2,hadamard,7.876937705826866,0.00993311840175216,"[7.87658705082769, 7.867184558016173, 7.887041508636738]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
30,qwen3_4b_base,hadamard,c4,hadamard,13.160259925784294,0.025504857743001513,"[13.142368035948776, 13.148947342199811, 13.18946439920429]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
30,qwen3_4b_base,wt2_n64,wt2,hadamard,7.690385757255434,0.003205644173050395,"[7.691884727420286, 7.692567307979321, 7.686705236366699]",-0.18655194857143206,-0.19864488983668083,-0.1744590073061833,-0.20839875310597603,-0.1647051440368881,-0.023967794453104336,-0.025143727351058798,-0.022791861555149874,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
30,qwen3_4b_base,wt2_n64,c4,hadamard,12.851011137449056,0.0036122189960801653,"[12.846840403880393, 12.853053351017353, 12.853139657449425]",-0.3092487883352355,-0.3295892868908301,-0.2889082897796409,-0.348780691325482,-0.269716885344989,-0.023777956143021584,-0.024807752105173726,-0.02274816018086944,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
30,qwen3_4b_base,wt2_n128,wt2,hadamard,7.694291938489133,0.008723418271456434,"[7.7039950333407194, 7.687098278968537, 7.691782503158144]",-0.18264576733773344,-0.1940743881746541,-0.17121714650081277,-0.2021143808837876,-0.16317715379167927,-0.023460363348325092,-0.02456606971248077,-0.022354656984169413,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
30,qwen3_4b_base,wt2_n128,c4,hadamard,12.844368496892278,0.0032965173794779544,"[12.847498040374742, 12.840927160463451, 12.844680289838637]",-0.3158914288920158,-0.3372287195546676,-0.29455413822936405,-0.35950660776718424,-0.2722762500168474,-0.024294981732964516,-0.025335360452987062,-0.02325460301294197,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
30,qwen3_4b_base,wt2_n256,wt2,hadamard,7.702548660087788,0.008776631933099074,"[7.711998675498153, 7.694653135918842, 7.7009941688463694]",-0.17438904573907887,-0.18537129247486533,-0.1634067990032924,-0.19267958486517797,-0.15609850661297978,-0.022387846062580746,-0.023423281910692116,-0.021352410214469375,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
30,qwen3_4b_base,wt2_n256,c4,hadamard,12.851577142112427,9.03247752161169e-05,"[12.851619599875603, 12.851638415162805, 12.85147341129888]",-0.30868278367186325,-0.33020767027571096,-0.28715789706801553,-0.3518284118557601,-0.2655371554879664,-0.02373388720055421,-0.024823897179957612,-0.02264387722115081,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
30,qwen3_4b_base,c4_n128,wt2,hadamard,7.70324189576587,0.0050409083899558005,"[7.700150645846467, 7.700516234286127, 7.709058807165014]",-0.1736958100609979,-0.1852984385277109,-0.1620931815942849,-0.18403834942806616,-0.16335327069392966,-0.022297559306025505,-0.02347465005482671,-0.0211204685572243,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
30,qwen3_4b_base,c4_n128,c4,hadamard,12.851503594725065,0.0032688816645480975,"[12.853655185857571, 12.853113609843819, 12.847741988473802]",-0.30875633105922873,-0.3302089285226598,-0.28730373359579764,-0.35725940832308634,-0.2602532537953711,-0.02373963159819444,-0.024775472714478247,-0.02270379048191063,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64
