model,row,anchor_mean_range,Q1_anchor_mean_range,anchor_range_ratio,anchor_exceeds_50_percent,other_group_count,other_group_ratio,other_clause
qwen3_4b_base,Q5a,1.3278707397098974,1.1196776304912828,1.1859402238189447,False,0,,not identifiable at k=max
qwen3_4b_base,Q5b,1.2945760905813395,1.1196776304912828,1.1562042996369555,False,0,,not identifiable at k=max
