model,row,quantized_input_positions,mean_ppl,seed_std,seed_ppls,delta,ci90_low,ci90_high,seed_ci90_low,seed_ci90_high,nll_delta,nll_ci90_low,nll_ci90_high,ci_method,seeds,chunks_per_seed,offset_specific_nll_sum,offset_specific_per_quantized_token_estimate,offset_specific_per_quantized_token_ci90_low,offset_specific_per_quantized_token_ci90_high
qwen3_4b_base,M1,196,7.640688788953127,0.008146509260047848,"[7.649003333670563, 7.640341618001242, 7.632721415187574]",-0.03538385935995662,-0.04106477166258625,-0.02970294705732698,-0.0681030493902682,-0.002664669329645028,-0.004619905104239781,-0.005340540948965372,-0.003899269259514191,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64,93.11003148555756,0.47505118104876304,-0.0744947552126673,1.0245971173101933
qwen3_4b_base,M2,130876,7.694438303635615,0.0036463369314229765,"[7.69060155684799, 7.697858443849941, 7.6948549102089165]",-0.13221630582719288,-0.14166951811807663,-0.12276309353630911,-0.1424288460241765,-0.12200376563020926,-0.017037283629179,-0.01805685714576232,-0.01601771011259568,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64,-489.06292227904,-0.003736841913559705,-0.00498971363420917,-0.00248397019291024
qwen3_4b_base,M1+M2,,,,,-0.16760016518714949,-0.1788666265723236,-0.15633370380197537,-0.19014977883405454,-0.14505055154024443,,,,,,,,,,
qwen3_4b_base,all-token Q1,,7.697452185949383,0.006475619822230856,"[7.7039950333407194, 7.697315568961047, 7.691045955546383]",-0.17948551987748385,-0.19082598271810391,-0.16814505703686378,-0.20369908653773453,-0.15527195321723317,-0.023049529020984966,-0.024177955580543246,-0.021921102461426686,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64,,,,
qwen3_4b_base,M1+M2 minus all-token Q1,,,,,0.01188535469033436,0.0021380996923158323,0.021632609688352886,0.0009546705663027125,0.02281603881436601,,,,,,,,,,
