model,row,site,layer,seed,round_trip,tolerance
qwen3_4b_base,E22_kmax,down,5,0,2.1451219822665735e-07,1e-06
qwen3_4b_base,E22_kmax,down,5,1,2.150656541743956e-07,1e-06
qwen3_4b_base,E22_kmax,down,5,2,2.1442538411520218e-07,1e-06
qwen3_4b_base,E22_k8,qkv,6,0,1.3727027692311822e-07,1e-06
qwen3_4b_base,E22_k8,qkv,6,1,1.3817918897984782e-07,1e-06
qwen3_4b_base,E22_k8,qkv,6,2,1.3411579402600182e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,6,0,1.67985959365069e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,6,1,1.6979987549348152e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,6,2,1.668910272201174e-07,1e-06
qwen3_4b_base,E22_k8,down,6,0,2.072789300200384e-07,1e-06
qwen3_4b_base,E22_k8,down,6,1,2.0724402816085785e-07,1e-06
qwen3_4b_base,E22_k8,down,6,2,2.074122420481217e-07,1e-06
qwen3_4b_base,E22_kmax,down,6,0,2.6411660769554146e-07,1e-06
qwen3_4b_base,E22_kmax,down,6,1,2.6516076445659564e-07,1e-06
qwen3_4b_base,E22_kmax,down,6,2,2.6530855734563374e-07,1e-06
qwen3_4b_base,E22_k8,qkv,7,0,1.5946858411552967e-07,1e-06
qwen3_4b_base,E22_k8,qkv,7,1,1.6418781001448224e-07,1e-06
qwen3_4b_base,E22_k8,qkv,7,2,1.594896446022176e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,7,0,1.8628458064995357e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,7,1,1.8877020124818955e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,7,2,1.878894835272149e-07,1e-06
qwen3_4b_base,E22_k8,down,7,0,1.283986108546742e-07,1e-06
qwen3_4b_base,E22_k8,down,7,1,1.2992978781767306e-07,1e-06
qwen3_4b_base,E22_k8,down,7,2,1.2965848839030514e-07,1e-06
qwen3_4b_base,E22_kmax,down,7,0,1.9701937503668887e-07,1e-06
qwen3_4b_base,E22_kmax,down,7,1,1.9599657719027164e-07,1e-06
qwen3_4b_base,E22_kmax,down,7,2,1.963708484709059e-07,1e-06
qwen3_4b_base,E22_k8,qkv,8,0,1.5287236010408378e-07,1e-06
