model,index_basis,token_class,token_count,fraction_of_scored_positions,ci_unit,BOS_note,gain_sum,gain_mean,gain_ci90_low,gain_ci90_high,gain_share,gain_share_ci90_low,gain_share_ci90_high,offset_spec_sum,offset_spec_mean,offset_spec_ci90_low,offset_spec_ci90_high,offset_spec_share,offset_spec_share_ci90_low,offset_spec_share_ci90_high
qwen3_4b_base,target,BOS,0,0.0,64 chunks; paired seeds averaged; ratio delta method; t63,"BOS target unscored: count zero, no invented loss",0.0,,,,,,,0.0,,,,,,
qwen3_4b_base,target,massive,132,0.001007572056668295,64 chunks; paired seeds averaged; ratio delta method; t63,"BOS target unscored: count zero, no invented loss",-8.943599958008537,-0.06775454513642831,-0.10803379129517299,-0.027475298977683638,-0.0029617782168736943,-0.004686255593767622,-0.001237300839979767,24.389486528851194,0.18476883733978178,0.13117953471926608,0.23835813996029748,-0.10995069202845698,-0.2222096510662412,0.00230826700932725
qwen3_4b_base,target,other,130876,0.9989924279433317,64 chunks; paired seeds averaged; ratio delta method; t63,"BOS target unscored: count zero, no invented loss",3028.6160072488406,0.023141110725028582,0.02194156217868422,0.024340659271372942,1.0029617782168736,1.0012373008399797,1.0046862555937675,-246.2115240157895,-0.001881258015341159,-0.0033717360181443577,-0.0003907800125379601,1.109950692028457,0.9976917329906728,1.2222096510662412
qwen3_4b_base,target,BOS+massive,132,0.001007572056668295,64 chunks; paired seeds averaged; ratio delta method; t63,"BOS target unscored: count zero, no invented loss",-8.943599958008537,-0.06775454513642831,-0.10803379129517299,-0.027475298977683638,-0.0029617782168736943,-0.004686255593767622,-0.001237300839979767,24.389486528851194,0.18476883733978178,0.13117953471926608,0.23835813996029748,-0.10995069202845698,-0.2222096510662412,0.00230826700932725
