tokens,dtype,k,n,hidden,nar_fused_ms,hadamard_fused_ms,down_matmul_ms,nar_overhead_vs_hadamard_ratio,nar_ratio_vs_down_matmul,hadamard_ratio_vs_down_matmul,nar_under_10pct_down_matmul,transform_flops_nar,transform_flops_hadamard,down_matmul_flops,nar_transform_flop_ratio_vs_matmul,warmup,repeats
1,bf16,8,8192,3072,0.05853055953979492,0.00830623984336853,0.020766398906707763,7.046577108717139,2.8185223544409976,0.39998460400784885,False,319488,57344,50331648,0.00634765625,10,100
32,bf16,8,8192,3072,0.09019968032836914,0.008303040266036987,0.02470304012298584,10.863452113718479,3.6513595039033104,0.3361141067941319,False,319488,57344,50331648,0.00634765625,10,100
2048,bf16,8,8192,3072,1.571526336669922,0.06055466731389363,0.4289504051208496,25.95219173649645,3.663655093709891,0.14116939065912146,False,319488,57344,50331648,0.00634765625,10,30
