check,b,c,base_range,shifted_range,abs_range_delta,base_mse,shifted_mse,abs_mse_delta,pass,amplitude,hadamard_range,expected_2absx_over_sqrtb,nar_range,nar_orthogonality_max_abs
constant_shift,32,-8.0,4.123000144958496,4.123000144958496,0.0,0.005978395696729422,0.005979342386126518,9.466893970966339e-07,True,,,,,
constant_shift,32,-1.0,4.123000144958496,4.123000144958496,0.0,0.005978395696729422,0.005978928413242102,5.327165126800537e-07,True,,,,,
constant_shift,32,0.0,4.123000144958496,4.123000144958496,0.0,0.005978395696729422,0.005978395696729422,0.0,True,,,,,
constant_shift,32,1.0,4.123000144958496,4.123000144958496,0.0,0.005978395696729422,0.005978900007903576,5.043111741542816e-07,True,,,,,
constant_shift,32,8.0,4.123000144958496,4.123000144958496,0.0,0.005978395696729422,0.0059798117727041245,1.416075974702835e-06,True,,,,,
planted_outlier,32,,,,,,,,True,100.0,35.35533905029297,35.35533905932737,0.0,1.1102230246251565e-16
constant_shift,64,-8.0,4.667751312255859,4.667751312255859,0.0,0.007976182736456394,0.007974850945174694,1.3317912817001343e-06,True,,,,,
constant_shift,64,-1.0,4.667751312255859,4.667751312255859,0.0,0.007976182736456394,0.007976356893777847,1.7415732145309448e-07,True,,,,,
constant_shift,64,0.0,4.667751312255859,4.667751312255859,0.0,0.007976182736456394,0.007976182736456394,0.0,True,,,,,
constant_shift,64,1.0,4.667751312255859,4.667751312255859,0.0,0.007976182736456394,0.007976226508617401,4.377216100692749e-08,True,,,,,
constant_shift,64,8.0,4.667751312255859,4.667751312255859,0.0,0.007976182736456394,0.00797740463167429,1.2218952178955078e-06,True,,,,,
planted_outlier,64,,,,,,,,True,100.0,25.0,25.0,0.0,0.0
constant_shift,128,-8.0,5.148689270019531,5.148689270019531,0.0,0.00981289241462946,0.009814579039812088,1.6866251826286316e-06,True,,,,,
constant_shift,128,-1.0,5.148689270019531,5.148689270019531,0.0,0.00981289241462946,0.0098135806620121,6.882473826408386e-07,True,,,,,
constant_shift,128,0.0,5.148689270019531,5.148689270019531,0.0,0.00981289241462946,0.00981289241462946,0.0,True,,,,,
constant_shift,128,1.0,5.148689270019531,5.148689270019531,0.0,0.00981289241462946,0.009813334792852402,4.423782229423523e-07,True,,,,,
constant_shift,128,8.0,5.148689270019531,5.148689270019531,0.0,0.00981289241462946,0.00981408916413784,1.1967495083808899e-06,True,,,,,
planted_outlier,128,,,,,,,,True,100.0,17.677669525146484,17.677669529663685,0.0,1.1102230246251565e-16
