model,row,site,k,layers,median_absolute_relative_error,p90_absolute_relative_error
llama32_3b,E20_hadamard_g64_m1,down,0,28,0.0025504774939743907,0.00516339776888834
llama32_3b,E20_hadamard_g64_m1,qkv,0,28,0.001338924149467664,0.0021153273979414044
llama32_3b,E20_nar_g128_m1,down,64,28,0.1040725019282266,0.16096602614896569
llama32_3b,E20_nar_g128_m1,qkv,24,28,0.0371329280080573,0.11914891025347991
llama32_3b,E20_nar_g128_m2,down,128,28,0.0920209541929865,0.14001781783929376
llama32_3b,E20_nar_g128_m2,qkv,48,28,0.019526083129110677,0.09302225702858505
llama32_3b,E20_nar_g128_m2_c32,down,128,28,0.0920209541929865,0.14001781783929376
llama32_3b,E20_nar_g128_m2_c32,qkv,48,28,0.019526083129110677,0.09302225702858505
llama32_3b,E20_nar_g256_m1,down,32,28,0.09317818263858012,0.1581887920590662
llama32_3b,E20_nar_g256_m1,qkv,12,28,0.05473390505689514,0.1367120136434419
llama32_3b,E20_nar_g256_m2,down,64,28,0.08450458366622216,0.1370560232993849
llama32_3b,E20_nar_g256_m2,qkv,24,28,0.03723310491909706,0.11940712020111396
llama32_3b,E20_nar_g256_m3,down,96,28,0.07865159980267651,0.12643284734799992
llama32_3b,E20_nar_g256_m3,qkv,36,28,0.026882977953959476,0.10489445783002276
llama32_3b,E20_nar_g256_m3_c32,down,96,28,0.07865159980267651,0.12643284734799992
llama32_3b,E20_nar_g256_m3_c32,qkv,36,28,0.026882977953959476,0.10489445783002276
llama32_3b,E20_nar_g64_m1,down,128,28,0.10777629653286899,0.15857815296959749
llama32_3b,E20_nar_g64_m1,qkv,48,28,0.01817081122237102,0.0941200547775289
qwen3_4b_base,E22_k8,down,8,36,0.2122793915278727,0.6284016121906912
qwen3_4b_base,E22_k8,qkv,8,36,0.024589548918517695,0.04563921712551972
qwen3_4b_base,E22_kmax,down,76,36,0.1805102218745616,0.5218948795501392
qwen3_4b_base,E22_kmax,qkv,20,36,0.035366884983440275,0.061740028313860565
