model,row,benchmark,headline_metric,value,tech_report_16bit,bf16_minus_report,flag_pipeline_difference,effective_bits,gptq_protocol,git_commit,elapsed_seconds,artifact
qwen3_0.6b_base,hadamard_asym_g128,mmlu_redux,"mmlu_redux_e22:exact_match,default",43.48968105065666,51.26,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,9d14373ee086ad0f66c1ffc77074d9a1aa0188ee,1572.3860201835632,results/qwen3_0.6b_base/e22_hadamard_asym_g128_mmlu_redux.json
qwen3_0.6b_base,hadamard_asym_g128,wikitext,ppl,16.49846403658024,,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,3ca98b1fbad4ebb6f661a653020acfc9ad09c86d,124.29614567756653,results/qwen3_0.6b_base/e22_hadamard_asym_g128_wikitext.json
qwen3_0.6b_base,nar_k8_asym_g128,arc_easy,"arc_easy:acc_norm,none",53.61952861952862,,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,9eb45e52a0fff7353e814ffaaa4979fc34c95c41,149.48004126548767,results/qwen3_0.6b_base/e22_nar_k8_asym_g128_arc_easy.json
qwen3_0.6b_base,nar_k8_asym_g128,c4,ppl,23.92003178110468,,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,3ca98b1fbad4ebb6f661a653020acfc9ad09c86d,194.01581406593323,results/qwen3_0.6b_base/e22_nar_k8_asym_g128_c4.json
qwen3_0.6b_base,nar_k8_asym_g128,gsm8k,"gsm8k_cot:exact_match,flexible-extract",31.53904473085671,59.59,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,59d01634f23af74e01e8bff5076e1a21b605c555,9864.90728020668,results/qwen3_0.6b_base/e22_nar_k8_asym_g128_gsm8k.json
qwen3_0.6b_base,nar_k8_asym_g128,mmlu,"mmlu:acc,none",44.217347956131604,52.81,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,7c2fe05abdd6e1d784fdfdc6182a9073d9472e9a,3133.2437624931335,results/qwen3_0.6b_base/e22_nar_k8_asym_g128_mmlu.json
qwen3_0.6b_base,nar_k8_asym_g128,mmlu_redux,"mmlu_redux_e22:exact_match,default",46.228893058161354,51.26,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,e59da463cac4e66f2341dcab4c66f1492d33d1ae,1588.062370300293,results/qwen3_0.6b_base/e22_nar_k8_asym_g128_mmlu_redux.json
qwen3_0.6b_base,nar_k8_asym_g128,wikitext,ppl,15.27767978385428,,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,3ca98b1fbad4ebb6f661a653020acfc9ad09c86d,113.13614201545715,results/qwen3_0.6b_base/e22_nar_k8_asym_g128_wikitext.json
qwen3_0.6b_base,nar_kmax_asym_g128,arc_easy,"arc_easy:acc_norm,none",56.35521885521886,,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,9eb45e52a0fff7353e814ffaaa4979fc34c95c41,147.52707743644714,results/qwen3_0.6b_base/e22_nar_kmax_asym_g128_arc_easy.json
qwen3_0.6b_base,nar_kmax_asym_g128,c4,ppl,23.9227311749999,,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,3ca98b1fbad4ebb6f661a653020acfc9ad09c86d,194.76780724525452,results/qwen3_0.6b_base/e22_nar_kmax_asym_g128_c4.json
