model,row,seeds,ppl,ppl_std,paired_ppl_delta_vs_hadamard,paired_ppl_ci90_low,paired_ppl_ci90_high,piqa,arc_easy,arc_challenge,hellaswag,winogrande,lambada_openai,mean_accuracy,paired_accuracy_delta_vs_hadamard,paired_accuracy_ci90_low,paired_accuracy_ci90_high,w4_effective_bits,a4_qkv_effective_bits,a4_down_effective_bits,k4_effective_bits_at_ctx2048,v4_effective_bits_at_ctx2048
llama32_3b,quarot_released,1,10.33236758096911,0.0,nan,nan,nan,0.7236126224156693,0.6237373737373737,0.378839590443686,0.670583549093806,0.6432517758484609,0.6068309722491753,0.6078093139646953,nan,nan,nan,4.00439453125,4.005208333333333,4.001953125,5.171875,4.43359375
llama32_3b,hadamard_asym_g128,1,9.209007580867079,0.0,0.0,nan,nan,0.7480957562568009,0.6675084175084175,0.42150170648464164,0.7028480382393946,0.6748224151539068,0.6473898699786532,0.6436943672703025,0.0,nan,nan,4.00439453125,4.25,4.25,5.171875,4.43359375
llama32_3b,nar_k8_asym_g128,1,8.756231517884965,0.0,-0.4527760629821138,nan,nan,0.766050054406964,0.6856060606060606,0.4377133105802048,0.7058354909380602,0.6677190213101816,0.6442848825926645,0.651201470072356,0.007507102802053467,nan,nan,4.00439453125,4.25,4.25,5.171875,4.43359375
llama32_3b,nar_kmax_asym_g128,1,8.71444608076717,0.0,-0.49456150009990907,nan,nan,0.7513601741022851,0.7074915824915825,0.42918088737201365,0.708922525393348,0.6669297553275454,0.6582573258296138,0.6536903750860648,0.009996007815762264,nan,nan,4.00439453125,4.25,4.25,5.171875,4.43359375
llama31_8b,quarot_released,1,8.347709414905141,0.0,nan,nan,nan,0.7480957562568009,0.7239057239057239,0.4539249146757679,0.7271459868552081,0.6337805840568271,0.6450611294391616,0.6553190158649149,nan,nan,nan,4.003155048076923,4.00390625,4.001116071428571,5.171875,4.43359375
llama31_8b,hadamard_asym_g128,1,7.206380952159424,0.0,0.0,nan,nan,0.7932535364526659,0.7824074074074074,0.5034129692832765,0.7613025293766182,0.6953433307024467,0.708131185717058,0.7073084931565786,0.0,nan,nan,4.003155048076923,4.25,4.25,5.171875,4.43359375
llama31_8b,nar_k8_asym_g128,1,6.989837961936862,0.0,-0.21654299022256218,nan,nan,0.7812840043525572,0.789983164983165,0.48890784982935154,0.7694682334196375,0.6835043409629045,0.7302542208422278,0.7072336357316406,-7.485742493806846e-05,nan,nan,4.003155048076923,4.25,4.25,5.171875,4.43359375
llama31_8b,nar_kmax_asym_g128,1,6.914668977039683,0.0,-0.2917119751197417,nan,nan,0.7883569096844396,0.7786195286195287,0.507679180887372,0.7671778530173272,0.7024467245461721,0.7267611100329905,0.7118402177979716,0.0045317246413929535,nan,nan,4.003155048076923,4.25,4.25,5.171875,4.43359375
