rotation,site,layer,n,round_trip_relative_error,tolerance
nar_k8,r4,13,14336,1.452682454328169e-07,1e-06
nar_k8,r2,14,128,1.230792321393892e-07,1e-06
nar_k8,r4,14,14336,1.5012064125130564e-07,1e-06
nar_k8,r2,15,128,1.2134681526276836e-07,1e-06
nar_k8,r4,15,14336,1.3808161725137325e-07,1e-06
nar_k8,r2,16,128,1.1875491878754474e-07,1e-06
nar_k8,r4,16,14336,1.4667197945072985e-07,1e-06
nar_k8,r2,17,128,1.1816399592134985e-07,1e-06
nar_k8,r4,17,14336,1.407210703519013e-07,1e-06
nar_k8,r2,18,128,1.269713578722076e-07,1e-06
nar_k8,r4,18,14336,1.3896755035602837e-07,1e-06
nar_k8,r2,19,128,1.1599183125099444e-07,1e-06
nar_k8,r4,19,14336,1.7270357943743875e-07,1e-06
nar_k8,r2,20,128,1.1537404276396046e-07,1e-06
nar_k8,r4,20,14336,1.4692813010697137e-07,1e-06
nar_k8,r2,21,128,1.1632403129624436e-07,1e-06
nar_k8,r4,21,14336,1.4413419080483436e-07,1e-06
nar_k8,r2,22,128,1.1447453829305232e-07,1e-06
nar_k8,r4,22,14336,1.496828332392397e-07,1e-06
nar_k8,r2,23,128,1.1772113595043265e-07,1e-06
nar_k8,r4,23,14336,1.3333412596239214e-07,1e-06
nar_k8,r2,24,128,1.2352769829249155e-07,1e-06
nar_k8,r4,24,14336,1.6966217231129122e-07,1e-06
nar_k8,r2,25,128,1.20873849596137e-07,1e-06
nar_k8,r4,25,14336,1.3282885902299313e-07,1e-06
nar_k8,r2,26,128,1.21851002177209e-07,1e-06
nar_k8,r4,26,14336,1.405755227779082e-07,1e-06
nar_k8,r2,27,128,1.2477462973947695e-07,1e-06
nar_k8,r4,27,14336,1.482387546047903e-07,1e-06
nar_k8,r2,28,128,1.2539832994207245e-07,1e-06
nar_k8,r4,28,14336,1.4058379349535244e-07,1e-06
nar_k8,r2,29,128,1.1266423882716481e-07,1e-06
nar_k8,r4,29,14336,1.74185188939191e-07,1e-06
nar_k8,r2,30,128,1.1842748648405177e-07,1e-06
nar_k8,r4,30,14336,1.8636320930909278e-07,1e-06
nar_k8,r2,31,128,1.2199811294522078e-07,1e-06
nar_k8,r4,31,14336,2.923513875430217e-07,1e-06
nar_kmax,r1,0,4096,1.9487303859477834e-07,1e-06
nar_kmax,r2,0,128,1.1894182705418643e-07,1e-06
nar_kmax,r4,0,14336,3.287690049091907e-07,1e-06
nar_kmax,r2,1,128,1.190637846093523e-07,1e-06
nar_kmax,r4,1,14336,2.6263933250447735e-07,1e-06
nar_kmax,r2,2,128,1.1005649724893374e-07,1e-06
nar_kmax,r4,2,14336,2.7331128649166203e-07,1e-06
nar_kmax,r2,3,128,1.1571309954661047e-07,1e-06
nar_kmax,r4,3,14336,2.3524926007212343e-07,1e-06
nar_kmax,r2,4,128,1.2082313105565845e-07,1e-06
nar_kmax,r4,4,14336,2.651584907198412e-07,1e-06
nar_kmax,r2,5,128,1.168490513236975e-07,1e-06
nar_kmax,r4,5,14336,2.447617646339495e-07,1e-06
nar_kmax,r2,6,128,1.1770099916930121e-07,1e-06
nar_kmax,r4,6,14336,2.671436334367172e-07,1e-06
nar_kmax,r2,7,128,1.1475419370299278e-07,1e-06
nar_kmax,r4,7,14336,2.5616995458221936e-07,1e-06
nar_kmax,r2,8,128,1.125295696624562e-07,1e-06
nar_kmax,r4,8,14336,2.3664800608003134e-07,1e-06
nar_kmax,r2,9,128,1.2489812206695206e-07,1e-06
nar_kmax,r4,9,14336,2.2760745821415185e-07,1e-06
nar_kmax,r2,10,128,1.3686191380202217e-07,1e-06
nar_kmax,r4,10,14336,2.50244482913331e-07,1e-06
nar_kmax,r2,11,128,1.15760101948581e-07,1e-06
nar_kmax,r4,11,14336,2.4235927753579745e-07,1e-06
nar_kmax,r2,12,128,1.4699804751217016e-07,1e-06
nar_kmax,r4,12,14336,2.811021033721772e-07,1e-06
nar_kmax,r2,13,128,1.1550248046887646e-07,1e-06
nar_kmax,r4,13,14336,2.4866909598131315e-07,1e-06
nar_kmax,r2,14,128,1.1729576243624251e-07,1e-06
nar_kmax,r4,14,14336,2.7288027126814995e-07,1e-06
nar_kmax,r2,15,128,1.1812112887810144e-07,1e-06
nar_kmax,r4,15,14336,2.2726324289124022e-07,1e-06
nar_kmax,r2,16,128,1.1299438540390838e-07,1e-06
nar_kmax,r4,16,14336,2.6798022645380115e-07,1e-06
nar_kmax,r2,17,128,1.1746048755867378e-07,1e-06
nar_kmax,r4,17,14336,2.3857677433625213e-07,1e-06
nar_kmax,r2,18,128,1.2710773944490938e-07,1e-06
nar_kmax,r4,18,14336,2.3184708197732107e-07,1e-06
nar_kmax,r2,19,128,1.1414889655725347e-07,1e-06
nar_kmax,r4,19,14336,2.4559446387684147e-07,1e-06
nar_kmax,r2,20,128,1.2132503002248995e-07,1e-06
nar_kmax,r4,20,14336,2.574320774328953e-07,1e-06
nar_kmax,r2,21,128,1.1796795007512628e-07,1e-06
nar_kmax,r4,21,14336,2.5088371558013023e-07,1e-06
nar_kmax,r2,22,128,1.2110767499962094e-07,1e-06
nar_kmax,r4,22,14336,2.419282907339948e-07,1e-06
nar_kmax,r2,23,128,1.1380718234477172e-07,1e-06
nar_kmax,r4,23,14336,2.37278584336309e-07,1e-06
nar_kmax,r2,24,128,1.254606445399986e-07,1e-06
nar_kmax,r4,24,14336,2.639029617057531e-07,1e-06
nar_kmax,r2,25,128,1.1759608753436623e-07,1e-06
nar_kmax,r4,25,14336,2.3697671736044867e-07,1e-06
nar_kmax,r2,26,128,1.2021325801470084e-07,1e-06
nar_kmax,r4,26,14336,2.539333081585937e-07,1e-06
nar_kmax,r2,27,128,1.1732275595477404e-07,1e-06
nar_kmax,r4,27,14336,2.9490118436115154e-07,1e-06
nar_kmax,r2,28,128,1.201068471345934e-07,1e-06
nar_kmax,r4,28,14336,2.9601810069834755e-07,1e-06
nar_kmax,r2,29,128,1.2195469878406584e-07,1e-06
nar_kmax,r4,29,14336,2.9527259925998806e-07,1e-06
nar_kmax,r2,30,128,1.1746741535034744e-07,1e-06
nar_kmax,r4,30,14336,2.5253712010453455e-07,1e-06
nar_kmax,r2,31,128,1.1299482594040455e-07,1e-06
nar_kmax,r4,31,14336,3.7560474197562144e-07,1e-06
