model,model_id,rotation,quantizer,fold_dtype,seed,reference_ppl,rotation_only_ppl,ppl_abs_difference,required_ppl_abs_difference,max_abs_logit_difference,relative_l2_logit_difference,max_round_trip_relative_error,round_trip_tolerance,chunks,chunks_below_reference,mean_nll_delta,max_abs_nll_delta,r1_rank,r1_slots,r4_rank,r4_slots,r2_rank,below_reference_share,required_max_abs_nll_delta,sign_test_applicable,sign_balanced,passed
mistral_7b_v03,mistralai/Mistral-7B-v0.3,hadamard,identity,float32,0,5.421015021457435,5.421015294087979,2.7263054480641813e-07,0.01,5.602836608886719e-05,6.349100090119464e-07,1.9555902497359057e-07,1e-06,64,21,5.029141902923584e-08,7.152557373046875e-07,,32,,112,,0.328125,0.001,False,True,True
mistral_7b_v03,mistralai/Mistral-7B-v0.3,nar_k8,identity,float32,0,5.421015021457435,5.421014647852636,3.7360479865355956e-07,0.01,0.0006437301635742188,2.177617034249124e-06,2.923513875430217e-07,1e-06,64,28,-6.891787052154541e-08,7.152557373046875e-07,8,32,8,112,1,0.4375,0.001,False,True,True
mistral_7b_v03,mistralai/Mistral-7B-v0.3,nar_kmax,identity,float32,0,5.421015021457435,5.421014142981328,8.784761069691172e-07,0.01,0.0005800724029541016,2.1813605144416215e-06,3.7560474197562144e-07,1e-06,64,39,-1.6205012798309326e-07,9.5367431640625e-07,32,32,112,112,1,0.609375,0.001,False,True,True
