model,row,seed,site,layer,round_trip,anchor_residual
llama32_3b,M2_had_asym,0,qkv,3,1.4560995964529866e-07,0.0
llama32_3b,M2_had_asym,0,qkv,4,1.4736338016518857e-07,0.0
llama32_3b,M2_had_asym,0,qkv,5,1.4651550372946076e-07,0.0
llama32_3b,M2_had_asym,0,qkv,6,1.4668684400476195e-07,0.0
llama32_3b,M2_had_asym,0,qkv,7,1.4724022889822663e-07,0.0
llama32_3b,M2_had_asym,0,qkv,8,1.4575148554740736e-07,0.0
llama32_3b,M2_had_asym,0,qkv,9,1.474005983936877e-07,0.0
llama32_3b,M2_had_asym,0,qkv,10,1.4613350174386142e-07,0.0
llama32_3b,M2_had_asym,0,qkv,11,1.4676336945740331e-07,0.0
llama32_3b,M2_had_asym,0,qkv,12,1.467318639924997e-07,0.0
llama32_3b,M2_had_asym,0,qkv,13,1.4748620458249206e-07,0.0
llama32_3b,M2_had_asym,0,qkv,14,1.4711899609665124e-07,0.0
llama32_3b,M2_had_asym,0,qkv,15,1.4624578170696623e-07,0.0
llama32_3b,M2_had_asym,0,qkv,16,1.458370633145023e-07,0.0
llama32_3b,M2_had_asym,0,qkv,17,1.480342177728744e-07,0.0
llama32_3b,M2_had_asym,0,qkv,18,1.4765866751531576e-07,0.0
llama32_3b,M2_had_asym,0,qkv,19,1.4626478161972045e-07,0.0
llama32_3b,M2_had_asym,0,qkv,20,1.4693532079945726e-07,0.0
llama32_3b,M2_had_asym,0,qkv,21,1.4686686711229413e-07,0.0
llama32_3b,M2_had_asym,0,qkv,22,1.4667129732970352e-07,0.0
llama32_3b,M2_had_asym,0,qkv,23,1.464111107907229e-07,0.0
llama32_3b,M2_had_asym,0,qkv,24,1.4677088699954766e-07,0.0
llama32_3b,M2_had_asym,0,qkv,25,1.4666990466594143e-07,0.0
llama32_3b,M2_had_asym,0,qkv,26,1.4699945438678697e-07,0.0
llama32_3b,M2_had_asym,0,qkv,27,1.4737551623511536e-07,0.0
llama32_3b,M2_had_asym,0,down,0,1.4779942603126983e-07,0.0
