model,layer,b,bits,method,axis,mean_group_range,relative_quantization_error_nmse,range_sum,group_count,error_sum,energy_sum,sequences,sequence_length
llama32_3b,15,64,4,hadamard_per_token,channels,8.79929364895122,0.0077822094843859576,36906912.5489707,4194304,7685801.202157335,987611708.1630797,128,2048
llama32_3b,15,64,4,nar_per_token,channels,7.875983178724425,0.006268994230490632,33034267.75045657,4194304,6191332.288909353,987611738.2269149,128,2048
llama32_3b,15,64,4,kivi_per_channel,tokens,4.835705343125426,0.0025793039739193447,20282418.263492346,4194304,2547350.8800720437,987611737.8291217,128,2048
llama32_3b,16,32,4,bf16,channels,9.119411777704954,0.0,76499170.59375,8388608,0.0,1051031367.0662664,128,2048
llama32_3b,16,32,4,identity_per_token,channels,9.119411777704954,0.00894006393474199,76499170.59375,8388608,9396287.6189917,1051031367.0662664,128,2048
llama32_3b,16,32,4,hadamard_per_token,channels,8.10618217360647,0.006017768561622106,67999584.63097262,8388608,6324863.326488664,1051031335.2402805,128,2048
llama32_3b,16,32,4,nar_per_token,channels,6.481916816469848,0.003917947036124598,54374259.2619735,8388608,4117885.2304140786,1051031367.3069067,128,2048
llama32_3b,16,32,4,kivi_per_channel,tokens,4.217850061536581,0.0017671442166702046,35381890.76900625,8388608,1857324.0018501317,1051031367.0662664,128,2048
llama32_3b,16,64,4,bf16,channels,12.23631159774959,0.0,51322810.6796875,4194304,0.0,1051031367.0662664,128,2048
llama32_3b,16,64,4,identity_per_token,channels,12.23631159774959,0.01509184147456545,51322810.6796875,4194304,15861998.776559902,1051031367.0662664,128,2048
llama32_3b,16,64,4,hadamard_per_token,channels,9.12320783253108,0.007825210721464216,38265507.10481644,4194304,8224541.673109416,1051031335.2392994,128,2048
llama32_3b,16,64,4,nar_per_token,channels,7.964218645271899,0.0060289745354229155,33404354.120738506,4194304,6336641.329472322,1051031363.9975964,128,2048
llama32_3b,16,64,4,kivi_per_channel,tokens,5.004064970121249,0.0025304224870570514,20988569.720439434,4194304,2659553.4058267944,1051031367.0662664,128,2048
llama32_3b,17,32,4,bf16,channels,8.83222755882889,0.0,74090094.7578125,8388608,0.0,964555642.4482046,128,2048
llama32_3b,17,32,4,identity_per_token,channels,8.83222755882889,0.009210004829386923,74090094.7578125,8388608,8883562.12516037,964555642.4482046,128,2048
llama32_3b,17,32,4,hadamard_per_token,channels,7.679873339801475,0.005920299261347934,64423446.93724537,8388608,5710457.883878445,964555613.1191733,128,2048
llama32_3b,17,32,4,nar_per_token,channels,6.136240809857156,0.0038198288451435376,51474518.74749422,8388608,3684437.4635177087,964555641.8586757,128,2048
llama32_3b,17,32,4,kivi_per_channel,tokens,3.9353702187858772,0.0017036060641823483,33012278.10026896,8388608,1643222.8417160623,964555642.4482046,128,2048
llama32_3b,17,64,4,bf16,channels,11.91749032214284,0.0,49985577.328125,4194304,0.0,964555642.4482046,128,2048
llama32_3b,17,64,4,identity_per_token,channels,11.91749032214284,0.015790012552250265,49985577.328125,4194304,15230345.701600969,964555642.4482046,128,2048
llama32_3b,17,64,4,hadamard_per_token,channels,8.620822109286223,0.007639114046729911,36158348.65626764,4194304,7368350.333100345,964555613.1282694,128,2048
llama32_3b,17,64,4,nar_per_token,channels,7.5497267507464585,0.005939843570651809,31665849.109562874,4194304,5729309.629131801,964555642.077809,128,2048
llama32_3b,17,64,4,kivi_per_channel,tokens,4.653137772095619,0.0024254556755864995,19516674.37005174,4194304,2339486.9573949804,964555642.4482046,128,2048
llama32_3b,18,32,4,bf16,channels,9.077934704022482,0.0,76151235.68164062,8388608,0.0,995431378.7858664,128,2048
llama32_3b,18,32,4,identity_per_token,channels,9.077934704022482,0.00909380236241347,76151235.68164062,8388608,9052256.22402341,995431378.7858664,128,2048
llama32_3b,18,32,4,hadamard_per_token,channels,7.877079380898749,0.006009901553155232,66077731.111242294,8388608,5982444.4092461,995431348.8055862,128,2048
llama32_3b,18,32,4,nar_per_token,channels,6.313701652827518,0.0039095240537570155,52963168.19452214,8388608,3891662.9188593123,995431378.6915984,128,2048
llama32_3b,18,32,4,kivi_per_channel,tokens,4.150449451901238,0.001833598109276871,34816493.47581434,8388608,1825221.0940566338,995431378.7858665,128,2048
llama32_3b,18,64,4,bf16,channels,12.368535500019789,0.0,51877397.921875,4194304,0.0,995431378.7858664,128,2048
llama32_3b,18,64,4,identity_per_token,channels,12.368535500019789,0.015468310800872175,51877397.921875,4194304,15397641.948000498,995431378.7858664,128,2048
llama32_3b,18,64,4,hadamard_per_token,channels,8.834631808327003,0.007752805940769711,37055131.532193184,4194304,7717386.074704062,995431348.8127716,128,2048
