model,row,quantized_input_positions,mean_ppl,seed_std,seed_ppls,delta,ci90_low,ci90_high,seed_ci90_low,seed_ci90_high,nll_delta,nll_ci90_low,nll_ci90_high,ci_method,seeds,chunks_per_seed,offset_specific_nll_sum,offset_specific_per_quantized_token_estimate,offset_specific_per_quantized_token_ci90_low,offset_specific_per_quantized_token_ci90_high
llama32_3b,M1,196,7.622006743820314,0.00415567174491649,"[7.621468590827642, 7.618146365005248, 7.626405275628049]",-0.015720290486275584,-0.01823291490043813,-0.01320766607211304,-0.028130909892674447,-0.00330967107987672,-0.002060322711865107,-0.0023844623431032667,-0.0017361830806269473,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64,-53.60882079601288,-0.27351439181639225,-0.5505200690044307,0.00349128537164628
llama32_3b,M2,130876,7.699166720056248,0.005271136945346419,"[7.699010747859537, 7.693975300191691, 7.704514112117518]",-0.044328712383630155,-0.050122140679770985,-0.038535284087489324,-0.049584115943682595,-0.039073308823577714,-0.005741082752744357,-0.0064536122547963395,-0.005028553250692375,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64,45.649248917897545,0.00034879770865473843,-0.0008782795351957424,0.0015758749525052193
llama32_3b,M1+M2,,,,,-0.06004900286990574,-0.06648748561719063,-0.05361052012262086,-0.07179732574402839,-0.048300679995783094,,,,,,,,,,
llama32_3b,all-token Q1,,7.705228861648433,0.00839897178004475,"[7.6963706224009965, 7.706238708683079, 7.713077253861222]",-0.0614053343653825,-0.06809909823934095,-0.054711570491424055,-0.07024394383719941,-0.05256672489356559,-0.007937966535488764,-0.008756700553695195,-0.007119232517282334,paired-chunk delta-method Student-t df191; repeated texts across seeds,3,64,,,,
llama32_3b,M1+M2 minus all-token Q1,,,,,0.0013563314954767591,-0.005857787611012144,0.008570450601965662,-0.005897681441833608,0.008610344432787126,,,,,,,,,,
