model,k,tokens,decoder_layer_ms,nar_fused_ms,hadamard_fused_ms,nar_share_of_layer,hadamard_share_of_layer,nar_over_layer,hadamard_over_layer,nar_over_matmul,hadamard_over_matmul
llama32_3b,8,2048,1.960370383364089,0.11382298494772937,0.06323623489144051,0.054875782888250985,0.0312492726209573,0.05806197946757576,0.03225728945309004,0.2970506960301583,0.1650314090555197
llama32_3b,32,2048,1.960370383364089,0.18151826940074162,0.06323626580578025,0.08474682806990502,0.031249287420419002,0.09259386437436767,0.032257305222732346,0.4510978142584545,0.1571508001978426
