model,index_basis,token_class,token_count,fraction_of_scored_positions,ci_unit,BOS_note,gain_sum,gain_mean,gain_ci90_low,gain_ci90_high,gain_share,gain_share_ci90_low,gain_share_ci90_high,offset_spec_sum,offset_spec_mean,offset_spec_ci90_low,offset_spec_ci90_high,offset_spec_share,offset_spec_share_ci90_low,offset_spec_share_ci90_high
llama32_3b,predictor,BOS,64,0.0004885197850512946,64 chunks; paired seeds averaged; ratio delta method; t63,BOS-associated first-text-token prediction,-20.324247360229492,-0.3175663650035858,-0.38014439074811934,-0.2549883392590523,-0.0195437236530085,-0.023907902431513507,-0.015179544874503494,-0.16080856323242199,-0.0025126338005065935,-0.028514028872936206,0.023488761271923016,-0.005394808573158223,-0.06742376817770292,0.05663415103138647
llama32_3b,predictor,massive,132,0.001007572056668295,64 chunks; paired seeds averaged; ratio delta method; t63,BOS-associated first-text-token prediction,-0.22538161380604516,-0.0017074364682276148,-0.042183310442372376,0.038768437505917144,-0.0002167261546576992,-0.005380477433541269,0.00494702512422587,-5.542760782472517,-0.04199061198842816,-0.10067678936125833,0.016695565384402006,-0.18594863847536133,-1.0856078641069637,0.7137105871562411
llama32_3b,predictor,other,130812,0.9985039081582804,64 chunks; paired seeds averaged; ratio delta method; t63,BOS-associated first-text-token prediction,1060.4869367808228,0.008106954536134473,0.007175823968009346,0.0090380851042596,1.019760449807666,1.0125564110307694,1.0269644885845626,35.51158960290596,0.00027147042781171417,-0.0007320868684796617,0.0012750277241030902,1.1913434470485198,0.2673161732286461,2.1153707208683934
llama32_3b,predictor,BOS+massive,196,0.0014960918417195896,64 chunks; paired seeds averaged; ratio delta method; t63,BOS-associated first-text-token prediction,-20.54962897403554,-0.10484504578589561,-0.1419389933219034,-0.06775109824988781,-0.0197604498076662,-0.02696448858456279,-0.012556411030769613,-5.703569345704939,-0.029099843600535403,-0.06840613159871128,0.010206444397640475,-0.19134344704851955,-1.1153707208683923,0.7326838267713532
