model,layer,k,wy_vs_sequential_g_max_abs_error,wy_vs_sequential_g_relative_l2_error,wy_full_vs_dense_max_abs_error,wy_full_vs_dense_relative_l2_error,verify_rows
llama32_3b,0,16,2.384185791015625e-06,1.098991759818091e-07,1.430511474609375e-06,2.8451015054997697e-07,8
llama32_3b,0,32,2.384185791015625e-06,1.5118411056391778e-07,1.7881393432617188e-06,2.913990044817183e-07,8
llama32_3b,0,64,2.384185791015625e-06,2.1338436795304005e-07,1.6689300537109375e-06,3.1032391234475654e-07,8
