b,bits,method,axis,layers,mean_group_range,global_relative_quantization_error_nmse
32,4,bf16,channels,28,9.04655171280943,0.0
32,4,identity_per_token,channels,28,9.04655171280943,0.009204305119392886
32,4,hadamard_per_token,channels,28,7.81505239441948,0.005882280675464087
32,4,nar_per_token,channels,28,6.212578346263254,0.003778929494681159
32,4,kivi_per_channel,tokens,28,4.012174559825868,0.001749851498995707
64,4,bf16,channels,28,12.286397423329097,0.0
64,4,identity_per_token,channels,28,12.286397423329097,0.016015117095944068
64,4,hadamard_per_token,channels,28,8.756426005830109,0.007574535839438293
64,4,nar_per_token,channels,28,7.650929137289634,0.005845896185443203
64,4,kivi_per_channel,tokens,28,4.719123674263487,0.0024561629156962753
