model,row,site,layer,seed,round_trip,tolerance
llama32_3b,E11_g64_kmax,qkv,0,0,1.3479507288138848e-07,1e-06
llama32_3b,E11_g64_kmax,qkv,0,1,1.3220994787843665e-07,1e-06
llama32_3b,E11_g64_kmax,qkv,0,2,1.3348018512715498e-07,1e-06
llama32_3b,E11_g128_k8,qkv,0,0,1.3007380061935692e-07,1e-06
llama32_3b,E11_g128_k8,qkv,0,1,1.3031339562985522e-07,1e-06
llama32_3b,E11_g128_k8,qkv,0,2,1.316497701964181e-07,1e-06
llama32_3b,E11_g128_k16,qkv,0,0,1.3277026766900235e-07,1e-06
llama32_3b,E11_g128_k16,qkv,0,1,1.3069099225049285e-07,1e-06
llama32_3b,E11_g128_k16,qkv,0,2,1.332150816324429e-07,1e-06
llama32_3b,E11_g128_k32,qkv,0,0,1.3911888174789055e-07,1e-06
llama32_3b,E11_g128_k32,qkv,0,1,1.3928172393207205e-07,1e-06
llama32_3b,E11_g128_k32,qkv,0,2,1.392111812492658e-07,1e-06
llama32_3b,E11_g128_kmax,qkv,0,0,1.3626869588279078e-07,1e-06
llama32_3b,E11_g128_kmax,qkv,0,1,1.3534899778733234e-07,1e-06
llama32_3b,E11_g128_kmax,qkv,0,2,1.352660490283597e-07,1e-06
llama32_3b,E11_g256_kmax,qkv,0,0,1.2647147684674565e-07,1e-06
llama32_3b,E11_g256_kmax,qkv,0,1,1.2586012587689765e-07,1e-06
llama32_3b,E11_g256_kmax,qkv,0,2,1.2755303657741024e-07,1e-06
llama32_3b,E20_hadamard_g64_m1,qkv,0,0,1.47981694453847e-07,1e-06
llama32_3b,E20_hadamard_g64_m1,qkv,0,1,1.4768427547551255e-07,1e-06
llama32_3b,E20_hadamard_g64_m1,qkv,0,2,1.472935764468275e-07,1e-06
llama32_3b,E20_hadamard_g128_m1,qkv,0,0,1.47981694453847e-07,1e-06
llama32_3b,E20_hadamard_g128_m1,qkv,0,1,1.4768427547551255e-07,1e-06
llama32_3b,E20_hadamard_g128_m1,qkv,0,2,1.472935764468275e-07,1e-06
llama32_3b,E20_hadamard_g256_m1,qkv,0,0,1.47981694453847e-07,1e-06
llama32_3b,E20_hadamard_g256_m1,qkv,0,1,1.4768427547551255e-07,1e-06
llama32_3b,E20_hadamard_g256_m1,qkv,0,2,1.472935764468275e-07,1e-06
llama32_3b,E20_hadamard_g256_m2,qkv,0,0,1.47981694453847e-07,1e-06
llama32_3b,E20_hadamard_g256_m2,qkv,0,1,1.4768427547551255e-07,1e-06
llama32_3b,E20_hadamard_g256_m2,qkv,0,2,1.472935764468275e-07,1e-06
llama32_3b,E20_hadamard_g256_m3,qkv,0,0,1.47981694453847e-07,1e-06
llama32_3b,E20_hadamard_g256_m3,qkv,0,1,1.4768427547551255e-07,1e-06
llama32_3b,E20_hadamard_g256_m3,qkv,0,2,1.472935764468275e-07,1e-06
llama32_3b,E20_hadamard_g128_m2,qkv,0,0,1.47981694453847e-07,1e-06
llama32_3b,E20_hadamard_g128_m2,qkv,0,1,1.4768427547551255e-07,1e-06
llama32_3b,E20_hadamard_g128_m2,qkv,0,2,1.472935764468275e-07,1e-06
llama32_3b,E20_nar_g64_m1,qkv,0,0,1.396687707710953e-07,1e-06
llama32_3b,E20_nar_g64_m1,qkv,0,1,1.3968507062145363e-07,1e-06
llama32_3b,E20_nar_g64_m1,qkv,0,2,1.4180932339513674e-07,1e-06
llama32_3b,E20_nar_g128_m1,qkv,0,0,1.3717504998567165e-07,1e-06
llama32_3b,E20_nar_g128_m1,qkv,0,1,1.3511179020042619e-07,1e-06
llama32_3b,E20_nar_g128_m1,qkv,0,2,1.3440386226193368e-07,1e-06
llama32_3b,E20_nar_g256_m1,qkv,0,0,1.2217103062539536e-07,1e-06
llama32_3b,E20_nar_g256_m1,qkv,0,1,1.217219960381044e-07,1e-06
llama32_3b,E20_nar_g256_m1,qkv,0,2,1.2169380170234945e-07,1e-06
llama32_3b,E20_nar_g256_m2,qkv,0,0,1.3364805795390566e-07,1e-06
llama32_3b,E20_nar_g256_m2,qkv,0,1,1.3099655404857913e-07,1e-06
llama32_3b,E20_nar_g256_m2,qkv,0,2,1.3224210704265715e-07,1e-06
llama32_3b,E20_nar_g256_m3,qkv,0,0,1.431906468951638e-07,1e-06
llama32_3b,E20_nar_g256_m3,qkv,0,1,1.4258669978062244e-07,1e-06
llama32_3b,E20_nar_g256_m3,qkv,0,2,1.461376086808741e-07,1e-06
llama32_3b,E20_nar_g128_m2,qkv,0,0,1.547070240803805e-07,1e-06
llama32_3b,E20_nar_g128_m2,qkv,0,1,1.5490411442442564e-07,1e-06
llama32_3b,E20_nar_g128_m2,qkv,0,2,1.573297936374729e-07,1e-06
llama32_3b,E20_nar_g128_m2_c32,qkv,0,0,1.547070240803805e-07,1e-06
llama32_3b,E20_nar_g128_m2_c32,qkv,0,1,1.5490411442442564e-07,1e-06
llama32_3b,E20_nar_g128_m2_c32,qkv,0,2,1.573297936374729e-07,1e-06
llama32_3b,E20_nar_g256_m3_c32,qkv,0,0,1.431906468951638e-07,1e-06
llama32_3b,E20_nar_g256_m3_c32,qkv,0,1,1.4258669978062244e-07,1e-06
llama32_3b,E20_nar_g256_m3_c32,qkv,0,2,1.461376086808741e-07,1e-06
llama32_3b,E11_g64_kmax,down,0,0,1.441448773675802e-07,1e-06
llama32_3b,E11_g64_kmax,down,0,1,1.4530264991208242e-07,1e-06
llama32_3b,E11_g64_kmax,down,0,2,1.445678776690329e-07,1e-06
llama32_3b,E11_g128_k8,down,0,0,1.1896593576921077e-07,1e-06
llama32_3b,E11_g128_k8,down,0,1,1.195207204318649e-07,1e-06
llama32_3b,E11_g128_k8,down,0,2,1.1973102687079518e-07,1e-06
llama32_3b,E11_g128_k16,down,0,0,1.278655048508881e-07,1e-06
llama32_3b,E11_g128_k16,down,0,1,1.2828722617541644e-07,1e-06
