model,method,direction,mean_s_i_across_layers
llama32_3b,hadamard,v1,0.0022742478696662666
llama32_3b,hadamard,v2,0.0026806118798309137
llama32_3b,hadamard,v3,0.0025111209064821844
llama32_3b,hadamard,v4,0.0031633948716002385
llama32_3b,hadamard,v5,0.0022236148839251007
llama32_3b,hadamard,v6,0.0018469419904119735
llama32_3b,hadamard,v7,0.0021272935659258758
llama32_3b,hadamard,v8,0.0024634686290353003
llama32_3b,hadamard,top_magnitude_channel,0.0
llama32_3b,smoothquant_hadamard,v1,0.00022760987264648844
llama32_3b,smoothquant_hadamard,v2,0.0002583277330683943
llama32_3b,smoothquant_hadamard,v3,0.0002059154435950664
llama32_3b,smoothquant_hadamard,v4,0.00027145158907972345
llama32_3b,smoothquant_hadamard,v5,0.00020331464643926926
llama32_3b,smoothquant_hadamard,v6,0.00019573580552137822
llama32_3b,smoothquant_hadamard,v7,0.00022124086535768583
llama32_3b,smoothquant_hadamard,v8,0.00023018727525985532
llama32_3b,smoothquant_hadamard,top_magnitude_channel,0.0
llama32_3b,duquant_style,v1,0.38429251153554234
llama32_3b,duquant_style,v2,0.37741020428282873
llama32_3b,duquant_style,v3,0.3469651450536081
llama32_3b,duquant_style,v4,0.37723243183323313
llama32_3b,duquant_style,v5,0.41851152532867025
llama32_3b,duquant_style,v6,0.44835880691451685
llama32_3b,duquant_style,v7,0.4518534887049879
llama32_3b,duquant_style,v8,0.409462924514498
llama32_3b,duquant_style,top_magnitude_channel,0.9999999403953552
llama32_3b,nar,v1,1.000000027673585
llama32_3b,nar,v2,0.9999999318804059
llama32_3b,nar,v3,0.9999999787126269
llama32_3b,nar,v4,0.9999999723264149
llama32_3b,nar,v5,0.9999999148505074
llama32_3b,nar,v6,1.000000006386212
llama32_3b,nar,v7,1.000000006386212
llama32_3b,nar,v8,0.9999999042068209
llama32_3b,nar,top_magnitude_channel,0.5578613148203918
