model,method,task,metric,accuracy,delta_vs_bf16,seed
llama32_3b,bf16,piqa,"acc_norm,none",0.778563656147987,0.0,20260902
llama32_3b,bf16,arc_easy,"acc_norm,none",0.7205387205387206,0.0,20260902
llama32_3b,bf16,arc_challenge,"acc_norm,none",0.4616040955631399,0.0,20260902
llama32_3b,bf16,hellaswag,"acc_norm,none",0.7412865962955587,0.0,20260902
llama32_3b,bf16,winogrande,"acc,none",0.6937647987371744,0.0,20260902
llama32_3b,bf16,lambada_openai,"acc,none",0.6980399767125947,0.0,20260902
llama32_3b,bf16,mean,unweighted_mean_selected_accuracy,0.6822996406658626,0.0,20260902
llama32_3b,hadamard,piqa,"acc_norm,none",0.7736670293797606,-0.004896626768226331,20260902
llama32_3b,hadamard,arc_easy,"acc_norm,none",0.7188552188552189,-0.0016835016835017313,20260902
llama32_3b,hadamard,arc_challenge,"acc_norm,none",0.45733788395904434,-0.004266211604095571,20260902
llama32_3b,hadamard,hellaswag,"acc_norm,none",0.7353116908982275,-0.005974905397331254,20260902
llama32_3b,hadamard,winogrande,"acc,none",0.6842936069455406,-0.009471191791633804,20260902
llama32_3b,hadamard,lambada_openai,"acc,none",0.685231903745391,-0.012808072967203654,20260902
llama32_3b,hadamard,mean,unweighted_mean_selected_accuracy,0.6757828889638638,-0.006516751701998724,20260902
llama32_3b,nar,piqa,"acc_norm,none",0.7676822633297062,-0.01088139281828071,20260902
llama32_3b,nar,arc_easy,"acc_norm,none",0.7138047138047138,-0.006734006734006814,20260902
llama32_3b,nar,arc_challenge,"acc_norm,none",0.45563139931740615,-0.005972696245733766,20260902
llama32_3b,nar,hellaswag,"acc_norm,none",0.7379008165704043,-0.003385779725154414,20260902
llama32_3b,nar,winogrande,"acc,none",0.6882399368587214,-0.0055248618784530246,20260902
llama32_3b,nar,lambada_openai,"acc,none",0.69241218707549,-0.005627789637104641,20260902
llama32_3b,nar,mean,unweighted_mean_selected_accuracy,0.6759452194927403,-0.006354421173122238,20260902
