model,site,method,seeds,mean_ppl,seed_ppl_std,paired_ppl_delta_vs_hadamard,paired_90ci_low_vs_hadamard,paired_90ci_high_vs_hadamard,paired_ppl_delta_vs_identity,paired_90ci_low_vs_identity,paired_90ci_high_vs_identity,ppl_delta_vs_bf16,seed_ppls
llama32_3b,none,bf16,1,7.6168244064194095,0.0,nan,nan,nan,nan,nan,nan,0.0,7.61682441
llama32_3b,qkv_only,identity,3,7.777815726856819,0.0,0.11921422764091212,0.11325891316372019,0.12516954211810405,0.0,0.0,0.0,0.16099132043740916,7.77781573;7.77781573;7.77781573
llama32_3b,qkv_only,hadamard,3,7.658601499215906,0.0035325199271351725,0.0,0.0,0.0,-0.11921422764091212,-0.12516954211810405,-0.11325891316372019,0.04177709279649644,7.66265016;7.65700721;7.65614713
llama32_3b,qkv_only,nar,3,7.641661217538761,0.004704603587095196,-0.016940281677144675,-0.023320034493075504,-0.010560528861213846,-0.1361545093180568,-0.14408578626187826,-0.12822323237423536,0.024836811119351765,7.64547671;7.63640462;7.64310232
llama32_3b,both,identity,3,8.149789266271268,0.0,0.3786599405979458,0.36830250246653573,0.3890173787293558,0.0,0.0,0.0,0.5329648598518588,8.14978927;8.14978927;8.14978927
llama32_3b,both,hadamard,3,7.771129325673322,0.006143732078868792,0.0,0.0,0.0,-0.3786599405979458,-0.3890173787293558,-0.36830250246653573,0.15430491925391276,7.76721052;7.77821002;7.76796744
llama32_3b,both,nar,3,7.705281475366341,0.010095799075068832,-0.06584785030698133,-0.09263035455490967,-0.03906534605905298,-0.4445077909049271,-0.4615278388114474,-0.4274877429984068,0.08845706894693173,7.71519123;7.69500939;7.7056438
llama32_3b,down_only,identity,3,7.94256444279188,0.0,0.22999114205057816,0.22522382940041255,0.23475845470074377,0.0,0.0,0.0,0.32574003637247007,7.94256444;7.94256444;7.94256444
llama32_3b,down_only,hadamard,3,7.712573300741301,0.0028278316787620564,0.0,0.0,0.0,-0.22999114205057816,-0.23475845470074377,-0.22522382940041255,0.0957488943218916,7.71031231;7.71166355;7.71574404
llama32_3b,down_only,nar,3,7.6753882564180005,0.0014920209419900916,-0.03718504432329972,-0.04122833051091531,-0.03314175813568413,-0.2671761863738779,-0.2696915165346091,-0.2646608562131467,0.05856384999859099,7.67370202;7.67653728;7.67592548
