tokens,model,k,nar_fused_ms,hadamard_fused_ms,down_matmul_ms,nar_over_hadamard,nar_over_matmul,hadamard_over_matmul,transform_flop_over_matmul,variant,kernel_a_backend,kernel_a_splits,warmup,repetitions,cublas_bf16_projection_ms,triton_fp32_projection_ms,cublas_fp32_projection_ms,triton_fp32_nar_fused_ms
1,llama32_3b,8,0.014303348123751305,0.00572750517775231,0.04647460213363773,2.497308632615585,0.3077669838382268,0.12323946660765094,0.00634765625,variant-1-two-launch,triton_fp32,32,25,100,0.010756579404908116,0.008189096023697556,0.04580426151030942,0.014303348123751305
1,llama32_3b,8,0.18090819645594883,0.00572750517775231,0.04647460213363773,31.58586345040094,3.8926249639695087,0.12323946660765094,0.00634765625,variant-2-single-launch,fused-in-kernel,0,25,100,0.010756579404908116,0.008189096023697556,0.04580426151030942,0.014303348123751305
32,llama32_3b,8,0.020662739808115112,0.0066382462342550845,0.04446284828335047,3.112680530211425,0.4647192117886085,0.14929871770587488,0.00634765625,variant-1-two-launch,triton_fp32,32,25,100,0.012277146951145642,0.008963105694085772,0.018358149800611578,0.020662739808115112
32,llama32_3b,8,0.18884906617172978,0.0066382462342550845,0.04446284828335047,28.44863831612923,4.247345221076314,0.14929871770587488,0.00634765625,variant-2-single-launch,fused-in-kernel,0,25,100,0.012277146951145642,0.008963105694085772,0.018358149800611578,0.020662739808115112
2048,llama32_3b,8,0.11971107440951624,0.06481540213914827,0.4343941155178794,1.8469541260041211,0.2755817128572245,0.14920874805561335,0.00634765625,variant-1-two-launch,triton_fp32,2,25,100,0.03161285948698168,0.07067624086307155,0.12218792271124174,0.11971107440951624
2048,llama32_3b,8,0.2969076112572071,0.06481540213914827,0.4343941155178794,4.580818778533443,0.683498235014619,0.14920874805561335,0.00634765625,variant-2-single-launch,fused-in-kernel,0,25,100,0.03161285948698168,0.07067624086307155,0.12218792271124174,0.11971107440951624
1,llama32_3b,32,0.03182427793281845,0.004323591824643137,0.04677783139798057,7.360611089934509,0.6803282020934457,0.092428222844674,0.02197265625,variant-1-two-launch,triton_fp32,32,25,100,0.011462722141813073,0.015452525371297437,0.041284662134157206,0.03182427793281845
1,llama32_3b,32,0.49833451695000097,0.004323591824643137,0.04677783139798057,115.25938089475706,10.653219742279767,0.092428222844674,0.02197265625,variant-2-single-launch,fused-in-kernel,0,25,100,0.011462722141813073,0.015452525371297437,0.041284662134157206,0.03182427793281845
32,llama32_3b,32,0.034769038228986374,0.00612909584752705,0.04537120052427054,5.672784223633064,0.7663239638190151,0.13508780408506926,0.02197265625,variant-1-two-launch,triton_fp32,32,25,100,0.013356710874997988,0.016440473889841746,0.020413017805038174,0.034769038228986374
32,llama32_3b,32,0.5161184873935338,0.00612909584752705,0.04537120052427054,84.20793217025246,11.375464643423864,0.13508780408506926,0.02197265625,variant-2-single-launch,fused-in-kernel,0,25,100,0.013356710874997988,0.016440473889841746,0.020413017805038174,0.034769038228986374
2048,llama32_3b,32,0.32977737131572904,0.06465463255906206,0.43519702640383745,5.100599265094843,0.7577656815368836,0.1485640494681743,0.02197265625,variant-1-two-launch,triton_fp32,2,25,100,0.03262236987082463,0.1835020451065731,0.12231789727073572,0.32977737131572904
2048,llama32_3b,32,1.0017912519532581,0.06465463255906206,0.43519702640383745,15.49450073880044,2.301925774243812,0.1485640494681743,0.02197265625,variant-2-single-launch,fused-in-kernel,0,25,100,0.03262236987082463,0.1835020451065731,0.12231789727073572,0.32977737131572904
