model,rotation,stage,model_dtype,tokens,max_abs_logit_error,relative_l2_logit_error
llama32_3b,hadamard,norm_only,torch.float32,16,1.9073486328125e-05,7.464066698048555e-07
llama32_3b,hadamard,norm_r1,torch.float32,16,2.765655517578125e-05,1.2571149454743136e-06
llama32_3b,hadamard,norm_r1_r2,torch.float32,16,2.6702880859375e-05,1.2511638942669379e-06
llama32_3b,hadamard,norm_r1_r4,torch.float32,16,3.0517578125e-05,1.297717290071887e-06
llama32_3b,hadamard,norm_r1_r2_r4,torch.float32,16,3.147125244140625e-05,1.3911335372540634e-06
