model,layer,rank,eigenvalue,fraction_total,cumulative_fraction
llama32_3b,0,64,1.2755384354786967,0.0037829557691339863,0.9227416326711942
llama32_3b,0,65,1.2265082009142385,0.003637543287982055,0.9263791759591764
llama32_3b,0,66,1.2256385246073942,0.0036349640266201493,0.9300141399857964
llama32_3b,0,67,1.1847671042780021,0.003513748725671771,0.9335278887114682
llama32_3b,0,68,1.171020473307688,0.0034729793568398634,0.9370008680683081
llama32_3b,0,69,1.1077754693390909,0.0032854091151465056,0.9402862771834547
llama32_3b,0,70,1.0500792008947861,0.003114295156132817,0.9434005723395874
llama32_3b,0,71,0.9756786574114646,0.002893640131267723,0.9462942124708552
llama32_3b,0,72,0.9493834152092895,0.0028156544466167058,0.9491098669174718
llama32_3b,0,73,0.939781931775528,0.0027871786389595567,0.9518970455564313
llama32_3b,0,74,0.7891112005501958,0.0023403236512346283,0.954237369207666
llama32_3b,0,75,0.7809834319482509,0.002316218545290585,0.9565535877529566
llama32_3b,0,76,0.7758899073088436,0.0023011123141618924,0.9588547000671184
llama32_3b,0,77,0.7307772279564905,0.00216731840731421,0.9610220184744327
llama32_3b,0,78,0.696553262704456,0.002065817940380623,0.9630878364148132
llama32_3b,0,79,0.6691206695498129,0.001984459132484162,0.9650722955472975
llama32_3b,0,80,0.6173721783270362,0.0018309849227150816,0.9669032804700126
llama32_3b,0,81,0.5853993314089492,0.0017361607587854208,0.9686394412287979
llama32_3b,0,82,0.5462104696078908,0.001619935542270897,0.9702593767710688
llama32_3b,0,83,0.5217917679212657,0.0015475152483379175,0.9718068920194067
llama32_3b,0,84,0.4653190673701118,0.0013800301123307152,0.9731869221317374
llama32_3b,0,85,0.43660332809476404,0.001294865786007725,0.9744817879177451
llama32_3b,0,86,0.42230016378799495,0.001252445866367391,0.9757342337841125
llama32_3b,0,87,0.4005217484753797,0.0011878560589904498,0.976922089843103
llama32_3b,0,88,0.38280816570439646,0.0011353216168508249,0.978057411459954
llama32_3b,0,89,0.3724380675147688,0.0011045662733176328,0.9791619777332715
llama32_3b,0,90,0.3640320803863254,0.0010796360347467527,0.9802416137680182
llama32_3b,0,91,0.3537920957744538,0.0010492665783776976,0.981290880346396
llama32_3b,0,92,0.33346223743188685,0.000988972860239892,0.9822798532066357
llama32_3b,0,93,0.32317273929324136,0.0009584565580553369,0.9832383097646913
llama32_3b,0,94,0.3027415475875821,0.0008978623082989978,0.9841361720729901
llama32_3b,0,95,0.29705959764129886,0.0008810109420591745,0.9850171830150495
llama32_3b,0,96,0.28166198829890254,0.0008353451483264836,0.9858525281633759
llama32_3b,0,97,0.2664714888860186,0.0007902935953574587,0.9866428217587333
llama32_3b,0,98,0.2522035300184731,0.0007479780870117683,0.9873907998457451
llama32_3b,0,99,0.24296142012435626,0.0007205680992211623,0.9881113679449662
llama32_3b,0,100,0.2261206175591488,0.0006706221238989926,0.9887819900688652
llama32_3b,0,101,0.22075793408305935,0.0006547176291149537,0.9894367076979802
llama32_3b,0,102,0.21725462178523117,0.0006443276047146513,0.9900810353026949
llama32_3b,0,103,0.21189870457066712,0.0006284431771174262,0.9907094784798123
llama32_3b,0,104,0.2007505716343194,0.0005953803601660874,0.9913048588399784
llama32_3b,0,105,0.1914515159723254,0.0005678014842297961,0.9918726603242081
llama32_3b,0,106,0.18368647843444993,0.0005447721558031509,0.9924174324800112
llama32_3b,0,107,0.17952401944963686,0.0005324272528253956,0.9929498597328367
llama32_3b,0,108,0.1699549920543071,0.0005040477023678835,0.9934539074352045
llama32_3b,0,109,0.15965062696826285,0.00047348730821176007,0.9939273947434163
llama32_3b,0,110,0.15789855400379013,0.0004682910598318292,0.994395685803248
llama32_3b,0,111,0.15524399868676775,0.00046041825484869557,0.9948561040580969
llama32_3b,0,112,0.1506743761209702,0.00044686579765318885,0.9953029698557501
llama32_3b,0,113,0.14117107696328615,0.00041868118214148523,0.9957216510378915
llama32_3b,0,114,0.13604234810034266,0.00040347054332360064,0.9961251215812149
llama32_3b,0,115,0.13567925167296568,0.0004023936822220516,0.996527515263437
llama32_3b,0,116,0.12670979949287844,0.0003757923349581423,0.9969033075983953
llama32_3b,0,117,0.12106620102129433,0.0003590547104358811,0.9972623623088313
