model,site,layer,evaluation_tokens,recaptured_raw_mean_group_range,original_E1c_raw_mean_group_range,relative_range_replay_drift,reference_status,provenance
llama32_3b,qkv,6,8192,2.9250391125679016,2.9247374534606934,0.00010314057655036457,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,7,8192,2.65787594517072,2.6576385498046875,8.932567826058779e-05,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,8,8192,3.149805386861165,3.149484634399414,0.00010184284065006821,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,9,8192,3.0675688485304513,3.0671679973602295,0.00013069097309537092,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,10,8192,3.237744520107905,3.237332820892334,0.00012717234783954368,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,11,8192,2.794129401445389,2.7939555644989014,6.221893744351448e-05,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,12,8192,3.576731562614441,3.576326370239258,0.00011329848935348608,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,13,8192,3.6911544998486834,3.6909310817718506,6.05316306057091e-05,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,14,8192,3.4626999894777932,3.462327003479004,0.00010772697044925117,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,15,8192,3.6898422241210938,3.689556121826172,7.754382518521119e-05,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,16,8192,3.690737396478653,3.690310478210449,0.00011568627374969331,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,17,8192,3.6137608091036477,3.613144636154175,0.00017053647487763612,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,18,8192,4.012379268805185,4.011804103851318,0.00014336815531823532,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,19,8192,3.73611777027448,3.735776901245117,9.124448230535265e-05,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,20,8192,3.814854731162389,3.814521312713623,8.740767751236334e-05,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,21,8192,3.9168420135974884,3.9164280891418457,0.00010568927763299207,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,22,8192,3.723728428284327,3.7233428955078125,0.00010354479491536672,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,23,8192,3.8073779145876565,3.8069064617156982,0.00012384146463784163,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,24,8192,4.021240721146265,4.020869255065918,9.23845210532015e-05,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,25,8192,3.5269150733947754,3.5266623497009277,7.166087047405512e-05,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,26,8192,3.6689931352933245,3.6685214042663574,0.0001285888713689065,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama32_3b,qkv,27,8192,2.9793465435504913,2.979177474975586,5.6750084990175864e-05,original E1c identity rows,same frozen token IDs and E1c row positions; freshly replayed bf16 values
