model,site,method,mixing_width,alignment,frozen_nar_permutation,fp4_block_size,scale_rule,blocks,global_nmse,block_nmse_median,block_nmse_p90,block_nmse_p99,worst_1pct_error_share,worst_1pct_signal_energy_share
llama32_3b,q_input,hadamard_b128_pi,128,False,True,16,absmax,11010048,0.009146550867611484,0.00882582925260067,0.013825981877744198,0.01803862862288952,0.048314829140314285,0.033628038306311316
llama32_3b,q_input,hadamard_b128_pi,128,False,True,16,mse_optimal,11010048,0.006590669041966065,0.006640136241912842,0.008769184350967407,0.010297947563230991,0.04247999398387715,0.03596084802706644
llama32_3b,down_input,hadamard_b128_pi,128,False,True,16,absmax,29360128,0.0022079781029634214,0.009329858236014843,0.01499057374894619,0.027327924966812134,0.6694092087035304,0.9182570642727812
llama32_3b,down_input,hadamard_b128_pi,128,False,True,16,mse_optimal,29360128,0.0010692650996672627,0.00698206527158618,0.009549690410494804,0.014533381909132004,0.5114601897251123,0.15981777857889023
