model,site,layer,requested_k,realized_k,orthogonality_error,reconstructed_k32_reflector_error,source_file,source_sha256
llama32_3b,down,25,64,64,4.76837158203125e-07,1.4156103134155273e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/down_layer_25.pt,47f0e0ed42d6cc8dbbca3033456429bd58c3ec2a94b604fcf30ef89a2d3e087d
llama32_3b,down,26,64,64,4.76837158203125e-07,1.327134668827057e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/down_layer_26.pt,4c8ce633c111f88aa675c8928d3ab02729fd69c9d3d1b338cbcb91d377f8b32a
llama32_3b,down,27,64,64,3.5762786865234375e-07,1.235748641192913e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/down_layer_27.pt,a8e1b553e886efac1b577180a8408b7b5c5255e7663e26e5020962988271badd
llama32_3b,qkv,0,64,24,5.960464477539062e-07,1.7508864402770996e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_00.pt,9b9c953849adde5274adafdbf3e6a63a1107f7766d1dcc2bb2a8444dcb6f1d59
llama32_3b,qkv,1,64,24,8.344650268554688e-07,9.633367881178856e-08,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_01.pt,90692ec956e34131e5a67fdbbe412f0583d30f1e7ef0a15875ae81cd282b6440
llama32_3b,qkv,2,64,24,8.344650268554688e-07,1.1920928955078125e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_02.pt,370cb84c6cff40703df2d52ebca4366a0fff1bc379faf07508e3733137ac4969
llama32_3b,qkv,3,64,24,5.960464477539062e-07,1.340231392532587e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_03.pt,7d77ed884ec87ffbd3cfb524dcfacb4db67262df03a8f88ca161dc43eb72cc78
llama32_3b,qkv,4,64,24,5.364418029785156e-07,1.0803341865539551e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_04.pt,17875bd08d24fe730b1ad18da834cf7275e04178c48ed10c14955d78ab89a4cc
llama32_3b,qkv,5,64,24,4.76837158203125e-07,1.1920928955078125e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_05.pt,d1a6197556a457b80b842e17d232e1f5016672eed6b45ee6b88f195a865530ff
llama32_3b,qkv,6,64,24,4.172325134277344e-07,1.3067619875073433e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_06.pt,1a88e3b5c542dad1794eb968559e046a2d2145b24ad2262fb053960fbbf6c75f
llama32_3b,qkv,7,64,24,4.76837158203125e-07,1.210719347000122e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_07.pt,d51430238b7492c0ae4bd8a69ba134eb6abfc99a72c89b5c4e42549b2e2df268
llama32_3b,qkv,8,64,24,7.152557373046875e-07,1.1920928955078125e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_08.pt,751a0f17c4ad21b1a129404e5a03396054475dd8ba803d6bca34e241bfb3b28b
llama32_3b,qkv,9,64,24,7.152557373046875e-07,2.0803418010473251e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_09.pt,8fe32c6c4feb2730ce27baddf2ad0dfa6bd502ff47dfa101961154edef9040d8
llama32_3b,qkv,10,64,24,5.960464477539062e-07,1.966254785656929e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_10.pt,c48f69a0a3b627211b1507586b203f9837eb263a7b48c376ffc745a41047456a
llama32_3b,qkv,11,64,24,7.748603820800781e-07,1.2153759598731995e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_11.pt,32a3a275b4998dab615a26cc8fe03051dc83775c219af6fac5c605227fbc83e9
llama32_3b,qkv,12,64,24,5.364418029785156e-07,1.1920928955078125e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_12.pt,c2ded9bb8f31af63471121660d068274e635536649899d19804a3b5e61ece167
llama32_3b,qkv,13,64,24,7.152557373046875e-07,1.1734664440155029e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_13.pt,051822e384bf448edc90981fffc6deede1d50dd754f1faf3ef5715837b36ee9b
llama32_3b,qkv,14,64,24,7.748603820800781e-07,1.1920928955078125e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_14.pt,f1802443dd73dbc9f9f07decf0375a0b1dab32beed6822258e5c098e17f96d6a
llama32_3b,qkv,15,64,24,7.152557373046875e-07,1.7881393432617188e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_15.pt,affd1c8ff7810ddcbad284a482096c2f3c27b686d42d109c9d7c71e35c76252b
llama32_3b,qkv,16,64,24,4.76837158203125e-07,1.4901161193847656e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_16.pt,f85bc3b4647b75b4eea91ccda4619bc69c7b717d0354633796b714f85e6e3dc9
llama32_3b,qkv,17,64,24,4.76837158203125e-07,1.5075784176588058e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_17.pt,cca0bd8f1bb2c380ce2e0bc432be8572f8b0cf3e046456adbaa54cc15b00507d
llama32_3b,qkv,18,64,24,8.344650268554688e-07,1.5832483768463135e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_18.pt,49fb424eb2a0848bceec6f82fef856757901ac445f3782baa5193cdce5125300
llama32_3b,qkv,19,64,24,4.76837158203125e-07,1.1920928955078125e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_19.pt,93116f03c2e4ea6115d2a427e423f8c97b3fb00f023722572319645165164564
llama32_3b,qkv,20,64,24,5.960464477539062e-07,1.1920928955078125e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_20.pt,dffd87b9eaacae62a7b36773a1615c67265e44b24c3628989513d845eb753070
llama32_3b,qkv,21,64,24,4.76837158203125e-07,1.816079020500183e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_21.pt,273d25d1f7973a604907f0ef8b1f19e01df1f1ac1be6ed52d761c8c0ee6b13b6
llama32_3b,qkv,22,64,24,5.960464477539062e-07,1.1199153959751129e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_22.pt,18a3f96f98965c600f9c3c4bdc9cc73bf55c3c095fe024d11c1bf4d2b34c7f47
llama32_3b,qkv,23,64,24,5.960464477539062e-07,1.641456037759781e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_23.pt,9be8b2b59d95c864dcf1e3ba64bd3a9fbb40a7b37d632c3bd0a86f88541d8f1f
llama32_3b,qkv,24,64,24,5.960464477539062e-07,1.6205012798309326e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_24.pt,3c9602f04fd64589c9c494e139d946328cb572d193167aa6fe566d1dc284d619
llama32_3b,qkv,25,64,24,5.960464477539062e-07,1.2689270079135895e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_25.pt,5e5a37a2e2e2a83dfa025579e1861c28cff584f3b9253e0d05bec91725e339a3
llama32_3b,qkv,26,64,24,5.364418029785156e-07,1.755543053150177e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_26.pt,14d9c158751f00eb13736f61f18509ca31858788965836728ffa38bc4fb7325c
llama32_3b,qkv,27,64,24,5.960464477539062e-07,1.2083910405635834e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/qkv_layer_27.pt,c2ff1de3d9804baf01fd003d60cd7513838d73038d620bcd94e9fedcece33051
