model,site,method,mixing_width,alignment,fp4_block_size,scale_rule,blocks,global_nmse,block_nmse_median,block_nmse_p90,block_nmse_p99,worst_1pct_error_share,worst_1pct_signal_energy_share
llama32_3b,q_input,hadamard_b128,128,False,16,absmax,11010048,0.009176092870279475,0.008850321173667908,0.013865682296454906,0.018113790079951286,0.052833638812058326,0.03740509993150926
llama32_3b,q_input,hadamard_b128,128,False,16,mse_optimal,11010048,0.006590001737171169,0.006632431410253048,0.008757360279560089,0.010284758172929287,0.046598536176341215,0.03980445978597709
llama32_3b,down_input,hadamard_b128,128,False,16,absmax,29360128,0.001996918220913832,0.009332469664514065,0.015009050257503986,0.027676058933138847,0.6365556420773875,0.9189153158367519
llama32_3b,down_input,hadamard_b128,128,False,16,mse_optimal,29360128,0.0009476454295615472,0.0069854711182415485,0.009553637355566025,0.014472156763076782,0.45321350025252927,0.16206018845584974
