model,layer,b,method,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,sample_vectors
llama32_3b,22,32,identity,1.895587682723999,0.006741511512524807,-0.03805217266873485,0.0006079317946641469,65536
llama32_3b,22,32,hadamard,1.8261005878448486,0.00613357971786066,0.0,0.0,65536
llama32_3b,22,32,nar,1.722275733947754,0.005454812316793867,0.05685604319290434,-0.0006787674010667929,65536
llama32_3b,22,64,bf16,2.2237789630889893,0.0,-0.07802862520911123,-0.008008242513573868,65536
llama32_3b,22,64,identity,2.2237789630889893,0.009528191394207389,-0.07802862520911123,0.001519948880633521,65536
llama32_3b,22,64,hadamard,2.0628199577331543,0.008008242513573868,0.0,0.0,65536
llama32_3b,22,64,nar,1.9903769493103027,0.007426435682399713,0.03511843491298176,-0.0005818068311741554,65536
llama32_3b,22,128,bf16,2.5672812461853027,0.0,-0.12618509794439042,-0.009876711328492946,65536
llama32_3b,22,128,identity,2.5672812461853027,0.01275409492316295,-0.12618509794439042,0.002877383594670003,65536
llama32_3b,22,128,hadamard,2.2796263694763184,0.009876711328492946,0.0,0.0,65536
llama32_3b,22,128,nar,2.2329025268554688,0.009456353044809651,0.020496272216566407,-0.00042035828368329475,65536
llama32_3b,23,32,bf16,1.6547117233276367,0.0,-0.04047677122510014,-0.006089643205425821,65536
llama32_3b,23,32,identity,1.6547117233276367,0.006782704981286687,-0.04047677122510014,0.000693061775860866,65536
llama32_3b,23,32,hadamard,1.5903398990631104,0.006089643205425821,0.0,0.0,65536
llama32_3b,23,32,nar,1.5020427703857422,0.005516238431010284,0.05552091645904447,-0.0005734047744155374,65536
llama32_3b,23,64,bf16,1.9508389234542847,0.0,-0.08499116450281574,-0.007976610080763174,65536
llama32_3b,23,64,identity,1.9508389234542847,0.009607463449125638,-0.08499116450281574,0.0016308533683624636,65536
llama32_3b,23,64,hadamard,1.7980228662490845,0.007976610080763174,0.0,0.0,65536
llama32_3b,23,64,nar,1.744483232498169,0.0075713812677010205,0.029776948200111796,-0.0004052288130621537,65536
llama32_3b,23,128,bf16,2.300745964050293,0.0,-0.15863073537058847,-0.009830590589300156,65536
llama32_3b,23,128,identity,2.300745964050293,0.013306356876465766,-0.15863073537058847,0.0034757662871656107,65536
llama32_3b,23,128,hadamard,1.9857456684112549,0.009830590589300156,0.0,0.0,65536
llama32_3b,23,128,nar,1.9565293788909912,0.009567359393546462,0.01471300679892148,-0.0002632311957536937,65536
llama32_3b,24,32,bf16,2.0446152687072754,0.0,-0.016470983702779357,-0.00610630525163295,65536
llama32_3b,24,32,identity,2.0446152687072754,0.0063081153473176855,-0.016470983702779357,0.0002018100956847355,65536
llama32_3b,24,32,hadamard,2.011484146118164,0.00610630525163295,0.0,0.0,65536
llama32_3b,24,32,nar,1.8462350368499756,0.00511294735389178,0.08215282709888232,-0.0009933578977411699,65536
llama32_3b,24,64,bf16,2.363069534301758,0.0,-0.04407542254980316,-0.007877932409494791,65536
llama32_3b,24,64,identity,2.363069534301758,0.008564130674757512,-0.04407542254980316,0.0006861982652627205,65536
llama32_3b,24,64,hadamard,2.263313055038452,0.007877932409494791,0.0,0.0,65536
llama32_3b,24,64,nar,2.1266729831695557,0.006903190515505581,0.06037170667341689,-0.0009747418939892102,65536
llama32_3b,24,128,bf16,2.698671817779541,0.0,-0.07056676986396702,-0.009929968106978037,65536
llama32_3b,24,128,identity,2.698671817779541,0.01118198870613278,-0.07056676986396702,0.0012520205991547427,65536
llama32_3b,24,128,hadamard,2.5207879543304443,0.009929968106978037,0.0,0.0,65536
llama32_3b,24,128,nar,2.384176731109619,0.008739131209123813,0.05419385751433067,-0.001190836897854224,65536
llama32_3b,25,32,bf16,2.2340238094329834,0.0,-0.057431210136885694,-0.006093682738781263,65536
llama32_3b,25,32,identity,2.2340238094329834,0.007385397199826551,-0.057431210136885694,0.0012917144610452881,65536
llama32_3b,25,32,hadamard,2.11268949508667,0.006093682738781263,0.0,0.0,65536
llama32_3b,25,32,nar,1.9416885375976562,0.005159765637344232,0.08093993835189615,-0.0009339171014370309,65536
llama32_3b,25,64,bf16,2.6849870681762695,0.0,-0.12462850760720551,-0.007964383263899304,65536
llama32_3b,25,64,identity,2.6849870681762695,0.010972326515195035,-0.12462850760720551,0.0030079432512957315,65536
llama32_3b,25,64,hadamard,2.3874435424804688,0.007964383263899304,0.0,0.0,65536
llama32_3b,25,64,nar,2.243070602416992,0.007055805350403937,0.06047177137159785,-0.0009085779134953668,65536
llama32_3b,25,128,bf16,3.211451530456543,0.0,-0.22023927183902245,-0.009789973892059087,65536
llama32_3b,25,128,identity,3.211451530456543,0.015965005121354712,-0.22023927183902245,0.006175031229295625,65536
llama32_3b,25,128,hadamard,2.6318211555480957,0.009789973892059087,0.0,0.0,65536
llama32_3b,25,128,nar,2.5303688049316406,0.00902879629241502,0.03854834527892793,-0.0007611775996440671,65536
llama32_3b,26,32,bf16,2.0932722091674805,0.0,-0.02750480789654804,-0.00606703549669125,65536
llama32_3b,26,32,identity,2.0932722091674805,0.006436746197507751,-0.02750480789654804,0.00036971070081650084,65536
llama32_3b,26,32,hadamard,2.037238359451294,0.00606703549669125,0.0,0.0,65536
llama32_3b,26,32,nar,1.934549331665039,0.005507702802968406,0.05040599560176795,-0.000559332693722844,65536
llama32_3b,26,64,bf16,2.415552854537964,0.0,-0.04559634483710925,-0.00798932146953948,65536
llama32_3b,26,64,identity,2.415552854537964,0.008738248256345603,-0.04559634483710925,0.0007489267868061224,65536
llama32_3b,26,64,hadamard,2.310215473175049,0.00798932146953948,0.0,0.0,65536
llama32_3b,26,64,nar,2.2224607467651367,0.0074035122664531175,0.037985515822602574,-0.0005858092030863633,65536
llama32_3b,26,128,bf16,2.7430601119995117,0.0,-0.07487452805254813,-0.0098301492589807,65536
llama32_3b,26,128,identity,2.7430601119995117,0.011353510034467272,-0.07487452805254813,0.0015233607754865722,65536
llama32_3b,26,128,hadamard,2.5519816875457764,0.0098301492589807,0.0,0.0,65536
llama32_3b,26,128,nar,2.4921939373016357,0.009331559975488738,0.0234279699325108,-0.0004985892834919615,65536
llama32_3b,27,32,bf16,2.1670784950256348,0.0,-0.0670341080712085,-0.006035660022301186,65536
llama32_3b,27,32,identity,2.1670784950256348,0.007382251533771077,-0.0670341080712085,0.001346591511469891,65536
llama32_3b,27,32,hadamard,2.0309364795684814,0.006035660022301186,0.0,0.0,65536
llama32_3b,27,32,nar,1.8632818460464478,0.005097124780454352,0.08255040726712227,-0.0009385352418468341,65536
llama32_3b,27,64,bf16,2.6332125663757324,0.0,-0.1477221996373676,-0.007889379259095252,65536
llama32_3b,27,64,identity,2.6332125663757324,0.011148690430530767,-0.1477221996373676,0.003259311171435514,65536
llama32_3b,27,64,hadamard,2.2942943572998047,0.007889379259095252,0.0,0.0,65536
llama32_3b,27,64,nar,2.1587393283843994,0.006981870223513164,0.05908353846754972,-0.0009075090355820884,65536
llama32_3b,27,128,bf16,3.195366621017456,0.0,-0.26134497081766533,-0.009718710807517008,65536
llama32_3b,27,128,identity,3.195366621017456,0.016645646986743035,-0.26134497081766533,0.006926936179226026,65536
llama32_3b,27,128,hadamard,2.5333011150360107,0.009718710807517008,0.0,0.0,65536
llama32_3b,27,128,nar,2.438699960708618,0.008979145734373618,0.03734303583806216,-0.00073956507314339,65536
