model,layer,b,method,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,sample_vectors
llama32_3b,5,32,identity,1.1190903186798096,0.007494392874578863,-0.08475202599260726,0.0013875512460246736,65536
llama32_3b,5,32,hadamard,1.0316554307937622,0.00610684162855419,0.0,0.0,65536
llama32_3b,5,32,nar,0.9839303493499756,0.0055748393821057896,0.04626067969909938,-0.0005320022464484,65536
llama32_3b,5,64,bf16,1.3492048978805542,0.0,-0.15963598870769086,-0.007949772562931645,65536
llama32_3b,5,64,identity,1.3492048978805542,0.011116949243047064,-0.15963598870769086,0.0031671766801154196,65536
llama32_3b,5,64,hadamard,1.1634727716445923,0.007949772562931645,0.0,0.0,65536
llama32_3b,5,64,nar,1.131516456604004,0.007538787415139289,0.02746631964185761,-0.0004109851477923556,65536
llama32_3b,5,128,bf16,1.6062989234924316,0.0,-0.24821396050101927,-0.00982903035123353,65536
llama32_3b,5,128,identity,1.6062989234924316,0.015810593224730045,-0.24821396050101927,0.005981562873496514,65536
llama32_3b,5,128,hadamard,1.2868778705596924,0.00982903035123353,0.0,0.0,65536
llama32_3b,5,128,nar,1.2699906826019287,0.009569310842078477,0.013122603429662715,-0.00025971950915505346,65536
llama32_3b,6,32,bf16,1.1622225046157837,0.0,-0.06675859928909232,-0.006102172085161601,65536
llama32_3b,6,32,identity,1.1622225046157837,0.007169106970622472,-0.06675859928909232,0.0010669348854608707,65536
llama32_3b,6,32,hadamard,1.0894896984100342,0.006102172085161601,0.0,0.0,65536
llama32_3b,6,32,nar,1.0508917570114136,0.005675439984679016,0.035427541403052445,-0.0004267321004825849,65536
llama32_3b,6,64,bf16,1.3749829530715942,0.0,-0.11695128725174542,-0.00796841824339191,65536
llama32_3b,6,64,identity,1.3749829530715942,0.010277809475265784,-0.11695128725174542,0.0023093912318738734,65536
llama32_3b,6,64,hadamard,1.2310142517089844,0.00796841824339191,0.0,0.0,65536
llama32_3b,6,64,nar,1.207435131072998,0.007669602819349858,0.01915422230348029,-0.00029881542404205236,65536
llama32_3b,6,128,bf16,1.6060487031936646,0.0,-0.18117833482991486,-0.009828699248793435,65536
llama32_3b,6,128,identity,1.6060487031936646,0.014160261284385401,-0.18117833482991486,0.004331562035591966,65536
llama32_3b,6,128,hadamard,1.3597004413604736,0.009828699248793435,0.0,0.0,65536
llama32_3b,6,128,nar,1.350037932395935,0.009674595999581252,0.0071063512746017575,-0.00015410324921218306,65536
llama32_3b,7,32,bf16,1.268031358718872,0.0,-0.08922462022354001,-0.006071099966214164,65536
llama32_3b,7,32,identity,1.268031358718872,0.007525022010954817,-0.08922462022354001,0.0014539220447406529,65536
llama32_3b,7,32,hadamard,1.1641596555709839,0.006071099966214164,0.0,0.0,65536
llama32_3b,7,32,nar,1.1257213354110718,0.005671159806378617,0.03301808302320811,-0.00039994015983554725,65536
llama32_3b,7,64,bf16,1.5252964496612549,0.0,-0.15890759508392063,-0.007947145803009235,65536
llama32_3b,7,64,identity,1.5252964496612549,0.011091609165749337,-0.15890759508392063,0.003144463362740102,65536
llama32_3b,7,64,hadamard,1.316150188446045,0.007947145803009235,0.0,0.0,65536
llama32_3b,7,64,nar,1.2942469120025635,0.007667285544472071,0.01664192782538158,-0.00027986025853716373,65536
llama32_3b,7,128,bf16,1.8259763717651367,0.0,-0.2533098273305394,-0.009830764896905297,65536
llama32_3b,7,128,identity,1.8259763717651367,0.015792639768094332,-0.2533098273305394,0.005961874871189035,65536
llama32_3b,7,128,hadamard,1.4569233655929565,0.009830764896905297,0.0,0.0,65536
llama32_3b,7,128,nar,1.4472507238388062,0.009690046902020815,0.006639087533758991,-0.00014071799488448236,65536
llama32_3b,8,32,bf16,1.2560893297195435,0.0,-0.07268456164033525,-0.006071709525481506,65536
llama32_3b,8,32,identity,1.2560893297195435,0.007214716547896497,-0.07268456164033525,0.0011430070224149906,65536
llama32_3b,8,32,hadamard,1.1709773540496826,0.006071709525481506,0.0,0.0,65536
llama32_3b,8,32,nar,1.1380517482757568,0.0057248889665411275,0.028118055110166375,-0.00034682055894037864,65536
llama32_3b,8,64,bf16,1.4911551475524902,0.0,-0.12256590883147112,-0.008002644687710876,65536
llama32_3b,8,64,identity,1.4911551475524902,0.0103339730517778,-0.12256590883147112,0.0023313283640669247,65536
llama32_3b,8,64,hadamard,1.3283452987670898,0.008002644687710876,0.0,0.0,65536
llama32_3b,8,64,nar,1.302732229232788,0.007665789974567073,0.01928193637458171,-0.00033685471314380284,65536
llama32_3b,8,128,bf16,1.7366513013839722,0.0,-0.18312723479607745,-0.009880216672309186,65536
llama32_3b,8,128,identity,1.7366513013839722,0.014076170961441092,-0.18312723479607745,0.004195954289131906,65536
llama32_3b,8,128,hadamard,1.467848300933838,0.009880216672309186,0.0,0.0,65536
llama32_3b,8,128,nar,1.4527618885040283,0.009622556421066342,0.010277909795046034,-0.00025766025124284407,65536
