model,site,layer,method,b,requested_k,realized_k,dc_slots,anchor_error,permutation_energy_rows
llama32_3b,qkv,10,nar_b256_kmax,256,kmax,12,12,2.384185791015625e-07,8192
llama32_3b,qkv,10,nar_b128_k8,128,8,8,24,2.384185791015625e-07,8192
llama32_3b,qkv,10,nar_b128_k16,128,16,16,24,2.384185791015625e-07,8192
llama32_3b,qkv,10,nar_b128_k32,128,32,24,24,2.384185791015625e-07,8192
llama32_3b,qkv,11,nar_b64_kmax,64,kmax,48,48,2.384185791015625e-07,8192
llama32_3b,qkv,11,nar_b256_kmax,256,kmax,12,12,2.384185791015625e-07,8192
llama32_3b,qkv,11,nar_b128_k8,128,8,8,24,1.7881393432617188e-07,8192
llama32_3b,qkv,11,nar_b128_k16,128,16,16,24,2.384185791015625e-07,8192
llama32_3b,qkv,11,nar_b128_k32,128,32,24,24,2.384185791015625e-07,8192
llama32_3b,qkv,12,nar_b64_kmax,64,kmax,48,48,2.384185791015625e-07,8192
llama32_3b,qkv,12,nar_b256_kmax,256,kmax,12,12,2.980232238769531e-07,8192
llama32_3b,qkv,12,nar_b128_k8,128,8,8,24,2.384185791015625e-07,8192
llama32_3b,qkv,12,nar_b128_k16,128,16,16,24,2.384185791015625e-07,8192
llama32_3b,qkv,12,nar_b128_k32,128,32,24,24,2.384185791015625e-07,8192
llama32_3b,qkv,13,nar_b64_kmax,64,kmax,48,48,2.384185791015625e-07,8192
llama32_3b,qkv,13,nar_b256_kmax,256,kmax,12,12,2.384185791015625e-07,8192
llama32_3b,qkv,13,nar_b128_k8,128,8,8,24,3.5762786865234375e-07,8192
llama32_3b,qkv,13,nar_b128_k16,128,16,16,24,3.5762786865234375e-07,8192
llama32_3b,qkv,13,nar_b128_k32,128,32,24,24,3.5762786865234375e-07,8192
llama32_3b,qkv,14,nar_b64_kmax,64,kmax,48,48,2.980232238769531e-07,8192
llama32_3b,qkv,14,nar_b256_kmax,256,kmax,12,12,2.384185791015625e-07,8192
llama32_3b,qkv,14,nar_b128_k8,128,8,8,24,2.384185791015625e-07,8192
llama32_3b,qkv,14,nar_b128_k16,128,16,16,24,2.384185791015625e-07,8192
llama32_3b,qkv,14,nar_b128_k32,128,32,24,24,2.384185791015625e-07,8192
llama32_3b,qkv,15,nar_b64_kmax,64,kmax,48,48,3.5762786865234375e-07,8192
llama32_3b,qkv,15,nar_b256_kmax,256,kmax,12,12,2.384185791015625e-07,8192
llama32_3b,qkv,15,nar_b128_k8,128,8,8,24,2.980232238769531e-07,8192
llama32_3b,qkv,15,nar_b128_k16,128,16,16,24,3.5762786865234375e-07,8192
llama32_3b,qkv,15,nar_b128_k32,128,32,24,24,3.5762786865234375e-07,8192
llama32_3b,qkv,16,nar_b64_kmax,64,kmax,48,48,3.5762786865234375e-07,8192
llama32_3b,qkv,16,nar_b256_kmax,256,kmax,12,12,2.384185791015625e-07,8192
llama32_3b,qkv,16,nar_b128_k8,128,8,8,24,1.1920928955078125e-07,8192
llama32_3b,qkv,16,nar_b128_k16,128,16,16,24,2.384185791015625e-07,8192
llama32_3b,qkv,16,nar_b128_k32,128,32,24,24,2.384185791015625e-07,8192
llama32_3b,qkv,17,nar_b64_kmax,64,kmax,48,48,2.384185791015625e-07,8192
llama32_3b,qkv,17,nar_b256_kmax,256,kmax,12,12,1.7881393432617188e-07,8192
llama32_3b,qkv,17,nar_b128_k8,128,8,8,24,1.7881393432617188e-07,8192
llama32_3b,qkv,17,nar_b128_k16,128,16,16,24,2.980232238769531e-07,8192
llama32_3b,qkv,17,nar_b128_k32,128,32,24,24,2.980232238769531e-07,8192
llama32_3b,qkv,18,nar_b64_kmax,64,kmax,48,48,3.5762786865234375e-07,8192
llama32_3b,qkv,18,nar_b256_kmax,256,kmax,12,12,2.384185791015625e-07,8192
llama32_3b,qkv,18,nar_b128_k8,128,8,8,24,2.384185791015625e-07,8192
llama32_3b,qkv,18,nar_b128_k16,128,16,16,24,2.384185791015625e-07,8192
llama32_3b,qkv,18,nar_b128_k32,128,32,24,24,2.384185791015625e-07,8192
llama32_3b,qkv,19,nar_b64_kmax,64,kmax,48,48,2.384185791015625e-07,8192
llama32_3b,qkv,19,nar_b256_kmax,256,kmax,12,12,2.980232238769531e-07,8192
llama32_3b,qkv,19,nar_b128_k8,128,8,8,24,1.7881393432617188e-07,8192
llama32_3b,qkv,19,nar_b128_k16,128,16,16,24,2.384185791015625e-07,8192
llama32_3b,qkv,19,nar_b128_k32,128,32,24,24,2.384185791015625e-07,8192
llama32_3b,qkv,20,nar_b64_kmax,64,kmax,48,48,1.7881393432617188e-07,8192
llama32_3b,qkv,20,nar_b256_kmax,256,kmax,12,12,2.980232238769531e-07,8192
llama32_3b,qkv,20,nar_b128_k8,128,8,8,24,1.7881393432617188e-07,8192
llama32_3b,qkv,20,nar_b128_k16,128,16,16,24,1.7881393432617188e-07,8192
llama32_3b,qkv,20,nar_b128_k32,128,32,24,24,2.384185791015625e-07,8192
llama32_3b,qkv,21,nar_b64_kmax,64,kmax,48,48,3.5762786865234375e-07,8192
llama32_3b,qkv,21,nar_b256_kmax,256,kmax,12,12,1.7881393432617188e-07,8192
llama32_3b,qkv,21,nar_b128_k8,128,8,8,24,1.7881393432617188e-07,8192
llama32_3b,qkv,21,nar_b128_k16,128,16,16,24,2.384185791015625e-07,8192
llama32_3b,qkv,21,nar_b128_k32,128,32,24,24,2.384185791015625e-07,8192
llama32_3b,qkv,22,nar_b64_kmax,64,kmax,48,48,2.384185791015625e-07,8192
llama32_3b,qkv,22,nar_b256_kmax,256,kmax,12,12,1.7881393432617188e-07,8192
llama32_3b,qkv,22,nar_b128_k8,128,8,8,24,1.7881393432617188e-07,8192
llama32_3b,qkv,22,nar_b128_k16,128,16,16,24,1.7881393432617188e-07,8192
llama32_3b,qkv,22,nar_b128_k32,128,32,24,24,1.7881393432617188e-07,8192
llama32_3b,qkv,23,nar_b64_kmax,64,kmax,48,48,2.980232238769531e-07,8192
llama32_3b,qkv,23,nar_b256_kmax,256,kmax,12,12,2.384185791015625e-07,8192
llama32_3b,qkv,23,nar_b128_k8,128,8,8,24,2.384185791015625e-07,8192
llama32_3b,qkv,23,nar_b128_k16,128,16,16,24,2.384185791015625e-07,8192
llama32_3b,qkv,23,nar_b128_k32,128,32,24,24,2.384185791015625e-07,8192
llama32_3b,qkv,24,nar_b64_kmax,64,kmax,48,48,2.384185791015625e-07,8192
llama32_3b,qkv,24,nar_b256_kmax,256,kmax,12,12,1.1920928955078125e-07,8192
llama32_3b,qkv,24,nar_b128_k8,128,8,8,24,1.1920928955078125e-07,8192
llama32_3b,qkv,24,nar_b128_k16,128,16,16,24,2.384185791015625e-07,8192
llama32_3b,qkv,24,nar_b128_k32,128,32,24,24,3.5762786865234375e-07,8192
llama32_3b,qkv,25,nar_b64_kmax,64,kmax,48,48,2.384185791015625e-07,8192
