model,site,layer,method,b,requested_k,realized_k,dc_slots,anchor_error,permutation_energy_rows
llama32_3b,down,1,nar_b128_k8,128,8,8,64,2.384185791015625e-07,8192
llama32_3b,down,1,nar_b128_k16,128,16,16,64,2.384185791015625e-07,8192
llama32_3b,down,1,nar_b128_k32,128,32,32,64,2.384185791015625e-07,8192
llama32_3b,down,2,nar_b64_kmax,64,kmax,128,128,3.5762786865234375e-07,8192
llama32_3b,down,2,nar_b256_kmax,256,kmax,32,32,3.5762786865234375e-07,8192
llama32_3b,down,2,nar_b128_k8,128,8,8,64,2.384185791015625e-07,8192
llama32_3b,down,2,nar_b128_k16,128,16,16,64,2.384185791015625e-07,8192
llama32_3b,down,2,nar_b128_k32,128,32,32,64,2.384185791015625e-07,8192
llama32_3b,down,3,nar_b64_kmax,64,kmax,128,128,2.384185791015625e-07,8192
llama32_3b,down,3,nar_b256_kmax,256,kmax,32,32,2.384185791015625e-07,8192
llama32_3b,down,3,nar_b128_k8,128,8,8,64,2.384185791015625e-07,8192
llama32_3b,down,3,nar_b128_k16,128,16,16,64,3.5762786865234375e-07,8192
llama32_3b,down,3,nar_b128_k32,128,32,32,64,3.5762786865234375e-07,8192
llama32_3b,down,4,nar_b64_kmax,64,kmax,128,128,2.980232238769531e-07,8192
llama32_3b,down,4,nar_b256_kmax,256,kmax,32,32,2.384185791015625e-07,8192
llama32_3b,down,4,nar_b128_k8,128,8,8,64,1.1920928955078125e-07,8192
llama32_3b,down,4,nar_b128_k16,128,16,16,64,1.1920928955078125e-07,8192
llama32_3b,down,4,nar_b128_k32,128,32,32,64,2.384185791015625e-07,8192
llama32_3b,down,5,nar_b64_kmax,64,kmax,128,128,3.5762786865234375e-07,8192
llama32_3b,down,5,nar_b256_kmax,256,kmax,32,32,2.980232238769531e-07,8192
llama32_3b,down,5,nar_b128_k8,128,8,8,64,1.1920928955078125e-07,8192
llama32_3b,down,5,nar_b128_k16,128,16,16,64,2.384185791015625e-07,8192
llama32_3b,down,5,nar_b128_k32,128,32,32,64,2.384185791015625e-07,8192
llama32_3b,down,6,nar_b64_kmax,64,kmax,128,128,2.384185791015625e-07,8192
llama32_3b,down,6,nar_b256_kmax,256,kmax,32,32,2.384185791015625e-07,8192
llama32_3b,down,6,nar_b128_k8,128,8,8,64,1.1920928955078125e-07,8192
llama32_3b,down,6,nar_b128_k16,128,16,16,64,2.384185791015625e-07,8192
llama32_3b,down,6,nar_b128_k32,128,32,32,64,2.384185791015625e-07,8192
llama32_3b,down,7,nar_b64_kmax,64,kmax,128,128,3.5762786865234375e-07,8192
llama32_3b,down,7,nar_b256_kmax,256,kmax,32,32,2.384185791015625e-07,8192
llama32_3b,down,7,nar_b128_k8,128,8,8,64,1.1920928955078125e-07,8192
llama32_3b,down,7,nar_b128_k16,128,16,16,64,2.384185791015625e-07,8192
llama32_3b,down,7,nar_b128_k32,128,32,32,64,2.384185791015625e-07,8192
llama32_3b,down,8,nar_b64_kmax,64,kmax,128,128,2.384185791015625e-07,8192
llama32_3b,down,8,nar_b256_kmax,256,kmax,32,32,2.384185791015625e-07,8192
llama32_3b,down,8,nar_b128_k8,128,8,8,64,1.1920928955078125e-07,8192
llama32_3b,down,8,nar_b128_k16,128,16,16,64,2.384185791015625e-07,8192
llama32_3b,down,8,nar_b128_k32,128,32,32,64,2.384185791015625e-07,8192
llama32_3b,down,9,nar_b64_kmax,64,kmax,128,128,2.980232238769531e-07,8192
llama32_3b,down,9,nar_b256_kmax,256,kmax,32,32,2.384185791015625e-07,8192
llama32_3b,down,9,nar_b128_k8,128,8,8,64,2.384185791015625e-07,8192
llama32_3b,down,9,nar_b128_k16,128,16,16,64,2.384185791015625e-07,8192
llama32_3b,down,9,nar_b128_k32,128,32,32,64,2.384185791015625e-07,8192
llama32_3b,down,10,nar_b64_kmax,64,kmax,128,128,2.980232238769531e-07,8192
llama32_3b,down,10,nar_b256_kmax,256,kmax,32,32,2.384185791015625e-07,8192
llama32_3b,down,10,nar_b128_k8,128,8,8,64,2.384185791015625e-07,8192
llama32_3b,down,10,nar_b128_k16,128,16,16,64,1.7881393432617188e-07,8192
llama32_3b,down,10,nar_b128_k32,128,32,32,64,2.384185791015625e-07,8192
llama32_3b,down,11,nar_b64_kmax,64,kmax,128,128,2.384185791015625e-07,8192
llama32_3b,down,11,nar_b256_kmax,256,kmax,32,32,2.384185791015625e-07,8192
llama32_3b,down,11,nar_b128_k8,128,8,8,64,1.1920928955078125e-07,8192
llama32_3b,down,11,nar_b128_k16,128,16,16,64,1.7881393432617188e-07,8192
llama32_3b,down,11,nar_b128_k32,128,32,32,64,2.384185791015625e-07,8192
llama32_3b,down,12,nar_b64_kmax,64,kmax,128,128,2.980232238769531e-07,8192
llama32_3b,down,12,nar_b256_kmax,256,kmax,32,32,2.384185791015625e-07,8192
llama32_3b,down,12,nar_b128_k8,128,8,8,64,1.7881393432617188e-07,8192
llama32_3b,down,12,nar_b128_k16,128,16,16,64,1.7881393432617188e-07,8192
llama32_3b,down,12,nar_b128_k32,128,32,32,64,2.384185791015625e-07,8192
llama32_3b,down,13,nar_b64_kmax,64,kmax,128,128,2.980232238769531e-07,8192
llama32_3b,down,13,nar_b256_kmax,256,kmax,32,32,2.384185791015625e-07,8192
llama32_3b,down,13,nar_b128_k8,128,8,8,64,1.7881393432617188e-07,8192
llama32_3b,down,13,nar_b128_k16,128,16,16,64,1.7881393432617188e-07,8192
llama32_3b,down,13,nar_b128_k32,128,32,32,64,1.7881393432617188e-07,8192
llama32_3b,down,14,nar_b64_kmax,64,kmax,128,128,2.384185791015625e-07,8192
llama32_3b,down,14,nar_b256_kmax,256,kmax,32,32,2.384185791015625e-07,8192
llama32_3b,down,14,nar_b128_k8,128,8,8,64,2.384185791015625e-07,8192
llama32_3b,down,14,nar_b128_k16,128,16,16,64,2.384185791015625e-07,8192
llama32_3b,down,14,nar_b128_k32,128,32,32,64,2.980232238769531e-07,8192
llama32_3b,down,15,nar_b64_kmax,64,kmax,128,128,2.980232238769531e-07,8192
llama32_3b,down,15,nar_b256_kmax,256,kmax,32,32,2.980232238769531e-07,8192
llama32_3b,down,15,nar_b128_k8,128,8,8,64,3.5762786865234375e-07,8192
llama32_3b,down,15,nar_b128_k16,128,16,16,64,3.5762786865234375e-07,8192
llama32_3b,down,15,nar_b128_k32,128,32,32,64,3.5762786865234375e-07,8192
llama32_3b,down,16,nar_b64_kmax,64,kmax,128,128,2.980232238769531e-07,8192
llama32_3b,down,16,nar_b256_kmax,256,kmax,32,32,3.5762786865234375e-07,8192
llama32_3b,down,16,nar_b128_k8,128,8,8,64,2.980232238769531e-07,8192
llama32_3b,down,16,nar_b128_k16,128,16,16,64,2.980232238769531e-07,8192
llama32_3b,down,16,nar_b128_k32,128,32,32,64,2.980232238769531e-07,8192
llama32_3b,down,17,nar_b64_kmax,64,kmax,128,128,2.384185791015625e-07,8192
llama32_3b,down,17,nar_b256_kmax,256,kmax,32,32,3.5762786865234375e-07,8192
llama32_3b,down,17,nar_b128_k8,128,8,8,64,2.384185791015625e-07,8192
llama32_3b,down,17,nar_b128_k16,128,16,16,64,2.384185791015625e-07,8192
llama32_3b,down,17,nar_b128_k32,128,32,32,64,2.384185791015625e-07,8192
llama32_3b,down,18,nar_b64_kmax,64,kmax,128,128,3.5762786865234375e-07,8192
llama32_3b,down,18,nar_b256_kmax,256,kmax,32,32,2.384185791015625e-07,8192
llama32_3b,down,18,nar_b128_k8,128,8,8,64,2.384185791015625e-07,8192
llama32_3b,down,18,nar_b128_k16,128,16,16,64,2.384185791015625e-07,8192
llama32_3b,down,18,nar_b128_k32,128,32,32,64,2.384185791015625e-07,8192
llama32_3b,down,19,nar_b64_kmax,64,kmax,128,128,2.384185791015625e-07,8192
