model,site,mean_nar_minus_hadamard_nmse,global_nar_minus_hadamard_nmse,nar_better_layers,layers,nar_loses_zero_point_advantage
llama32_3b,q_input,-7.404081361288284e-05,-7.281114338804177e-05,20,28,False
llama32_3b,down_input,-0.00019365476581722084,-0.0008192760500244922,23,28,False
