model,site,layer,channels,activation_absmax_mean,activation_absmax_max,weight_absmax_mean,weight_absmax_max,smooth_scale_min,smooth_scale_max,smooth_scale_mean
llama32_3b,qkv,0,3072,0.35560038685798645,4.46875,0.21255676448345184,1.0546875,0.12277760356664658,2.808807849884033,1.2058523893356323
llama32_3b,qkv,1,3072,0.6394596099853516,5.59375,0.17592144012451172,0.7109375,0.5223990082740784,5.036801338195801,1.7649908065795898
llama32_3b,qkv,2,3072,1.4751296043395996,10.875,0.14941103756427765,0.640625,0.08792678266763687,6.936625957489014,3.00895619392395
llama32_3b,qkv,3,3072,1.4766374826431274,10.25,0.14428849518299103,0.365234375,0.013800552114844322,7.9041876792907715,3.165868043899536
llama32_3b,qkv,4,3072,1.3478444814682007,10.75,0.14246027171611786,0.458984375,2.160984992980957,8.167935371398926,3.014127731323242
llama32_3b,qkv,5,3072,1.5712991952896118,10.5625,0.14720265567302704,0.546875,2.2757301330566406,7.730259418487549,3.1833648681640625
llama32_3b,qkv,6,3072,1.5360666513442993,11.25,0.14087295532226562,0.328125,2.3388214111328125,7.705935955047607,3.2345266342163086
llama32_3b,qkv,7,3072,1.517896056175232,11.25,0.13765256106853485,0.26953125,2.289982318878174,7.56250524520874,3.279283285140991
llama32_3b,qkv,8,3072,1.6404037475585938,11.625,0.1551693230867386,0.419921875,2.2122652530670166,9.155926704406738,3.2077066898345947
llama32_3b,qkv,9,3072,1.6580098867416382,12.375,0.1477235108613968,0.30859375,2.1402440071105957,8.220426559448242,3.3076789379119873
llama32_3b,qkv,10,3072,1.6974157094955444,12.8125,0.14293813705444336,0.439453125,2.124962091445923,8.143637657165527,3.4063313007354736
llama32_3b,qkv,11,3072,1.5868695974349976,9.8125,0.13078196346759796,0.271484375,2.4884347915649414,8.306197166442871,3.451629400253296
llama32_3b,qkv,12,3072,1.831634521484375,18.0,0.13926632702350616,0.306640625,2.4696741104125977,9.32434368133545,3.5687825679779053
llama32_3b,qkv,13,3072,1.8531417846679688,16.625,0.1448337286710739,0.39453125,2.56638765335083,8.285236358642578,3.520411491394043
llama32_3b,qkv,14,3072,1.8280664682388306,15.4375,0.15249967575073242,0.421875,2.45896577835083,9.450435638427734,3.4166135787963867
llama32_3b,qkv,15,3072,1.89288330078125,16.5,0.14094050228595734,0.3515625,2.503331184387207,8.236838340759277,3.5957157611846924
llama32_3b,qkv,16,3072,1.918591856956482,15.9375,0.13570483028888702,0.32421875,2.480027675628662,9.17189884185791,3.683619260787964
llama32_3b,qkv,17,3072,1.9329147338867188,15.125,0.13103707134723663,0.3515625,2.2124884128570557,8.629109382629395,3.771394729614258
llama32_3b,qkv,18,3072,2.001703977584839,18.125,0.13141822814941406,0.36328125,2.7085800170898438,8.925999641418457,3.8156139850616455
llama32_3b,qkv,19,3072,1.967010498046875,14.9375,0.12583668529987335,0.375,2.4597599506378174,8.023221969604492,3.8792154788970947
llama32_3b,qkv,20,3072,2.0334270000457764,16.0,0.12074009329080582,0.341796875,2.609646797180176,8.393969535827637,4.02465295791626
llama32_3b,qkv,21,3072,2.06946063041687,16.25,0.12389103323221207,0.427734375,2.2807440757751465,8.756503105163574,4.0112080574035645
llama32_3b,qkv,22,3072,2.0865986347198486,14.625,0.12020222097635269,0.4453125,2.253358840942383,8.01930046081543,4.111690998077393
llama32_3b,qkv,23,3072,2.0471088886260986,17.0,0.12130817025899887,0.421875,2.7381348609924316,8.42929744720459,4.038026809692383
