model,method,seed,sequence,nll,tokens_scored,alpha,smoothing_sites,weight_fold_max_relative_error
llama32_3b,smoothquant_a065_both,20260902,50,1.7701497077941895,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,51,1.8506985902786255,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,52,1.6941136121749878,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,53,1.9088006019592285,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,54,1.653950572013855,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,55,1.6076385974884033,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,56,1.8539713621139526,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,57,1.820104718208313,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,58,2.194260597229004,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,59,2.3632187843322754,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,60,2.368577003479004,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,61,2.4805173873901367,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,62,1.5363997220993042,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,63,1.9191136360168457,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a080_both,20260902,0,1.855103611946106,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,1,2.450171709060669,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,2,2.534299373626709,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,3,2.0449562072753906,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,4,1.9670895338058472,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,5,1.5821211338043213,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,6,1.69809091091156,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,7,1.9438334703445435,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,8,2.2878828048706055,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,9,1.9952080249786377,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,10,1.9253907203674316,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,11,2.285764455795288,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,12,2.145845413208008,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,13,2.296323776245117,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,14,2.2206544876098633,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,15,2.4274685382843018,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,16,2.1550984382629395,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,17,2.162604570388794,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,18,1.9748790264129639,2047,0.8,qkv+down,0.4128030240535736
