model,rotation,stage,model_dtype,tokens,max_abs_logit_error,relative_l2_logit_error
llama32_3b,nar_k8,norm_only,torch.float32,16,1.9073486328125e-05,7.464066698048555e-07
llama32_3b,nar_k8,norm_r1,torch.float32,16,3.0517578125e-05,1.2995344604860293e-06
llama32_3b,nar_k8,norm_r1_r2,torch.float32,16,2.765655517578125e-05,1.3420270761344e-06
llama32_3b,nar_k8,norm_r1_r4,torch.float32,16,4.839897155761719e-05,2.1841240140929585e-06
llama32_3b,nar_k8,norm_r1_r2_r4,torch.float32,16,4.673004150390625e-05,2.245823679913883e-06
